,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-11-11,"The Dubs, @KPShare &amp; @PlayworksNorCal teamed up yesterday for a Get Fit Time-Out in Menlo Park, with a special appearance (&amp; dance moves) from @1jordanbell 💪 👀 😄 https://t.co/hSkY6pREWv",10,12,13,11.0,22,GSW,,PHI,W (+21),0,8,1,2,0.5,0,0,,0,0,,1,1,2,2,0,0,2,2,2,0.6,1,0
1,1,2017-12-25,S/o to @knasty_14 for finding these for me my day has officially been made https://t.co/pU5k3Bn92h,27,33,34,28.0,22,GSW,,CLE,W (+7),1,26,4,7,0.571,0,1,0.0,0,0,,3,4,7,3,1,0,1,2,8,9.3,3,0
2,2,2018-02-26,32 and 10? That's what we on bro @RoPjr2,38,60,61,39.0,23,GSW,@,NYK,W (+14),0,13,1,1,1.0,0,0,,1,2,0.5,1,0,1,3,0,1,0,0,3,5.8,-4,0
3,3,2018-05-06,Good I needed overtime for this game it was too good,62,90,9,6.0,23,GSW,@,NOP,W (+26),0,5,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,3,1
4,4,2018-10-22,THIS LAKER GAME GOING UP GHEE!!!,76,106,4,3.0,23,GSW,,PHO,W (+20),0,9,0,1,0.0,0,0,,0,0,,0,2,2,0,1,1,0,1,0,1.2,-6,-1
5,5,2018-11-08,Great block Kenny,84,114,12,11.0,23,GSW,,MIL,L (-23),1,22,2,3,0.667,0,0,,0,0,,1,4,5,3,1,1,0,4,4,6.8,3,1
6,6,2018-11-13,https://t.co/dTdDjRvXbs,87,117,15,14.0,23,GSW,,ATL,W (+7),0,11,2,4,0.5,0,0,,2,2,1.0,1,1,2,1,0,2,1,3,6,4.9,2,0
7,7,2018-11-24,Tiger in the lead!!!,93,123,21,20.0,23,GSW,,SAC,W (+1),0,13,1,1,1.0,0,0,,0,0,,1,1,2,2,2,1,0,1,2,6.4,-13,0
8,8,2018-12-31,Should I hit this waffle house in Tempe? 🤔🤔🤔,109,140,38,36.0,23,GSW,@,PHO,W (+23),0,16,5,5,1.0,0,0,,0,0,,0,6,6,2,0,3,1,2,10,12.0,0,0
9,9,2018-12-31,You scared of being lonely lil baby?,109,140,38,36.0,23,GSW,@,PHO,W (+23),0,16,5,5,1.0,0,0,,0,0,,0,6,6,2,0,3,1,2,10,12.0,0,-1
10,10,2019-01-03,So that's what started all this Steelers drama... 🤣 https://t.co/qQL60NpWkC,110,141,39,37.0,23,GSW,,HOU,L (-1),0,7,0,0,,0,0,,0,0,,1,2,3,2,0,0,0,1,0,2.3,-3,0
11,11,2019-01-08,Got tickets to the football game today let’s get it!!!,112,143,41,39.0,24,GSW,,NYK,W (+27),0,6,1,1,1.0,0,0,,0,0,,1,0,1,1,0,0,1,1,2,1.7,-1,0
12,12,2019-01-08,"Happy Gday to my bro @1jordanbell !!! One of my favorite teammates ever, keep being you bruh! It’s your gift to the world!",112,143,41,39.0,24,GSW,,NYK,W (+27),0,6,1,1,1.0,0,0,,0,0,,1,0,1,1,0,0,1,1,2,1.7,-1,1
13,13,2019-01-13,"Long Beach Poly High School adds alumni Jaccara Queen's ""A Subtle Power"" to Pac Rim Academy's 10th grade curriculum in a Fall-Spring program for English &amp; Business/Marketing classes 📚💚💛 #apowerfulyouth https://t.co/PoNTAdZ06F",114,145,43,41.0,24,GSW,@,DAL,W (+5),0,8,0,2,0.0,0,0,,0,0,,1,0,1,0,0,2,0,0,0,0.7,0,1
14,14,2019-01-15,The future is crazy. Head to @nikebasketball tomorrow. #nikeadapt https://t.co/efoYIX8rHV,115,146,44,42.0,24,GSW,@,DEN,W (+31),0,9,2,4,0.5,0,0,,0,0,,0,2,2,0,0,0,1,0,4,1.6,0,0
15,15,2019-02-27,The Angels are reportedly in talks about a potential move to Long Beach https://t.co/U3YgLEmN66 https://t.co/qgSmnjUwy6,123,163,61,50.0,24,GSW,@,MIA,L (-1),0,19,2,5,0.4,0,1,0.0,6,10,0.6,2,4,6,2,1,1,0,0,10,11.4,3,0
16,16,2019-03-08,Funk House ish!!! 🤘🏾 https://t.co/TYgTreZsIx,127,167,65,54.0,24,GSW,,DEN,W (+17),0,7,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,1,0
17,17,2019-03-16,Now we playing!!! @OregonMBB,129,170,68,56.0,24,GSW,@,OKC,W (+22),0,14,1,1,1.0,0,0,,0,0,,1,3,4,0,0,1,2,2,2,1.2,5,0
18,18,2019-03-18,Student and athlete — a day in the life. https://t.co/KBLa1gBLnq,130,171,69,57.0,24,GSW,@,SAS,L (-6),0,10,1,1,1.0,0,0,,0,0,,0,3,3,0,0,1,1,0,2,2.3,-9,-1
19,19,2019-03-23,I see you @TDORSEY_1,133,174,72,60.0,24,GSW,,DAL,L (-35),0,16,1,5,0.2,0,0,,0,2,0.0,0,0,0,0,1,0,1,1,2,-2.3,-6,0
20,20,2019-03-24,Found it!,134,175,73,61.0,24,GSW,,DET,W (+7),0,11,2,3,0.667,0,0,,0,0,,0,1,1,0,0,1,3,2,4,-0.1,-6,1
21,21,2019-04-02,Still messed up about @NipseyHussle,136,179,77,63.0,24,GSW,,DEN,W (+14),0,6,0,3,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-3.5,-15,-1
22,22,2019-10-25,Public service announcement,157,207,2,1.0,24,MIN,@,CHO,W (+22),0,5,2,2,1.0,0,0,,0,0,,1,4,5,0,0,0,0,1,4,4.9,-3,0
23,23,2019-10-25,This @Wale album is really fire!!!,157,207,2,1.0,24,MIN,@,CHO,W (+22),0,5,2,2,1.0,0,0,,0,0,,1,4,5,0,0,0,0,1,4,4.9,-3,-1
24,24,2019-10-30,some are a little more prepared for the weather than others https://t.co/V31claWt6s,158,209,4,2.0,24,MIN,@,PHI,L (-22),0,12,2,4,0.5,0,0,,1,1,1.0,2,2,4,0,0,0,3,1,5,1.6,4,0
25,25,2019-11-04,"I just wanna start off by saying a lot of you almost got unfollowed yesterday for tweeting everything that happened on @Power_STARZ last night, especially you @CTSAlumni23",160,211,6,4.0,24,MIN,,MIL,L (-28),0,15,4,6,0.667,0,1,0.0,4,4,1.0,2,4,6,3,0,0,2,1,12,11.7,-2,0
26,26,2019-11-15,Is @disneyplus really like that?,161,217,12,5.0,24,MIN,,WAS,L (-21),0,5,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,0,1,-0.9,-6,0
27,27,2019-11-15,"THE CONTENT YOU NEVER KNEW YOU NEEDED.

We’ve got plenty of it on @tiktok_us 👉 https://t.co/7j1Ocy9ktt https://t.co/hQl7eHfCb6",161,217,12,5.0,24,MIN,,WAS,L (-21),0,5,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,0,1,-0.9,-6,1
28,28,2019-12-20,"Me and @CricketNation had the chance to giveback this holiday season and surprise 12 deserving families who were nominated. It was great to see the look on their faces when I was there to surprise each family with $1,000 in gifts from Cricket along with a brand new LG Harmony 3. https://t.co/8vZACGCTcz",173,232,27,17.0,24,MIN,@,DEN,L (-9),0,16,1,4,0.25,0,0,,2,2,1.0,4,4,8,1,0,1,0,0,4,7.0,8,1
29,29,2020-01-09,Anybody got pictures of Jeff Teague Prom pictures please DM to me immediately!!,179,242,37,23.0,25,MIN,,POR,W (+14),0,5,1,2,0.5,1,1,1.0,0,0,,2,1,3,0,0,0,1,0,3,2.7,-4,0
30,30,2020-01-11,SCO!!!,180,243,38,24.0,25,MIN,@,HOU,L (-30),0,8,1,1,1.0,0,0,,1,4,0.25,0,2,2,1,0,0,0,0,3,2.8,8,0
31,31,2020-02-03,Oh wow and he actually got to bring the game ball in!!,183,254,49,27.0,25,MIN,@,SAC,L (-4),0,9,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,2,2,1.9,13,1
32,32,2020-02-03,Super dope commercial!!,183,254,49,27.0,25,MIN,@,SAC,L (-4),0,9,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,0,2,2,1.9,13,0
