,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-11-27,"NEW RINGER PODCAST! 💯

Get ready to hit the road with @mrvincecarter15, @24Bazemore, and @AnnieFinberg as they go from city to city talking to your favorite NBA players about whatever they want. They're winging it!

Subscribe now to #WingingItPod ➡️ https://t.co/xqwgDS2LjO https://t.co/QtcBvry8DK",477,535,21,21.0,29,ATL,@,MIA,W (+2),0,26,4,10,0.4,1,4,0.25,3,4,0.75,0,5,5,0,2,1,5,2,12,4.6,4,1
1,1,2018-11-30,This Love is real!! I LOVE ODU ❤️,479,537,23,23.0,29,ATL,@,OKC,L (-15),0,23,3,10,0.3,1,6,0.167,1,2,0.5,0,4,4,4,4,0,2,1,8,7.4,-15,1
2,2,2018-11-30,"Yeah, no UA sneakers for Toddlers either. @24Bazemore @UnderArmour @UAbasketball  lol",479,537,23,23.0,29,ATL,@,OKC,L (-15),0,23,3,10,0.3,1,6,0.167,1,2,0.5,0,4,4,4,4,0,2,1,8,7.4,-15,0
3,3,2018-11-30,In honor of @ODUMBB victory over VCU. Love this man! #BT #BackToBack https://t.co/eTEAXgtD03,479,537,23,23.0,29,ATL,@,OKC,L (-15),0,23,3,10,0.3,1,6,0.167,1,2,0.5,0,4,4,4,4,0,2,1,8,7.4,-15,1
4,4,2018-12-12,"@24Bazemore @ringernba @JameswBarnett @theadamlawrence don’t be fooled. This is not a basketball podcasts. It’s a gold podcast for dads, by dads. Highlights include Vince Carter openly trying to get PING to send him clubs and complaining that he can’t get golf shoes in his size",483,541,27,27.0,29,ATL,@,DAL,L (-7),1,32,8,14,0.571,3,5,0.6,3,5,0.6,0,5,5,1,2,0,3,5,22,13.8,-7,-1
5,5,2018-12-12,"@Andre @StephenCurry30 @mrvincecarter15 @24Bazemore @AnnieFinberg #WingingItPodcast On recreating dinosaur noises: Bones do make sounds...if you blow through them. Make a mold or 3D scan of the animal's throat, create a resin/plastic facsimile &amp; blow through it (like a duck call)",483,541,27,27.0,29,ATL,@,DAL,L (-7),1,32,8,14,0.571,3,5,0.6,3,5,0.6,0,5,5,1,2,0,3,5,22,13.8,-7,0
6,6,2018-12-12,😎,483,541,27,27.0,29,ATL,@,DAL,L (-7),1,32,8,14,0.571,3,5,0.6,3,5,0.6,0,5,5,1,2,0,3,5,22,13.8,-7,0
7,7,2018-12-12,"@TheMarkPhelps @andre @ramsey @24Bazemore @mrvincecarter15 @StephenCurry30 Maybe they'll take @NASA up on their offer to tour its lunar labs. If they don't, NASA, I'm totally interested! :)",483,541,27,27.0,29,ATL,@,DAL,L (-7),1,32,8,14,0.571,3,5,0.6,3,5,0.6,0,5,5,1,2,0,3,5,22,13.8,-7,0
8,8,2018-12-14,Yooo when’s our tour tho @NASA? @24Bazemore @mrvincecarter15,484,542,28,28.0,29,ATL,@,BOS,L (-21),1,29,5,11,0.455,2,4,0.5,1,1,1.0,0,3,3,7,2,0,3,1,13,11.7,-22,0
9,9,2018-12-16,"LETS GO @ODUMBB , big upset of 25th ‘cuse! Monarch nation loves to see that! Proud alumni! I know @24Bazemore is happy!",485,543,29,29.0,29,ATL,@,BRK,L (-17),1,32,6,13,0.462,3,6,0.5,5,5,1.0,0,3,3,7,3,0,3,2,20,18.3,-17,1
