,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2015-11-07,We’ll do our best to finally grab the first win. Let’s go. #WeAreBrooklyn #BrooklynRepresent #GameNight,90,94,7,7.0,26,BRK,@,MIL,L (-8),0,24,5,10,0.5,2,3,0.667,1,2,0.5,0,1,1,1,2,0,3,3,13,6.4,-1,1
1,1,2015-11-18,The boys are back in town! Game night @barclayscenter. #BrooklynRepresent #Nets #GameNight #HomeCourt https://t.co/YknCZUF1OB,95,99,12,12.0,26,BRK,@,CHO,L (-5),0,18,0,1,0.0,0,0,,2,2,1.0,0,4,4,1,1,0,0,1,2,3.8,-4,0
2,2,2015-12-12,"Tomorrow we have a chance to connect three games in a row.
Let's make it happen!
#WeAreBrooklyn  #BrooklynRepresent https://t.co/H1nA26BzEh",106,110,23,23.0,26,BRK,,LAC,L (-5),1,39,4,10,0.4,2,6,0.333,5,6,0.833,1,5,6,1,1,1,1,3,15,11.6,2,0
3,3,2016-01-15,The home crowd deserved a victory! Glad I could help. :) #HomeWin #WeAreBrooklyn  #gobrooklynnets https://t.co/WlV59W4SGg,123,127,40,40.0,26,BRK,,POR,L (-12),0,16,1,6,0.167,0,2,0.0,1,2,0.5,0,2,2,0,0,0,0,0,3,-0.6,-18,1
4,4,2016-01-26,Yesterday we've shown that great teamwork always means great basketball! #teamwork #WeAreBrooklyn #workhardplayhard https://t.co/aMZiHQQmS2,129,133,46,46.0,26,BRK,,MIA,L (-4),0,23,3,8,0.375,3,6,0.5,2,2,1.0,0,2,2,1,0,0,0,0,11,7.9,1,1
5,5,2016-01-29,I'm super excited for participating on the All-Star Weekend with my national teammate Mario Hezonja! #gocroats https://t.co/KgJkO9U9Qo,130,134,47,47.0,26,BRK,@,DAL,L (-12),0,19,0,4,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,0,2,0,-3.3,-24,1
6,6,2016-02-21,"Sometimes you have to stop and refuel, get your motors running and grab a win. #teamwork #WeAreBrooklyn #Nets https://t.co/waQmasbI6B",139,143,56,56.0,26,BRK,,CHO,L (-8),0,20,1,9,0.111,1,5,0.2,0,0,,1,3,4,2,0,0,0,1,3,-0.3,-8,1
7,7,2016-02-27,Glad I've made the most of my return to the starting lineup and scored a season high of 24 points! #Nets #Win https://t.co/kPl1pXk3Fu,142,146,59,59.0,26,BRK,@,UTA,W (+2),1,23,3,11,0.273,2,3,0.667,0,0,,0,3,3,0,0,0,2,2,8,-0.4,-7,-1
8,8,2016-03-17,What a great night and honor to tie career high with idol of many Drazen Petrovic...#44 https://t.co/tVnzMeeAtv,150,155,68,67.0,26,BRK,@,CHI,L (-16),1,29,10,17,0.588,2,5,0.4,4,4,1.0,1,2,3,5,1,0,1,4,26,21.3,7,-1
9,9,2016-03-28,Sretan Uskrs 😀  Happy Easter 😀 https://t.co/p015a7rbMu,155,160,73,72.0,26,BRK,@,MIA,L (-11),1,24,4,10,0.4,1,3,0.333,0,0,,0,1,1,0,0,0,2,0,9,1.9,-5,1
10,10,2017-02-24,I would like to thank Nets organization and all the fans that support me during these unforgettable two years.I wish you all the best guys. https://t.co/xaa9kb970R,218,226,57,56.0,27,WAS,@,PHI,L (-8),0,18,1,5,0.2,0,3,0.0,0,0,,0,4,4,1,1,1,1,1,2,1.1,-14,1
