,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-11-05,Headed to the NY..,3,3,4,4.0,26,WAS,@,NYK,L (-21),1,26,4,9,0.444,0,0,,0,0,,3,3,6,0,0,0,2,3,8,3.1,-3,0
1,1,2010-11-12,Thanks..,6,6,7,7.0,26,WAS,,CHA,L (-8),1,21,1,8,0.125,0,2,0.0,0,0,,1,1,2,0,1,0,2,4,2,-4.8,-7,1
2,2,2010-11-12,Thanks!!,6,6,7,7.0,26,WAS,,CHA,L (-8),1,21,1,8,0.125,0,2,0.0,0,0,,1,1,2,0,1,0,2,4,2,-4.8,-7,1
3,3,2010-11-12,This Keri Hilson new video is nice!!! Love it.. Go check it out..,6,6,7,7.0,26,WAS,,CHA,L (-8),1,21,1,8,0.125,0,2,0.0,0,0,,1,1,2,0,1,0,2,4,2,-4.8,-7,1
4,4,2010-11-16,Vick baby!!! M. Vick is the man!!! He is killing!!!!,8,8,9,9.0,26,WAS,,TOR,W (+15),1,31,3,6,0.5,0,1,0.0,0,0,,1,6,7,2,1,0,1,4,6,5.3,16,-1
5,5,2010-12-01,Toronto bound..,13,16,17,14.0,26,WAS,@,TOR,L (-19),0,16,1,5,0.2,0,0,,1,1,1.0,0,4,4,2,0,0,0,1,3,2.1,-10,0
6,6,2010-12-01,Just got done with practice.. What should I eat?? Ummmm...,13,16,17,14.0,26,WAS,@,TOR,L (-19),0,16,1,5,0.2,0,0,,1,1,1.0,0,4,4,2,0,0,0,1,3,2.1,-10,1
7,7,2010-12-01,Tough loss against a really good Miami team. Must learn frm our mistakes and continue to grow as a team. Off to Toronto.,13,16,17,14.0,26,WAS,@,TOR,L (-19),0,16,1,5,0.2,0,0,,1,1,1.0,0,4,4,2,0,0,0,1,3,2.1,-10,1
8,8,2010-12-07,Headed to Cali..,16,19,20,17.0,27,WAS,@,LAL,L (-7),1,15,1,5,0.2,0,2,0.0,0,0,,1,2,3,2,0,0,0,1,2,1.2,-16,0
9,9,2010-12-22,Goodmorning Twitter fam.. Hoping all my tweeps have a wonderful day! #pow,23,26,27,24.0,27,WAS,,CHI,L (-7),1,29,4,10,0.4,0,0,,3,3,1.0,1,3,4,0,0,0,0,1,11,6.8,-11,1
10,10,2010-12-26,San Antonio bound..,24,27,28,25.0,27,WAS,@,SAS,L (-14),1,28,5,10,0.5,0,1,0.0,1,2,0.5,1,2,3,1,0,0,1,1,11,6.2,-6,0
11,11,2010-12-26,Welp another day at the office on xmas day.. Thanking the man up above for the many blessings.,24,27,28,25.0,27,WAS,@,SAS,L (-14),1,28,5,10,0.5,0,1,0.0,1,2,0.5,1,2,3,1,0,0,1,1,11,6.2,-6,0
12,12,2010-12-26,Merry Xmas Tweeps!!!,24,27,28,25.0,27,WAS,@,SAS,L (-14),1,28,5,10,0.5,0,1,0.0,1,2,0.5,1,2,3,1,0,0,1,1,11,6.2,-6,0
13,13,2010-12-27,Having a wonderful morning.. #bang bang,25,28,29,26.0,27,WAS,@,HOU,L (-7),0,8,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3,1
14,14,2010-12-27,Muah... Getting for gametime baby.,25,28,29,26.0,27,WAS,@,HOU,L (-7),0,8,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3,0
15,15,2010-12-27,Just got some great news.. Yes!! I'm excited thanks for everything Jill. Goodmorning my tweepeoples!,25,28,29,26.0,27,WAS,@,HOU,L (-7),0,8,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3,1
16,16,2011-01-01,Happy New years eve my Tweeps!!!!!!,27,31,32,28.0,27,WAS,,NOH,L (-11),0,19,1,5,0.2,0,0,,0,0,,1,1,2,2,0,0,1,1,2,-0.1,4,1
17,17,2011-01-01,Wow.. The amazing Uconn streak comes to an end.. A streak like this will probably never happen again on any level. Whew.,27,31,32,28.0,27,WAS,,NOH,L (-11),0,19,1,5,0.2,0,0,,0,0,,1,1,2,2,0,0,1,1,2,-0.1,4,1
18,18,2011-01-15,Thanks for the Happy Bday wishes for my little one. Yep.,33,37,38,34.0,27,WAS,,TOR,W (+3),0,30,4,6,0.667,0,0,,1,1,1.0,1,6,7,4,1,0,0,2,9,11.9,8,1
19,19,2011-01-15,Happy Birthday baby girl!!!! Daddy loves you!!!,33,37,38,34.0,27,WAS,,TOR,W (+3),0,30,4,6,0.667,0,0,,1,1,1.0,1,6,7,4,1,0,0,2,9,11.9,8,1
20,20,2011-01-19,Off to Milwaukee.. What up Twitter world?,35,39,40,36.0,27,WAS,@,MIL,L (-13),0,14,1,2,0.5,1,2,0.5,0,0,,1,3,4,0,0,1,0,2,3,3.5,-8,0
21,21,2011-01-21,"I know I just met u last week but I kinda sorta just maybe, seriously have been curiously thinking about u everyday since!! Wow remember! ha",36,40,41,37.0,27,WAS,,PHO,L (-18),0,22,1,7,0.143,0,0,,2,2,1.0,0,4,4,0,0,0,0,2,4,-0.1,-14,0
22,22,2011-01-24,Happy bday bay!!!! I had a great time with u last night but damn u getting old!! Lol. Luv ya.,38,42,43,39.0,27,WAS,@,NYK,L (-9),0,24,4,6,0.667,0,0,,2,3,0.667,1,4,5,1,2,0,2,4,10,8.0,-3,1
23,23,2011-01-25,Getting ready for the Knicks.,39,43,44,40.0,27,WAS,,DEN,L (-11),0,13,2,5,0.4,0,0,,4,4,1.0,0,0,0,0,0,1,1,3,8,3.8,-4,0
24,24,2011-01-28,OKC,40,44,45,41.0,27,WAS,@,OKC,L (-7),0,20,3,5,0.6,0,0,,0,0,,0,2,2,0,0,0,2,1,6,1.9,-6,0
25,25,2011-01-29,"RT @lilduval I hate when someone Direct message me on twitter ask ""how u been doing"" bitch u know I'm WINNING! Realtalk.",41,45,46,42.0,27,WAS,@,MEM,L (-14),0,27,5,8,0.625,0,0,,2,2,1.0,1,0,1,1,1,0,2,1,12,8.4,-11,-1
