,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-10-27,“This is the day the LORD has made. We will rejoice and be glad in it” Psalm 118:24 #beblessed,0,0,1,1.0,25,MIN,,SAC,L (-1),0,28,3,8,0.375,2,3,0.667,6,6,1.0,0,7,7,3,1,4,1,4,14,15.0,6,-1
1,1,2010-10-29,Tough loss...we played hard but came up short! #TGBTG in good times and bad...Play the Bucks on Friday...#letsgetit,1,1,2,2.0,25,MIN,,MIL,W (+11),0,23,2,4,0.5,1,2,0.5,1,2,0.5,1,7,8,1,1,1,2,3,6,5.6,-1,0
2,2,2010-10-29,RT @TheReal_ReHAGen: http://espn.go.com/video/clip?id=5736800&categoryid=2378529 @ATolliver44 said no sir #getthatweakshitouttahere&lt; yessir!,1,1,2,2.0,25,MIN,,MIL,W (+11),0,23,2,4,0.5,1,2,0.5,1,2,0.5,1,7,8,1,1,1,2,3,6,5.6,-1,0
3,3,2010-10-29,RT @jbigel615: @ATolliver44 's rejection of Donte Green was the 3 cheers play on @SportsNation&lt;&lt;&lt;that's what's up!,1,1,2,2.0,25,MIN,,MIL,W (+11),0,23,2,4,0.5,1,2,0.5,1,2,0.5,1,7,8,1,1,1,2,3,6,5.6,-1,0
4,4,2010-10-30,Congrats @OkoboJay! You were the first to reply correctly! DM me ur full name and the tickets will be at will call ... http://tmi.me/2Hg0f,2,2,3,3.0,25,MIN,@,MEM,L (-20),0,22,1,4,0.25,0,2,0.0,4,5,0.8,3,5,8,1,0,0,0,2,6,6.7,8,0
5,5,2010-10-30,"""God calls everybody to use the gifts and the passion that they have, but not everyone picks up the phone."" #haveablessedday #IJNIP",2,2,3,3.0,25,MIN,@,MEM,L (-20),0,22,1,4,0.25,0,2,0.0,4,5,0.8,3,5,8,1,0,0,0,2,6,6.7,8,1
6,6,2010-10-30,Ok so i have 3 tickets to give to tonights game at home against the Milwaukee Buck!!!....trivia question coming in a minute...,2,2,3,3.0,25,MIN,@,MEM,L (-20),0,22,1,4,0.25,0,2,0.0,4,5,0.8,3,5,8,1,0,0,0,2,6,6.7,8,0
7,7,2010-10-30,the first person to tell me what my career highs in points and rebounds were in college and who they were against wins....GOOD LUCK!,2,2,3,3.0,25,MIN,@,MEM,L (-20),0,22,1,4,0.25,0,2,0.0,4,5,0.8,3,5,8,1,0,0,0,2,6,6.7,8,0
8,8,2010-10-30,Thanks everybody for the quick responses...there will be MANY MANY more ticket giveaways all season! Stay tuned!,2,2,3,3.0,25,MIN,@,MEM,L (-20),0,22,1,4,0.25,0,2,0.0,4,5,0.8,3,5,8,1,0,0,0,2,6,6.7,8,1
9,9,2010-11-02,#TGBTG,3,3,4,4.0,25,MIN,@,MIA,L (-32),0,16,1,3,0.333,0,0,,2,2,1.0,0,5,5,1,1,0,1,4,4,2.9,-9,0
