,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-11-07,"ATTENTION PEOPLE: Stop posting pictures of who you voted for, it's a private thing not for the world to see!",4,4,5,5.0,19,DET,@,SAC,L (-2),0,6,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-0.4,-4,0
1,1,2012-11-06,Who knows a good IPAD game to play!? Trying to pass time on this long bus ride!🚍,3,3,4,4.0,19,DET,@,DEN,L (-12),0,12,3,3,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,0,0,7,8.1,-8,0
2,2,2012-11-09,New avi!,5,5,6,6.0,19,DET,@,OKC,L (-11),0,20,8,10,0.8,0,0,,6,9,0.667,5,3,8,0,1,1,1,2,22,21.3,0,0
3,3,2012-11-12,Congrats to the Rochester Redskins football team! Great win! #highschoolsuperbowlchamps,7,7,8,8.0,19,DET,,OKC,L (-2),0,13,2,3,0.667,0,0,,0,0,,2,4,6,1,2,1,1,3,4,6.5,0,1
4,4,2012-11-25,Out to eat with my brother @JonasJerebko at #LAVO!,13,13,14,14.0,19,DET,@,NYK,L (-21),0,19,1,6,0.167,0,0,,0,0,,4,7,11,0,1,3,1,4,2,3.6,-9,0
5,5,2012-11-30,Great team win tonight ! @detroitpistons #BrickByBrick,16,16,17,17.0,19,DET,@,MEM,L (-12),0,19,2,3,0.667,0,1,0.0,0,0,,4,4,8,0,1,0,2,1,4,5.3,-9,1
6,6,2012-11-30,Visiting @stjude to meet with some great kids! @detroitpistons @nbacares #pistons #seasonofgiving #hoops4stjude http://t.co/imGRCVGI,16,16,17,17.0,19,DET,@,MEM,L (-12),0,19,2,3,0.667,0,1,0.0,0,0,,4,4,8,0,1,0,2,1,4,5.3,-9,0
7,7,2012-11-30,"Now at the Memphis game, pretty good game for Memphis tonight! http://t.co/GAjexqXv",16,16,17,17.0,19,DET,@,MEM,L (-12),0,19,2,3,0.667,0,1,0.0,0,0,,4,4,8,0,1,0,2,1,4,5.3,-9,1
8,8,2012-11-30,Trying out Memphis famous BBQ RIBS!!   @detroitpistons @nbacares #pistons #seasonofgiving #hoops4stjude http://t.co/4StnUGRm,16,16,17,17.0,19,DET,@,MEM,L (-12),0,19,2,3,0.667,0,1,0.0,0,0,,4,4,8,0,1,0,2,1,4,5.3,-9,0
9,9,2012-12-01,Game day! Lets get this W! @detroitpistons,17,17,18,18.0,19,DET,@,DAL,L (-15),0,12,1,1,1.0,0,0,,0,0,,1,3,4,2,0,1,0,0,2,5.4,1,0
10,10,2012-12-01,New Avi!,17,17,18,18.0,19,DET,@,DAL,L (-15),0,12,1,1,1.0,0,0,,0,0,,1,3,4,2,0,1,0,0,2,5.4,1,0
11,11,2012-12-05,Who wants to play COD with me online for Xbox,19,19,20,20.0,19,DET,,GSW,L (-7),0,31,6,8,0.75,0,0,,3,7,0.429,4,8,12,0,1,2,1,2,15,16.0,17,0
12,12,2012-12-07,Ill be in the building tonight at the Oakland university boy basketball game! Lets get this W fellas,20,20,21,21.0,19,DET,,CHI,L (-4),0,23,3,3,1.0,0,0,,1,2,0.5,0,4,4,0,1,0,0,2,7,7.1,3,1
13,13,2012-12-08,Stucky an i Fooling around with some fans at the OU game last night S/O to @Cpappas36NBA  @arossforwords1 http://t.co/9eqOHQ7s,21,21,22,22.0,19,DET,@,CLE,W (+7),0,21,4,6,0.667,0,0,,1,3,0.333,1,2,3,0,1,1,0,4,9,7.0,10,1
14,14,2012-12-10,"About to start filming my new TV show ""King&amp;Kong"" starring  @gotkong an my self with special guests!",22,22,23,23.0,19,DET,@,PHI,L (-7),0,14,0,1,0.0,0,0,,0,0,,0,0,0,1,0,2,0,2,0,0.6,1,1
