,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2016-11-01,It's going up whenever @gherbo &amp; @LilBibby_ pull up to LA for a show 💯↗️,3,3,4,4.0,19,LAL,@,IND,L (-7),0,15,1,4,0.25,0,2,0.0,0,0,,0,3,3,1,0,0,1,2,2,-0.6,-3,0
1,1,2016-11-08,Miss you sis @zillaaaaa 💙,7,7,8,8.0,19,LAL,,DAL,L (-12),0,26,2,5,0.4,1,2,0.5,0,0,,0,4,4,1,1,1,1,1,5,4.5,-12,-1
2,2,2016-11-22,11/21 happy birthday shortyyyyyy @_Bootsie2Four 💙,14,14,15,15.0,19,LAL,,OKC,W (+2),0,25,4,6,0.667,3,3,1.0,0,0,,0,2,2,3,0,0,4,1,11,6.7,6,1
3,3,2016-12-17,https://t.co/0azuET98Wo https://t.co/1UEzkoR3Kf,29,29,30,30.0,19,LAL,@,CLE,L (-11),1,41,4,10,0.4,1,5,0.2,0,0,,2,8,10,9,0,0,2,1,9,11.3,1,0
4,4,2016-12-22,252,31,31,32,32.0,19,LAL,@,MIA,L (-8),1,34,2,7,0.286,0,2,0.0,0,2,0.0,4,4,8,2,0,0,1,3,4,2.3,2,0
5,5,2016-12-27,30 Worlddddddddddd,34,34,35,35.0,19,LAL,,UTA,L (-2),0,31,2,5,0.4,0,0,,1,2,0.5,0,2,2,2,0,0,2,4,5,0.3,4,0
6,6,2017-01-01,CM9 🔥,36,36,37,37.0,19,LAL,,TOR,L (-9),0,26,2,7,0.286,0,3,0.0,2,2,1.0,1,2,3,2,0,0,0,2,6,3.8,0,0
7,7,2017-01-14,Think I might drop some more 🔥🔥 dis week 🤔😷,43,43,44,44.0,19,LAL,@,LAC,L (-16),0,31,4,8,0.5,2,2,1.0,4,6,0.667,0,5,5,5,1,0,1,0,14,14.2,1,0
8,8,2017-02-02,Excited to join the @Fanatics family! Signed an exclusive memorabilia deal with @FansAuthentic. #FanaticsExclusive #LakeShow https://t.co/DwzMSgN9n9,51,51,52,52.0,19,LAL,@,WAS,L (-8),0,21,1,3,0.333,0,0,,3,4,0.75,1,5,6,0,1,3,0,3,5,7.0,-2,0
9,9,2017-03-09,"Dreams can go beyond the court. Join me, @Delta &amp; @never1959 to create a mural for LA go to https://t.co/tabvyPaUsb NoPurNec.CA21+RulesApply",64,64,65,65.0,19,LAL,@,PHO,W (+12),1,40,5,11,0.455,0,3,0.0,4,8,0.5,1,5,6,3,1,2,2,3,14,10.2,2,1
10,10,2017-03-12,U mean to @ me this cuz? 🔵⚫️💰 https://t.co/TzWkSd5L3K,65,65,66,66.0,19,LAL,,PHI,L (-2),1,38,5,9,0.556,0,3,0.0,2,2,1.0,0,3,3,1,3,2,3,1,12,10.3,-9,0
11,11,2017-03-17,"I'll be at Sports Authentics USA this Saturday, March 18 signing autographs with @Fanatics. For tickets // 626-581-2016. #LakeShow https://t.co/agFzVVZELB",68,68,69,69.0,19,LAL,,MIL,L (-4),1,34,4,11,0.364,1,4,0.25,2,4,0.5,0,1,1,4,2,1,1,3,11,7.7,6,0
12,12,2017-03-19,@B_Ingram13 I wouldn't try picking a fight with moose again. He was about to give you the work,69,69,70,70.0,19,LAL,,CLE,L (-5),1,40,8,15,0.533,0,2,0.0,2,2,1.0,0,6,6,1,0,0,1,3,18,11.0,-7,1
13,13,2017-11-11,Check me out at the @express @NBA Game Changer shoot. #ExpressPartner https://t.co/s9YkLS2kLw,91,94,13,13.0,20,LAL,@,MIL,L (-8),1,36,2,10,0.2,0,2,0.0,4,8,0.5,0,6,6,2,0,1,3,3,8,-0.1,-20,0
14,14,2017-11-27,Try my favorite post-workout protein supplements at https://t.co/PHrsDzORdw https://t.co/DqJtT7yezv,98,101,20,20.0,20,LAL,@,LAC,L (-5),1,22,6,10,0.6,0,1,0.0,5,9,0.556,0,5,5,1,0,1,4,5,17,7.7,-18,0
15,15,2017-11-29,"Growing up, @B_Ingram13 found a safe haven at the gym, now he’s providing that for a new generation of kids. #FirstStep

(w/ @amfam) https://t.co/g9Trx5HMGk",99,102,21,21.0,20,LAL,,GSW,L (-4),1,44,12,21,0.571,2,2,1.0,6,7,0.857,0,5,5,3,3,2,7,5,32,20.7,-8,0
16,16,2018-01-26,#NBAGameChanger business. @ExpressMen #ExpressPartner https://t.co/SwGd9xsGLo,122,129,48,44.0,20,LAL,@,CHI,W (+5),1,33,10,18,0.556,0,3,0.0,5,8,0.625,2,7,9,5,1,0,3,5,25,18.2,22,0
17,17,2018-02-04,Meet me at #747WarehouseSt. Get your tickets at https://t.co/30UCuzyRwK https://t.co/80IUF8o5Uw,126,133,52,48.0,20,LAL,@,OKC,W (+4),1,36,7,13,0.538,1,3,0.333,1,3,0.333,0,5,5,5,0,2,3,3,16,11.1,5,0
18,18,2021-04-16,"Hey #VerizonUp members, want the chance to hangout and talk hoops with me? Head to the My @Verizon App now https://t.co/uqfYviGUI7 to claim your spot! #ad https://t.co/WE3JC6gfSg",302,345,56,51.0,23,NOP,@,WAS,L (-2),1,42,12,27,0.444,4,9,0.444,6,6,1.0,0,7,7,5,4,0,3,2,34,25.7,5,0
