,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-10-25,⏰,1,3,4,2.0,20,MIA,,SAS,L (-17),1,20,2,6,0.333,0,0,,0,0,,1,7,8,0,0,1,0,3,4,2.9,-12,0
1,1,2017-12-26,🎄🎁 https://t.co/Pb1GAcS0F6,24,33,34,25.0,20,MIA,,ORL,W (+18),0,25,3,4,0.75,0,0,,2,2,1.0,3,6,9,4,1,1,1,2,8,13.0,24,0
2,2,2018-01-09,Bam Adebayo calls mom his motivation https://t.co/j3v1WLGwYK,30,39,40,31.0,20,MIA,@,TOR,W (+1),0,33,8,14,0.571,0,1,0.0,0,0,,5,10,15,3,0,5,0,3,16,20.3,9,-1
3,3,2018-01-22,🤷🏾‍♂️ https://t.co/6xgdTAXYN7,37,46,47,38.0,20,MIA,@,HOU,L (-9),0,17,3,4,0.75,0,0,,1,2,0.5,1,4,5,2,0,0,0,1,7,7.9,-1,0
4,4,2018-03-29,Simple https://t.co/3IHfkUjtLp,64,75,76,65.0,20,MIA,,CHI,W (+11),0,12,1,2,0.5,0,0,,1,2,0.5,0,0,0,0,0,0,0,1,3,1.2,10,0
5,5,2018-04-09,💙 https://t.co/XwZXSFY9pt,67,80,81,68.0,20,MIA,,OKC,L (-22),0,13,1,3,0.333,0,0,,4,4,1.0,1,3,4,0,0,0,0,1,6,5.5,0,0
6,6,2018-11-14,Caris LeVert has suffered a dislocated right foot. No surgery is needed and he is expected to return this season. 🙏 https://t.co/kdAPA6lgPI,87,100,14,14.0,21,MIA,@,BRK,W (+13),0,10,6,6,1.0,0,0,,0,0,,0,3,3,1,0,1,0,5,12,10.5,3,-1
7,7,2018-12-30,BBN 🔵 https://t.co/25CoMNdFwq,108,121,35,35.0,21,MIA,,MIN,L (-9),0,18,1,3,0.333,0,0,,2,2,1.0,2,2,4,0,0,0,2,4,4,0.7,-12,0
8,8,2019-01-02,"New Year, New Opportunities",109,122,36,36.0,21,MIA,@,CLE,W (+25),0,25,4,5,0.8,0,1,0.0,0,0,,0,5,5,5,1,0,3,3,8,7.9,15,1
9,9,2019-03-10,"Emotional scene at Rupp Arena, as @KentuckyMBB honored senior student manager Randy Gregory. His father, who battles ALS, got to take in the moment in person. https://t.co/J9NcYFJOEy",139,152,66,66.0,21,MIA,,TOR,L (-21),1,27,8,11,0.727,0,0,,3,3,1.0,3,3,6,5,2,0,1,2,19,21.2,-12,-1
10,10,2019-03-18,Student and athlete — a day in the life. https://t.co/KBLa1gBLnq,143,156,70,70.0,21,MIA,@,OKC,W (+9),1,30,4,9,0.444,0,0,,0,0,,2,5,7,4,2,1,4,3,8,6.5,-11,-1
11,11,2019-10-31,R.I.P Pops!🙏🏾 https://t.co/T1jWeSWVEm,160,173,5,5.0,22,MIA,@,ATL,W (+9),1,36,4,5,0.8,1,1,1.0,3,7,0.429,2,4,6,7,1,2,0,3,12,17.2,7,-1
12,12,2019-10-31,"heat fans thank you for the support tonight, we appreciate y’all. another W.",160,173,5,5.0,22,MIA,@,ATL,W (+9),1,36,4,5,0.8,1,1,1.0,3,7,0.429,2,4,6,7,1,2,0,3,12,17.2,7,1
13,13,2019-11-22,Bam &amp; Hammer || 🤝💥🔨 https://t.co/aBz073Mdwb,169,182,14,14.0,22,MIA,@,CHI,W (+8),1,33,6,10,0.6,0,0,,4,4,1.0,4,10,14,6,3,1,4,0,16,21.1,7,0
14,14,2019-11-22,Gotta love it @Bam1of1 💥x🔨 https://t.co/ma5EQwGiLf,169,182,14,14.0,22,MIA,@,CHI,W (+8),1,33,6,10,0.6,0,0,,4,4,1.0,4,10,14,6,3,1,4,0,16,21.1,7,0
