,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2020-02-07,"Her boyfriend asked her how to cook, she told him I’ll teach you but only in one condition: https://t.co/4UdoW2AUeT",51,51,52,52.0,19,OKC,,DET,W (+7),0,15,1,1,1.0,0,0,,0,0,,0,3,3,0,1,0,0,0,2,3.6,-5,0
1,1,2020-08-01,"Chris Paul and Darius Bazley both began important chapters in their lives in 2005.

CP3 started his rookie year in the NBA (in OKC).

Bazley started kindergarten. https://t.co/4la9asUPbG",53,64,65,54.0,20,OKC,,UTA,W (+16),0,29,4,6,0.667,2,3,0.667,0,0,,0,7,7,0,0,1,1,1,10,8.8,2,0
2,2,2020-08-07,@okcthunder @BazleyDarius Darius has nothing on this guy 😂  https://t.co/1YVZAKj0gH,56,67,68,57.0,20,OKC,@,MEM,L (-29),0,27,4,14,0.286,2,6,0.333,2,2,1.0,1,3,4,2,0,1,0,3,12,6.3,-23,0
3,3,2020-08-09,"You have the chance to go to ONE of these holiday destinations ..

RT 🔁 for Maldives or Like ♥️ for Greece 👇 https://t.co/sT26bhrnUa",57,68,69,58.0,20,OKC,,WAS,W (+18),0,26,8,13,0.615,5,8,0.625,2,2,1.0,1,6,7,1,1,0,1,2,23,19.5,1,1
4,4,2020-08-31,"“He who finds a wife finds a good thing, And obtains favor from the LORD.”
Proverbs 18:22
#Glory2JesusChrist https://t.co/qqLtcaiRxi",66,77,6,6.0,20,OKC,,HOU,W (+4),0,22,1,2,0.5,1,2,0.5,5,6,0.833,0,9,9,3,0,0,1,0,8,10.4,7,1
5,5,2020-12-26,Merry Christmas @okcthunder fans! 🎅🎄 #ThunderUp https://t.co/ovsRQjb6Vz,68,79,1,1.0,20,OKC,@,CHO,W (+2),1,33,7,12,0.583,1,5,0.2,0,0,,1,9,10,1,1,2,1,1,15,14.5,9,0
6,6,2020-12-29,"May your troubles keep you near the cross, and may your struggles show that you need God and may your battles end the way they should, and may your bad days prove that God is good, and may your whole life prove that God is good🙏🏽",70,81,3,3.0,20,OKC,,ORL,L (-11),1,29,3,14,0.214,0,4,0.0,0,0,,2,4,6,2,0,2,2,0,6,0.8,-9,1
7,7,2021-02-08,I swear I crave chick fil a the most on Sundays,90,101,23,23.0,20,OKC,@,LAL,L (-7),1,42,7,21,0.333,2,8,0.25,5,5,1.0,2,14,16,3,1,0,4,2,21,13.0,1,-1
8,8,2021-02-26,nah you really just had to be there.. https://t.co/8WFZZ0WJKC,100,111,33,33.0,20,OKC,,ATL,W (+9),1,29,8,12,0.667,1,5,0.2,1,4,0.25,2,10,12,1,1,1,3,1,18,15.0,5,-1
9,9,2021-04-26,While maintaining a 2.2 gpa!!!!!,112,139,61,45.0,20,OKC,@,PHI,L (-31),1,31,6,11,0.545,0,2,0.0,2,3,0.667,1,6,7,2,0,0,4,3,14,7.0,-33,0
10,10,2021-05-11,🔒 https://t.co/sia5oJ4CBX,121,148,70,54.0,20,OKC,@,SAC,L (-16),1,35,3,13,0.231,2,7,0.286,10,12,0.833,1,4,5,5,0,0,4,0,18,10.7,-21,0
