,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-11-09,Continued ... @express #GameChangers @nba #FMF https://t.co/54uuwfn1kf,9,9,10,10.0,19,CHI,,HOU,L (-23),0,27,4,16,0.25,0,6,0.0,2,3,0.667,0,3,3,1,1,0,2,2,10,-0.2,-13,-1
1,1,2019-11-09,All you can do is go as hard as you possibly can...and pray. That’s all I did. My @express #GameChangers video is here @nba #FMF https://t.co/wZ7xlzrp4K,9,9,10,10.0,19,CHI,,HOU,L (-23),0,27,4,16,0.25,0,6,0.0,2,3,0.667,0,3,3,1,1,0,2,2,10,-0.2,-13,0
2,2,2019-11-20,AND HE DID NOT DISAPPOINT😤🤒,14,14,15,15.0,19,CHI,,DET,W (+20),0,23,3,7,0.429,3,3,1.0,3,3,1.0,0,5,5,1,0,0,0,4,12,8.9,-3,-1
3,3,2019-12-16,That hoodie life. @express @NBA #GameChangers #FMF https://t.co/WSY1ZIZd9D,28,28,29,29.0,19,CHI,@,OKC,L (-3),0,20,1,6,0.167,0,2,0.0,0,0,,0,2,2,5,2,1,0,2,2,4.2,-1,-1
4,4,2020-01-27,This hurts man. Bad💔,48,48,49,49.0,19,CHI,,SAS,W (+1),0,22,4,13,0.308,2,6,0.333,1,2,0.5,3,3,6,1,1,0,2,1,11,5.4,-3,-1
5,5,2020-03-04,Where my pizza fans at? @Grubhub Chicago has a lot of options. You can get exclusive rewards from different restaurants &amp; you don't have to deal with the Chicago cold. $10 off your first order of $15+:  https://t.co/Y7mhyHqnn1 #ad #ChicagoDelivered https://t.co/K0JpFEbcD5,61,61,62,62.0,20,CHI,@,MIN,L (-7),0,35,11,22,0.5,2,7,0.286,2,2,1.0,0,1,1,6,0,0,0,2,26,18.7,3,0
6,6,2021-01-08,"God,

Set me free from what I thought.

Amen",74,74,10,10.0,20,CHI,@,LAL,L (-2),1,32,6,14,0.429,2,5,0.4,0,0,,0,3,3,5,0,0,3,3,14,6.8,-18,-1
7,7,2021-03-14,"🧐

 https://t.co/vC96LQotkh",101,101,37,37.0,21,CHI,,TOR,W (+23),0,27,5,12,0.417,2,8,0.25,1,2,0.5,0,4,4,5,0,1,3,3,13,7.4,24,0
8,8,2021-03-27,#ad @CrashOnTheRun just launched &amp; it’s the only app I’m playing in between games! It’s a free to play mobile game with new seasons every four weeks so it never gets old. Download it today &amp; check it out: https://t.co/qOjZs8aZyi #crashontherun https://t.co/ddOFyrDeaG,108,108,44,44.0,21,CHI,@,SAS,L (-16),0,26,5,12,0.417,2,5,0.4,1,1,1.0,0,5,5,4,1,1,1,4,13,10.0,6,0
9,9,2021-05-06,"Here’s the full NC high school all-time scoring list which features Carolina legends Phil Ford, Jerry Stackhouse, Donald Williams, and my cousin Brian Frazier https://t.co/bGOmKmgovY",127,130,66,63.0,21,CHI,@,CHO,W (+21),1,30,5,12,0.417,3,8,0.375,1,2,0.5,0,4,4,6,0,0,4,5,14,6.6,7,-1
10,10,2021-05-15,Envy keep yo pockets empty so just focus on you #FMF,132,135,71,68.0,21,CHI,@,BRK,L (-14),1,34,1,10,0.1,1,6,0.167,0,0,,2,5,7,6,0,0,3,3,3,-0.7,-17,1
