,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-10-28,"Good to be back in the ‘Land. 
That one was for Fred. 
#MWAP https://t.co/Qa4LGmEfVN",2,2,3,3.0,20,CLE,@,MIL,L (-17),1,30,8,15,0.533,2,5,0.4,0,0,,0,3,3,1,0,0,2,3,18,9.1,-15,1
1,1,2019-12-11,"A big welcome to @CollinSexton02! Game and chat with the Young Bull during his Caffeine debut TONIGHT at 5pm PT | 8pm ET. 

📺 https://t.co/QWPMV9NYxY https://t.co/2yUpCzcMEq",23,23,24,24.0,20,CLE,,HOU,L (-6),1,29,8,14,0.571,0,1,0.0,2,2,1.0,1,0,1,3,1,0,2,3,18,12.0,-18,0
2,2,2020-02-05,My squad came to play and I had a great time coaching against @BD_15232903112 - huge thanks to @MountainDew for making all this happen 🙏🏽 https://t.co/YHoDuNb3Fe,51,51,52,52.0,21,CLE,@,OKC,L (-6),1,35,9,18,0.5,4,6,0.667,1,2,0.5,1,2,3,2,0,0,1,5,23,13.3,-1,1
3,3,2020-02-12,"Thank you God for this opportunity! I would like to thank my teammates, coaching staff, and the entire Cavs Organization. Now it is time to make Cleveland proud! #GoCavs https://t.co/vBXH99C5bX",53,53,54,54.0,21,CLE,,ATL,W (+22),1,32,7,17,0.412,1,4,0.25,8,9,0.889,0,2,2,6,1,0,4,3,23,14.1,9,1
4,4,2020-03-10,Throwback to my last trip to Chicago for #NBAAllStarWeekend. Thank you @mountaindew for the dope experience!! https://t.co/GGxFEOBtjW,64,64,65,65.0,21,CLE,@,CHI,L (-5),1,36,12,16,0.75,0,0,,2,2,1.0,0,3,3,5,1,0,5,1,26,19.6,3,1
5,5,2020-12-26,Merry Christmas to Everyone and Stay Safe 🙏🏽🎁🎄,66,66,2,2.0,21,CLE,@,DET,W (+9),1,45,15,23,0.652,2,3,0.667,0,1,0.0,0,2,2,3,3,0,4,5,32,21.2,9,0
6,6,2021-01-02,Happy New Year 🎆. 2021 Let’s Get it!!!!!,70,70,6,6.0,21,CLE,@,ATL,W (+5),1,36,10,18,0.556,2,5,0.4,5,5,1.0,1,1,2,3,3,0,0,3,27,23.3,0,1
7,7,2021-01-06,Thank you for all my Birthday well wishes today! Blessed to see 2️⃣2️⃣ 🎉,72,72,8,8.0,22,CLE,@,ORL,L (-11),1,35,8,20,0.4,3,7,0.429,2,2,1.0,1,2,3,4,1,1,0,1,21,15.6,-13,1
8,8,2021-01-22,My Guys 👊🏾 Great team win 💯 https://t.co/6nMwGbGkYW,74,79,15,10.0,22,CLE,,BRK,W (+12),1,30,8,19,0.421,1,5,0.2,8,9,0.889,1,1,2,9,0,0,1,5,25,18.8,18,1
9,9,2021-01-31,"🌟 today your votes count TWICE 🌟

RETWEET to vote @CollinSexton02 for #NBAAllStar https://t.co/RbqmH13BDO",79,84,20,15.0,22,CLE,@,MIN,L (-5),1,32,8,16,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,5,2,16,4.2,5,0
10,10,2021-04-03,"#ad @CrashOnTheRun has been all I’m focusing on between practice and games. Levelling up, moving through the levels and taking down the bosses! Play for free today by clicking here &amp; download: https://t.co/zpbOVPIn0n  #crashontherun https://t.co/UV8pNpEnhF",106,113,49,42.0,22,CLE,@,MIA,L (-14),1,35,11,17,0.647,0,4,0.0,4,4,1.0,0,3,3,3,3,0,5,3,26,18.3,-6,0
