,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-10-20,Glad to have members of the Balkan Community supporting our 50th anniversary season. #SunsAt50 https://t.co/tILWB1jqFB,44,83,2,2.0,19,PHO,,LAL,L (-2),0,19,1,2,0.5,1,2,0.5,0,0,,0,7,7,0,1,2,2,1,3,4.1,16,0
1,1,2017-10-21,Game Day!! 🐉 #FridayFeeling,45,84,3,3.0,19,PHO,@,LAC,L (-42),0,19,1,2,0.5,1,2,0.5,0,0,,0,2,2,2,0,0,2,0,3,2.0,-22,1
2,2,2017-10-25,Great win tonight! We are family no matter what! On to the next one! ✊️,47,86,5,5.0,19,PHO,,UTA,W (+9),0,21,1,4,0.25,1,4,0.25,0,0,,0,4,4,1,1,2,2,1,3,2.5,10,1
3,3,2017-11-01,Game Day in Brooklyn. 🐉🔥,50,89,8,8.0,19,PHO,@,WAS,W (+6),0,24,3,9,0.333,1,4,0.25,1,1,1.0,1,4,5,0,0,1,0,0,8,5.5,3,0
4,4,2017-11-03,Exhibition game tonight for @IvanBender_13 &amp; @TerrapinHoops. #FearTheTurtle,51,90,9,9.0,19,PHO,@,NYK,L (-13),0,26,2,7,0.286,1,6,0.167,2,2,1.0,1,4,5,1,0,1,2,3,7,3.0,-29,0
5,5,2017-11-10,November 18th! I’ll be there 🐉. https://t.co/VrzvlpwrDu,55,94,13,13.0,19,PHO,,ORL,L (-16),0,19,3,4,0.75,2,2,1.0,0,0,,0,4,4,0,0,1,2,5,8,4.3,-13,0
6,6,2017-11-13,The atmosphere tonight 🐉🔥🔥🔥.,57,96,15,15.0,19,PHO,,LAL,L (-7),0,20,6,8,0.75,2,4,0.5,1,2,0.5,1,4,5,0,0,0,1,3,15,11.1,-2,0
7,7,2017-11-16,Back at it ! 🏀🐉 #grind https://t.co/pYhMygQMK0,58,97,16,16.0,19,PHO,,HOU,L (-26),0,22,0,4,0.0,0,2,0.0,0,0,,1,2,3,3,0,0,1,3,0,-1.6,-21,0
8,8,2017-11-19,Can’t ask for more on my birthday! #WeArePHX,60,99,18,18.0,20,PHO,,CHI,W (+8),0,20,1,7,0.143,0,3,0.0,2,2,1.0,1,1,2,1,0,0,1,1,4,-0.2,3,0
9,9,2017-11-22,Looking for a new @netflix show. Any suggestions? 📺,61,100,19,19.0,20,PHO,,MIL,L (-6),0,34,4,7,0.571,3,4,0.75,0,0,,0,6,6,2,2,1,5,2,11,7.8,0,1
