,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2016-11-16,Go follow my official facebook page here https://t.co/C02IBQLo5F,8,11,12,9.0,24,SAS,@,SAC,W (+5),0,17,2,5,0.4,2,5,0.4,1,2,0.5,1,1,2,3,0,2,0,3,7,7.2,3,0
1,1,2016-12-14,1.Happy to say that since last night I am an uncle! Congrats to my brother @DairisBertans and his wife @45il with their firstborn Daniels!!!,19,24,25,20.0,24,SAS,,BOS,W (+7),0,15,1,3,0.333,1,3,0.333,0,0,,0,1,1,4,0,0,0,1,3,4.0,4,1
2,2,2016-12-18,It really feels great to give back!! Thanks to heb for this great opportunity and thanks to all… https://t.co/P9UFQ9dTH2,21,26,27,22.0,24,SAS,,NOP,W (+13),0,12,0,3,0.0,0,2,0.0,0,0,,2,1,3,1,0,0,1,0,0,-0.7,-4,1
3,3,2017-01-03,@DBertans_42 I hope that you like it: https://t.co/Z6SAWZeBbj Tribute for Bertans.,27,34,35,28.0,24,SAS,,TOR,W (+28),0,8,2,3,0.667,1,2,0.5,0,0,,0,2,2,1,0,2,1,0,5,5.4,-4,0
4,4,2017-01-07,I made a video. https://t.co/NQSvvCnhD5,29,36,37,30.0,24,SAS,,CHO,W (+17),0,18,5,6,0.833,4,5,0.8,7,8,0.875,0,1,1,2,1,0,0,2,21,20.3,19,0
5,5,2017-02-06,THE END: What a derby game! @PartizanBC become the first to upset the reigning champs @kkcrvenazvezda this season in the #ABALiga! #PARCZV https://t.co/V9Gh9D5cwR,42,50,51,43.0,24,SAS,@,MEM,L (-15),0,15,0,5,0.0,0,3,0.0,0,0,,0,1,1,0,1,1,0,2,0,-2.3,0,-1
6,6,2017-04-22,"https://t.co/1n3lWUeJUu

RH3 fonda mājas lapā varat izsolē iegūt manu spēļu formu ar parakstu. Un pie viena izdarīsiet labu darbiņu! #RH3",69,85,4,3.0,24,SAS,@,MEM,L (-2),0,10,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,0,2,0,0,3,3.0,13,-1
7,7,2017-12-18,Manu is Manu for the last 15 years!! 💪💪 Great team comeback to get that W at the end!! #GrandpaJuice,106,128,31,27.0,25,SAS,,LAC,W (+18),0,16,2,5,0.4,2,5,0.4,2,3,0.667,0,3,3,0,1,1,0,1,8,7.1,15,1
8,8,2018-01-02,Happy New Year... Wish everybody to be positive and this world will be a better place!! 🍾🥂🎇🎆,113,135,38,34.0,25,SAS,@,NYK,W (+9),0,18,3,6,0.5,2,5,0.4,2,2,1.0,2,2,4,0,0,0,0,3,10,7.8,3,1
9,9,2018-01-17,"Happy to say that I’m partnering with @blindsave . Most comfortable compression and protection gear for athletes. I used to hate wearing padded tights because it always felt like it was heavy and limiting my movements until I got a chance to try @blindsave 
#GameWithoutLimits https://t.co/EtUoDsDeYu",121,143,46,42.0,25,SAS,@,BRK,W (+5),0,22,1,3,0.333,0,2,0.0,0,0,,0,1,1,2,0,0,1,2,2,0.2,6,1
