,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-10-27,Ne new music out. Thts a must have. BEen slacking a lil bit,0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,1
1,1,2010-10-27,Ok ok yep tht 30mins to New Orleans songs go. Wezzy bout to come out sayin sum stuff. Ight now. #pause,0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,1
2,2,2010-10-27,"Bout to hear it nowRT @JackMcClinton: weezy finally came out wit 30 minutes to new orleans full song ,, shh is fireeee",0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,1
3,3,2010-10-27,RT @QRich: Just tuned in to NBA pregame on TNT. Season kickoff is upon us tweeples!! About to watch my bro ... http://tmi.me/2BKyG,0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,0
4,4,2010-10-27,Black and Yellow!!,0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,0
5,5,2010-10-27,Also whts the top house music out right now,0,0,1,1.0,24,GSW,,HOU,W (+4),1,36,6,14,0.429,3,6,0.5,0,0,,1,2,3,2,2,1,2,2,15,10.2,10,0
6,6,2010-10-29,1 dwn 81 to go!! fans were great 2nite!! monta was on mars wit tht show he put on!! wooow.. feels good to be home!! #gsw.,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,1
7,7,2010-10-29,Shouts to @MistahFAB now thts a true and die heart fan!! Heard him the whole game. That's whts up.,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,1
8,8,2010-10-29,BLACK AND YELLOW!! GNITE FOLKS,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,1
9,9,2010-10-29,Like a G6!!,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,0
10,10,2010-10-29,shouts to my bros my family #LAU,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,0
11,11,2010-10-29,Bout to watch my big bro @QRich do his stuff. TNT!! Let's go bro,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,1
12,12,2010-10-29,My bro @dwadeofficial was lookin like the dude I knw last nite. #pause let's go,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,0
13,13,2010-10-29,Lmao lol RT @BarberDollRey: I have been nodding off in the front seat of this van like an old ass woman,1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,0
14,14,2010-10-29,"BombRT @BLKICE3: #thingsweusedtodoaskidseat Lucas, watermelon suckers, mix Lucas powder w/ sugar......where the ice cream truck!!! So #LA",1,1,2,2.0,24,GSW,,LAC,W (+18),1,38,9,13,0.692,6,8,0.75,0,0,,1,7,8,3,0,0,2,1,24,21.0,14,0
15,15,2010-10-31,"RT @Teairra_Mari: ""Others may hate you, but those who hate  you don't win unless you hate  them.""",2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,-1
16,16,2010-10-31,Shouts to the whole #Bay and the fans. U guys were great again!! Let's keep it goin!! Shouts for all the Love 2. 80 more to go folks!!,2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,0
17,17,2010-10-31,Lmao who's watchin College Game Day!! Do u guys see the signs in the background lmao way 2 Funny! Gotta Love the SC Fans!!,2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,0
18,18,2010-10-31,Just talked to my Big Bro @dwadeofficial talked to other Big Bro early @QRich its still #135 diff jersey same Crew!! #Blessed,2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,0
19,19,2010-10-31,Lmao word up!! He does everything. He's like a nat!! Trust me lol RT @micahfonecheck: Wow Rajon Rondo 24 asst! That boy Good!,2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,1
20,20,2010-10-31,Lmfao tht sht is way to FUNTAY!! Haahahahhaha RT @BStyleINC: June Cleaver and Justin Timberlake  http://plixi.com/p/53765471,2,2,3,3.0,24,GSW,@,LAL,L (-24),1,33,7,15,0.467,2,6,0.333,2,4,0.5,1,4,5,1,1,2,1,1,18,13.1,-22,0
21,21,2010-11-03,"Lmmfao hahahhahahahaha RT @JackMcClinton: #inhighschool i got caught wit a porno in my vcr,,  i went home to push ... http://tmi.me/2P4kI",3,3,4,4.0,24,GSW,,MEM,W (+6),1,43,8,17,0.471,7,13,0.538,2,3,0.667,1,5,6,0,2,2,3,2,25,17.7,6,0
22,22,2010-11-03,The Record #inhighschool for king of the court between me @JackMcClinton @Yocheymo is me 52 Jack-41 Chey-20 or 21 hahahahahha #theymadtweet,3,3,4,4.0,24,GSW,,MEM,W (+6),1,43,8,17,0.471,7,13,0.538,2,3,0.667,1,5,6,0,2,2,3,2,25,17.7,6,0
23,23,2010-11-03,Shouts to my bro's @MrJPhresh @weshootpeople,3,3,4,4.0,24,GSW,,MEM,W (+6),1,43,8,17,0.471,7,13,0.538,2,3,0.667,1,5,6,0,2,2,3,2,25,17.7,6,0
24,24,2010-11-03,RT @warriors: Post-practice photoshoot. @dwrightway1 rockin' the Chuck Taylor's with the suit. http://twitpic.com/33coiy,3,3,4,4.0,24,GSW,,MEM,W (+6),1,43,8,17,0.471,7,13,0.538,2,3,0.667,1,5,6,0,2,2,3,2,25,17.7,6,1
