,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-11-03,Count C.F. Volney... Ruins Of Empire,3,3,4,4.0,30,NOH,@,HOU,W (+8),1,32,5,14,0.357,0,0,,3,4,0.75,4,5,9,1,0,2,4,2,13,6.4,4,0
1,1,2010-11-05,By far my favorite NOLA snack...Fried crab claws!!,4,4,5,5.0,30,NOH,,MIA,W (+3),1,28,5,12,0.417,0,0,,5,6,0.833,4,3,7,0,1,0,2,4,15,9.3,-8,1
2,2,2011-01-12,"Trucks Block lanes, now a traffic light...Who is in charge?",37,38,39,38.0,30,NOH,,ORL,W (+3),1,37,6,18,0.333,0,0,,1,2,0.5,4,6,10,4,0,2,0,3,13,10.0,1,0
3,3,2011-01-12,8 years in NOLA. Still don't understand Huey P Long Bridge!,37,38,39,38.0,30,NOH,,ORL,W (+3),1,37,6,18,0.333,0,0,,1,2,0.5,4,6,10,4,0,2,0,3,13,10.0,1,0
4,4,2011-01-21,Great Game 2nite...Energy in Arena was Crazy,42,43,44,43.0,30,NOH,@,ATL,W (+41),1,29,4,7,0.571,0,1,0.0,7,8,0.875,4,4,8,4,0,0,6,2,15,11.3,23,0
5,5,2011-12-26,Wide the hell awake cause alarm won't stop beeping...,70,72,1,1.0,31,IND,,DET,W (+12),1,31,3,12,0.25,0,0,,5,6,0.833,7,5,12,3,0,2,1,1,11,11.9,14,-1
6,6,2011-12-26,Enjoying this time...,70,72,1,1.0,31,IND,,DET,W (+12),1,31,3,12,0.25,0,0,,5,6,0.833,7,5,12,3,0,2,1,1,11,11.9,14,0
7,7,2011-12-26,Pissed right now...,70,72,1,1.0,31,IND,,DET,W (+12),1,31,3,12,0.25,0,0,,5,6,0.833,7,5,12,3,0,2,1,1,11,11.9,14,0
8,8,2011-12-28,4 those who pray...Pray 4 the Evans family!!,71,73,2,2.0,31,IND,@,TOR,W (+5),1,31,6,12,0.5,0,0,,2,4,0.5,0,6,6,1,2,1,1,3,14,10.2,8,0
9,9,2011-12-28,Snow...,71,73,2,2.0,31,IND,@,TOR,W (+5),1,31,6,12,0.5,0,0,,2,4,0.5,0,6,6,1,2,1,1,3,14,10.2,8,0
10,10,2012-01-04,Hope Miami is warm...,75,77,6,6.0,31,IND,@,MIA,L (-35),1,20,2,6,0.333,0,0,,5,5,1.0,1,3,4,2,0,0,3,3,9,4.4,4,1
11,11,2012-01-04,#thingsiwantinlife....For them to land this damn plane...,75,77,6,6.0,31,IND,@,MIA,L (-35),1,20,2,6,0.333,0,0,,5,5,1.0,1,3,4,2,0,0,3,3,9,4.4,4,0
12,12,2012-01-04,Captain just said on be like this for n hour....Not a good look...,75,77,6,6.0,31,IND,@,MIA,L (-35),1,20,2,6,0.333,0,0,,5,5,1.0,1,3,4,2,0,0,3,3,9,4.4,4,-1
13,13,2012-01-04,using wi-fi on this flight....Turbulence arrrrgggghhhhh,75,77,6,6.0,31,IND,@,MIA,L (-35),1,20,2,6,0.333,0,0,,5,5,1.0,1,3,4,2,0,0,3,3,9,4.4,4,0
14,14,2012-01-06,Need my Music...,76,78,7,7.0,31,IND,@,BOS,W (+13),1,27,1,5,0.2,0,0,,0,0,,4,6,10,3,0,1,2,2,2,3.5,5,-1
15,15,2012-01-06,4 got how boring da road is...,76,78,7,7.0,31,IND,@,BOS,W (+13),1,27,1,5,0.2,0,0,,0,0,,4,6,10,3,0,1,2,2,2,3.5,5,-1
16,16,2012-01-13,Formal education has an end. True education does not.,80,82,11,11.0,31,IND,@,TOR,W (+5),1,31,4,10,0.4,0,0,,3,4,0.75,0,4,4,1,2,0,3,5,11,4.1,-3,-1
17,17,2012-01-20,Rainy in Frisco!!!,83,85,14,14.0,31,IND,@,GSW,W (+3),1,35,7,12,0.583,0,0,,4,5,0.8,2,5,7,4,1,1,3,2,18,15.6,9,0
18,18,2012-01-20,On da road!!,83,85,14,14.0,31,IND,@,GSW,W (+3),1,35,7,12,0.583,0,0,,4,5,0.8,2,5,7,4,1,1,3,2,18,15.6,9,0
19,19,2012-01-20,Bus ride to Frisco...,83,85,14,14.0,31,IND,@,GSW,W (+3),1,35,7,12,0.583,0,0,,4,5,0.8,2,5,7,4,1,1,3,2,18,15.6,9,0
20,20,2012-01-24,"""@andrewoelslager: @D_West30 can i get a shoutout for my bday. #pacernation""...Born/Day",85,87,16,16.0,31,IND,,ORL,L (-19),1,29,3,8,0.375,0,0,,0,0,,2,1,3,2,0,0,0,3,6,3.5,-8,0
