,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Iz anybody gonna watch da BET AWARDS with me I'm goin back and forth wit the cav and celtics game so but da awards are gonna b off da hook,0,0,1,1.0,20,SAS,,NOH,W (+17),0,23,7,10,0.7,0,0,,0,1,0.0,5,6,11,3,0,0,2,4,14,13.2,11,0
1,1,2009-10-28,Nicki minaj killed the BeT cypher!!! She iz a beast I love her!!!!!,0,0,1,1.0,20,SAS,,NOH,W (+17),0,23,7,10,0.7,0,0,,0,1,0.0,5,6,11,3,0,0,2,4,14,13.2,11,1
2,2,2009-10-28,Did plies chain just come off???? WOW!!!!!,0,0,1,1.0,20,SAS,,NOH,W (+17),0,23,7,10,0.7,0,0,,0,1,0.0,5,6,11,3,0,0,2,4,14,13.2,11,0
3,3,2009-10-29,"i am excited about the start of the season!! feel like a kid on Christmas eve, i can't sleep!!",1,1,2,2.0,20,SAS,@,CHI,L (-7),0,13,3,3,1.0,0,0,,0,0,,2,2,4,0,0,0,1,4,6,4.5,-4,-1
4,4,2009-10-29,RT @tarajhabankz: It feels good to want something at the same time as someone else...maybe this is our time ;-) it feel real good to kno dat,1,1,2,2.0,20,SAS,@,CHI,L (-7),0,13,3,3,1.0,0,0,,0,0,,2,2,4,0,0,0,1,4,6,4.5,-4,1
5,5,2009-10-31,Good morning we gonna Bounce back we r ok it's only the second game we r fine 80 more to go lol go spurs go!!!!!,2,2,3,3.0,20,SAS,,SAC,W (+19),0,26,2,4,0.5,0,0,,1,2,0.5,1,9,10,1,2,0,3,4,5,4.1,2,1
6,6,2009-11-05,As I look up were did the ceilings go!!!!!!! WEEZY IZ DA MAN,3,3,4,4.0,20,SAS,@,UTA,L (-14),0,21,7,10,0.7,0,0,,0,0,,5,4,9,0,0,1,0,0,14,15.2,5,0
7,7,2009-11-05,Chillin n my hotel n Utah its a Lil cold but it's kool Pittsburgh is da same but San Antonio is hott it was 77 2 day,3,3,4,4.0,20,SAS,@,UTA,L (-14),0,21,7,10,0.7,0,0,,0,0,,5,4,9,0,0,1,0,0,14,15.2,5,-1
8,8,2009-11-06,GoodMorning Twitter family how's everyones day goin so far???? It's a wonderful morning!!!!!!,4,4,5,5.0,20,SAS,@,POR,L (-12),0,10,0,2,0.0,0,0,,0,0,,0,4,4,0,0,0,0,0,0,-0.2,-8,0
9,9,2009-11-06,Check this video out -- 2007 Schenley Mens Basketball http://bit.ly/gjYx1 bigplaydj1 remember this bro lol,4,4,5,5.0,20,SAS,@,POR,L (-12),0,10,0,2,0.0,0,0,,0,0,,0,4,4,0,0,0,0,0,0,-0.2,-8,0
10,10,2009-11-09,Yo y'all funny b safe man and have fun@bigplaydj1 @dclancy25 @geezy45 lol do y'all skeeeeeeders,5,5,6,6.0,20,SAS,,TOR,W (+7),0,19,3,7,0.429,0,0,,0,0,,4,3,7,1,0,0,1,5,6,3.7,-4,1
11,11,2009-11-09,Twitter goodmorning,5,5,6,6.0,20,SAS,,TOR,W (+7),0,19,3,7,0.429,0,0,,0,0,,4,3,7,1,0,0,1,5,6,3.7,-4,0
