,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Open day of the NBA season. Yessir!,0,0,1,1.0,20,TOR,,CLE,W (+10),1,24,3,6,0.5,0,1,0.0,2,2,1.0,0,5,5,1,1,1,1,2,8,7.1,11,0
1,1,2009-10-30,About to head to Memphis. What's good M town?,1,1,2,2.0,20,TOR,@,MEM,L (-8),1,20,3,7,0.429,0,0,,0,0,,2,3,5,1,0,1,0,1,6,5.6,3,0
2,2,2009-10-30,Flight to Memphis. Get at yall when I land.,1,1,2,2.0,20,TOR,@,MEM,L (-8),1,20,3,7,0.429,0,0,,0,0,,2,3,5,1,0,1,0,1,6,5.6,3,0
3,3,2009-10-30,Just made it to Memphis. Heading to the hotel.,1,1,2,2.0,20,TOR,@,MEM,L (-8),1,20,3,7,0.429,0,0,,0,0,,2,3,5,1,0,1,0,1,6,5.6,3,0
4,4,2009-11-01,Happy Monster Day to everybody lol,2,2,3,3.0,20,TOR,,ORL,L (-9),1,19,3,5,0.6,1,1,1.0,1,2,0.5,2,1,3,0,0,0,0,3,8,5.8,-6,1
5,5,2009-11-01,Hit me up if you at the Jay concert!!!,2,2,3,3.0,20,TOR,,ORL,L (-9),1,19,3,5,0.6,1,1,1.0,1,2,0.5,2,1,3,0,0,0,0,3,8,5.8,-6,0
6,6,2009-11-01,If you going to the Jay Z concert and you see me say what's up. And I'm a grown man I'll be damn if I wear a costume to a concert. Lol,2,2,3,3.0,20,TOR,,ORL,L (-9),1,19,3,5,0.6,1,1,1.0,1,2,0.5,2,1,3,0,0,0,0,3,8,5.8,-6,1
7,7,2009-11-01,Yooo who going to the Jay Z concert tonight in T Dot?,2,2,3,3.0,20,TOR,,ORL,L (-9),1,19,3,5,0.6,1,1,1.0,1,2,0.5,2,1,3,0,0,0,0,3,8,5.8,-6,0
8,8,2009-11-04,Getting ready for practice. Another day to get better.,3,3,4,4.0,20,TOR,,DET,W (+11),1,18,1,5,0.2,0,0,,1,2,0.5,3,0,3,2,1,1,0,2,3,3.9,-10,1
9,9,2009-11-04,Never let a day go by without making progress in something.,3,3,4,4.0,20,TOR,,DET,W (+11),1,18,1,5,0.2,0,0,,1,2,0.5,3,0,3,2,1,1,0,2,3,3.9,-10,-1
10,10,2009-11-06,Flight to New Orleans.,4,4,5,5.0,20,TOR,@,NOH,W (+17),1,18,2,3,0.667,0,0,,0,0,,0,2,2,2,0,1,1,1,4,4.0,7,0
11,11,2009-11-06,Just touched doown in the N.O,4,4,5,5.0,20,TOR,@,NOH,W (+17),1,18,2,3,0.667,0,0,,0,0,,0,2,2,2,0,1,1,1,4,4.0,7,0
12,12,2009-11-09,Here we go again!,6,6,7,7.0,20,TOR,@,SAS,L (-7),1,13,1,2,0.5,0,0,,0,0,,1,0,1,0,1,1,1,2,2,1.6,4,0
