,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-26,Just finished my Santa duties had to leave him some cookies n milk in case he gets hungry ; )...Merry Christmas 2 all of my followers!!!,0,0,1,1.0,27,NJN,@,WAS,W (+6),1,40,8,22,0.364,4,12,0.333,3,3,1.0,3,5,8,9,1,1,4,3,23,17.2,23,0
1,1,2011-12-26,Just turned on the TV to ABC they must have a malfunction on the scoreboard bc this can't be the real score?,0,0,1,1.0,27,NJN,@,WAS,W (+6),1,40,8,22,0.364,4,12,0.333,3,3,1.0,3,5,8,9,1,1,4,3,23,17.2,23,-1
2,2,2011-12-27,On my way the Verizon Center for the game tonight against the Wizards! #LetsGetIt,1,1,2,2.0,27,NJN,,ATL,L (-36),1,25,3,11,0.273,2,3,0.667,2,2,1.0,1,2,3,1,0,0,6,2,10,-1.3,-22,-1
3,3,2012-01-01,"""@Marshon2: Team dinner at 6, this is one funny team...."" Too Funny",4,4,5,5.0,27,NJN,@,CLE,L (-16),1,34,6,16,0.375,1,4,0.25,3,4,0.75,1,3,4,5,3,0,6,3,16,7.7,-3,0
4,4,2012-01-01,Let me know how u guys plan to #makeitcount in 2012???,4,4,5,5.0,27,NJN,@,CLE,L (-16),1,34,6,16,0.375,1,4,0.25,3,4,0.75,1,3,4,5,3,0,6,3,16,7.7,-3,0
5,5,2012-01-13,Two years after #Haiti quake the number of orphans has doubled. I'm helping through #AidStillRequired. Will you? http://t.co/CYhu04PG RT,10,11,12,11.0,27,NJN,@,PHO,W (+7),1,41,11,18,0.611,6,9,0.667,7,8,0.875,0,2,2,14,0,0,2,3,35,33.6,-3,0
6,6,2012-01-21,Good times today at the @Bonobos offices. Excited for my new suits to come in. http://t.co/uVZgPKH9,14,15,16,15.0,27,NJN,,OKC,L (-10),1,39,5,18,0.278,0,6,0.0,4,4,1.0,0,4,4,6,1,0,3,1,14,6.4,-5,1
7,7,2012-01-22,I was starting to wonder if it was ever going to snow in NYC!,15,16,17,16.0,27,NJN,,CHA,W (+10),1,38,8,17,0.471,1,5,0.2,2,2,1.0,1,8,9,10,2,0,6,2,19,15.6,7,-1
8,8,2012-01-29,I know it's wrong but watching people fall while Ice skating is really entertaining! As long as they don't get hurt of course.,19,20,21,20.0,27,NJN,,TOR,L (-21),1,33,8,20,0.4,3,10,0.3,5,6,0.833,1,3,4,6,0,0,3,3,24,14.4,-11,-1
9,9,2012-02-03,From http://t.co/DGODQNXr: No. 8 Captains 'Great Eight' to Win Over Detroit http://t.co/wwSFenQs,22,23,24,23.0,27,NJN,,MIN,L (-3),1,38,5,18,0.278,0,3,0.0,2,2,1.0,0,5,5,14,2,2,6,2,12,9.3,-10,0
10,10,2012-02-03,Watching my boys @CJMiles34 @Earl_Watson and @CP3  on @NBAonESPN can't sleep to wound up after a tough win tonight....,22,23,24,23.0,27,NJN,,MIN,L (-3),1,38,5,18,0.278,0,3,0.0,2,2,1.0,0,5,5,14,2,2,6,2,12,9.3,-10,0
11,11,2012-02-04,Thanks again @Bonobos for a great time at the #BonobosSuitsU event launching our partnership. Check out @Dunn and I http://t.co/70isZnNJ,23,24,25,24.0,27,NJN,@,NYK,L (-7),1,44,7,19,0.368,3,7,0.429,4,4,1.0,1,5,6,11,3,0,3,2,21,19.6,-3,1
12,12,2012-02-04,Thanks @Redbull for joining the @Bonobos event last night too http://t.co/FFrmZGDr,23,24,25,24.0,27,NJN,@,NYK,L (-7),1,44,7,19,0.368,3,7,0.429,4,4,1.0,1,5,6,11,3,0,3,2,21,19.6,-3,1
13,13,2012-02-08,Prayers go out to @Amareisreal and his family for their loss,25,26,27,26.0,27,NJN,,DET,L (-7),1,41,10,21,0.476,6,9,0.667,8,9,0.889,0,2,2,7,0,1,2,4,34,25.5,-2,0
14,14,2012-02-10,I am very honored to be selected to this year's All-Star game and I would like to thank all of the coaches in the Eastern Conference,26,27,28,27.0,27,NJN,@,DET,L (-17),1,28,4,10,0.4,0,4,0.0,6,7,0.857,0,1,1,4,2,1,2,3,14,10.8,-23,1
15,15,2012-02-15,Congrats to my bro @BlackBoiPachino for making it to the #3pointshootout!,28,29,30,29.0,27,NJN,,MEM,L (-5),1,36,9,18,0.5,4,10,0.4,4,4,1.0,0,1,1,11,2,1,4,2,26,22.9,-3,0
