,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2016-10-26,"Excited to be part of @DICKS Sporting Goods Customer Appreciation Event in Midwest City.  I’ll be there Saturday 3pm-5pm, see you there!",0,0,1,1.0,20,OKC,@,PHI,W (+6),1,16,2,5,0.4,1,3,0.333,0,0,,0,4,4,0,0,0,0,2,5,2.7,-10,0
1,1,2016-11-25,Let's go Zags! 💪🏻🏀 https://t.co/20AEKw6qVp,16,16,17,17.0,20,OKC,@,DEN,W (+3),1,28,5,7,0.714,3,3,1.0,0,0,,1,5,6,1,1,0,2,2,13,11.2,-1,0
2,2,2016-12-04,It's that time again!!! 💪🏻🏀 Lets go @ZagMBB #ZagUp https://t.co/EinB92P1iO,20,20,21,21.0,20,OKC,,NOP,W (+9),1,25,2,5,0.4,1,1,1.0,0,0,,0,2,2,0,2,1,1,4,5,3.0,8,0
3,3,2016-12-09,My Zags!!! 👀🔥🔥🔥,22,22,23,23.0,20,OKC,,HOU,L (-3),1,24,1,5,0.2,1,3,0.333,0,0,,0,3,3,1,0,0,1,1,3,0.1,-6,-1
4,4,2016-12-19,Great team win tonight! #ThunderUp⚡️ https://t.co/bxGd7BJE1O,27,27,28,28.0,20,OKC,,ATL,L (-2),1,13,0,3,0.0,0,2,0.0,0,0,,0,4,4,0,0,0,2,1,0,-3.3,-7,1
5,5,2016-12-27,Such a fun atmosphere tonight! Happy Holidays everyone #NBAXmas #ThunderUp ⚡️🎄 https://t.co/EuDwzKBuKB,31,31,32,32.0,20,OKC,@,MIA,W (+12),1,26,3,6,0.5,0,2,0.0,0,0,,2,2,4,0,1,0,0,1,6,5.6,-3,0
6,6,2017-01-02,Perfect way to finish off 2016 with a win! Wishing everyone a Happy New Year from my family to yours 🎉 #ThunderUp ⚡️ https://t.co/pj0ULxfGJK,34,34,35,35.0,20,OKC,@,MIL,L (-4),1,26,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,1,0,1,2,0,-0.2,11,1
7,7,2017-01-16,Lets go Zags 20 more minutes!💪🏻#ZagUp,42,42,43,43.0,20,OKC,@,LAC,L (-22),1,27,4,7,0.571,2,3,0.667,0,0,,0,0,0,4,2,0,2,3,10,8.3,-6,0
8,8,2017-03-22,Thunder Fans don't forget! Open up your @Uber app between 4-5 p.m. for a chance to shoot hoops w/ me! Info: https://t.co/SkP45ful6m,70,70,71,71.0,20,OKC,,PHI,W (+25),0,18,1,5,0.2,0,0,,1,2,0.5,1,5,6,2,1,0,2,4,3,0.5,9,-1
9,9,2017-03-26,Family!!! 💪🏻⚡️ #WhyNotBowl https://t.co/D2r7fTVW4Q,71,71,72,72.0,20,OKC,@,HOU,L (-12),0,10,0,3,0.0,0,0,,0,0,,1,1,2,1,0,0,1,1,0,-1.8,-5,0
10,10,2017-04-02,Let's goooooooooooooo!!!#UnitedWeZag #FinalFour,74,75,76,75.0,20,OKC,,CHO,L (-12),0,13,2,5,0.4,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,5,2.6,4,0
