,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,(Oreo and sasha can play together)RT @mister6clutch: Oreo is American bulldog,0,0,1,1.0,27,MIA,,NYK,W (+22),1,36,10,22,0.455,1,4,0.25,5,7,0.714,0,5,5,5,2,0,2,1,26,18.4,35,0
1,1,2009-10-28,Coming soon to the city of chicago. @flashaau.,0,0,1,1.0,27,MIA,,NYK,W (+22),1,36,10,22,0.455,1,4,0.25,5,7,0.714,0,5,5,5,2,0,2,1,26,18.4,35,0
2,2,2009-10-28,(Show love and follow my aau page)RT @FLASHAAU: @dwadeofficial whts up bro this is ur AAU page..,0,0,1,1.0,27,MIA,,NYK,W (+22),1,36,10,22,0.455,1,4,0.25,5,7,0.714,0,5,5,5,2,0,2,1,26,18.4,35,0
3,3,2009-10-28,I'm sitting hre getting ready 2 watch the cavs vs the celts & I cnt do nothing but get pumped 4 2morrows opener,0,0,1,1.0,27,MIA,,NYK,W (+22),1,36,10,22,0.455,1,4,0.25,5,7,0.714,0,5,5,5,2,0,2,1,26,18.4,35,0
4,4,2009-10-30,Out to eat with #135,1,1,2,2.0,27,MIA,@,IND,W (+13),1,35,9,19,0.474,0,3,0.0,14,19,0.737,1,2,3,4,3,1,2,5,32,24.1,20,0
5,5,2009-10-30,"I had on the jordan 16.5s. ""Nice shoes larry""",1,1,2,2.0,27,MIA,@,IND,W (+13),1,35,9,19,0.474,0,3,0.0,14,19,0.737,1,2,3,4,3,1,2,5,32,24.1,20,1
6,6,2009-11-01,Gettn ready 4 my big halloween nite out lol http://pic.gd/2a0bf3,2,2,3,3.0,27,MIA,,CHI,W (+8),1,36,8,19,0.421,1,4,0.25,8,10,0.8,1,0,1,3,0,0,4,2,25,12.1,7,0
7,7,2009-11-01,Yes we finally won in IN. A gr8 team win. We jus wanna get better from hre.,2,2,3,3.0,27,MIA,,CHI,W (+8),1,36,8,19,0.421,1,4,0.25,8,10,0.8,1,0,1,3,0,0,4,2,25,12.1,7,1
8,8,2009-11-01,Hahaha my fitout 4 tonite is hotness,2,2,3,3.0,27,MIA,,CHI,W (+8),1,36,8,19,0.421,1,4,0.25,8,10,0.8,1,0,1,3,0,0,4,2,25,12.1,7,0
9,9,2009-11-03,Twitter family. Question. What do u do when u love somthing or someone but u feel thy might love something more then u?,3,3,4,4.0,27,MIA,,PHO,L (-8),1,38,7,18,0.389,0,3,0.0,9,11,0.818,2,7,9,7,2,0,4,4,23,17.2,-8,1
10,10,2009-11-04,"So don't be anxious about tomorrow. God will take care of your tomorrow,too. Live one day at a time(matthew 6:34)",4,4,5,5.0,27,MIA,@,WAS,W (+4),1,43,14,26,0.538,2,5,0.4,10,13,0.769,0,4,4,5,1,2,4,3,40,28.1,12,1
11,11,2009-11-06,My TFam that's 4 all the luv. The season is young but we only gonna get better. gd road win 4 us early in season. 135 reppn,5,5,6,6.0,27,MIA,,DEN,W (+8),1,41,6,17,0.353,0,3,0.0,10,12,0.833,1,1,2,5,2,1,3,1,22,15.5,12,0
