,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-01-07,Love my team. I can lean on anyone!!! S/O to  @DWRIGHTWAY1,12,13,36,13.0,23,GSW,,CLE,W (+18),0,12,0,0,,0,0,,1,2,0.5,0,2,2,0,0,0,0,4,1,-0.4,-2,1
1,1,2011-01-21,This weather is amazing. Bout to ride around wit windows down n music bangin,17,19,42,18.0,23,GSW,,SAC,W (+7),0,10,2,3,0.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4,4.1,3,1
2,2,2011-01-28,"Amazing
 http://yfrog.com/gynvjwj",21,23,46,22.0,23,GSW,,CHA,L (-8),0,20,3,7,0.429,0,0,,1,2,0.5,3,0,3,1,0,1,0,4,7,4.8,-4,1
3,3,2011-02-07,Love our fans!!!!,25,27,50,26.0,23,GSW,,PHO,L (-12),0,15,3,5,0.6,0,0,,0,2,0.0,1,2,3,1,0,2,0,0,6,6.3,13,1
4,4,2011-02-07,Um did she mess up?!??,25,27,50,26.0,23,GSW,,PHO,L (-12),0,15,3,5,0.6,0,0,,0,2,0.0,1,2,3,1,0,2,0,0,6,6.3,13,0
5,5,2011-02-15,S/O to our FANS!!! Great win tonight,29,31,54,30.0,23,GSW,,NOH,W (+13),0,19,1,2,0.5,0,0,,0,0,,2,5,7,0,0,2,3,4,2,0.7,11,1
6,6,2011-03-06,The Ferrell Center is crackin!!! Sic Em,37,39,62,38.0,23,GSW,@,PHI,L (-8),1,12,2,3,0.667,0,0,,0,0,,0,5,5,1,0,2,0,4,4,4.7,6,-1
7,7,2011-03-21,RT @DavidMerritt15 GoBLUE tho. We got this.,46,48,71,47.0,23,GSW,@,SAS,L (-15),1,38,7,14,0.5,0,0,,1,2,0.5,4,3,7,1,1,2,2,2,15,11.6,-18,0
8,8,2011-03-23,Posted in H-Town. Whats good wit yall,47,49,72,48.0,23,GSW,@,HOU,L (-19),1,34,4,7,0.571,0,0,,1,2,0.5,2,3,5,0,0,2,1,4,9,6.4,-10,1
9,9,2011-03-27,Happy birthday @RacquelAlyse,49,51,74,50.0,23,GSW,,WAS,W (+10),1,29,2,7,0.286,0,0,,0,0,,4,3,7,1,1,3,2,4,4,3.8,13,1
10,10,2011-04-13,Yo who's goin to check out Lauryn Hill tonight?!?!,57,59,82,58.0,23,GSW,,POR,W (+24),1,29,1,5,0.2,0,0,,1,2,0.5,4,4,8,4,4,2,1,4,3,9.1,16,0
11,11,2011-12-25,Wow!!!!,58,60,1,1.0,24,GSW,,LAC,L (-19),0,13,0,2,0.0,0,0,,1,2,0.5,1,2,3,0,0,0,0,1,1,0.1,-2,1
12,12,2011-12-25,Our youth are really misguided. Wearing ur jeans at ur knees is NOT cooool!!!,58,60,1,1.0,24,GSW,,LAC,L (-19),0,13,0,2,0.0,0,0,,1,2,0.5,1,2,3,0,0,0,0,1,1,0.1,-2,-1
13,13,2011-12-31,Congrats to the BU football team!!!,61,63,4,4.0,24,GSW,,PHI,L (-28),0,19,3,10,0.3,0,0,,1,2,0.5,4,5,9,0,0,0,1,4,7,2.5,-16,0
14,14,2012-01-02,Happy New Years!!! Ok so now what???,62,64,5,5.0,24,GSW,@,PHO,L (-11),0,25,5,8,0.625,0,0,,1,2,0.5,1,2,3,1,1,0,3,3,11,5.8,-3,1
15,15,2012-01-02,Dedication!!! It's gonna pay off!!RT @PIerreJackson55: The gym it is though !Getting some shots up hit me up though !!,62,64,5,5.0,24,GSW,@,PHO,L (-11),0,25,5,8,0.625,0,0,,1,2,0.5,1,2,3,1,1,0,3,3,11,5.8,-3,0
16,16,2012-01-04,"""Everybody eats B""",63,65,6,6.0,24,GSW,@,SAS,L (-6),0,12,1,1,1.0,0,0,,0,0,,1,2,3,0,1,1,1,3,2,2.5,2,0
17,17,2012-01-07,My Wife And Kids,65,67,8,8.0,24,GSW,,UTA,L (-1),0,15,0,3,0.0,0,0,,2,2,1.0,1,3,4,2,0,2,1,4,2,1.7,11,0
18,18,2012-01-07,"""she rockin the head scarf, so I know it's real""",65,67,8,8.0,24,GSW,,UTA,L (-1),0,15,0,3,0.0,0,0,,2,2,1.0,1,3,4,2,0,2,1,4,2,1.7,11,0
19,19,2012-01-12,Wow BU is blowing up!!!! Please don't act surprised,67,69,10,10.0,24,GSW,,ORL,L (-8),0,15,0,3,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,0,5,1,-2.5,4,0
20,20,2012-01-12,Now that was a BASKETBALL game!!! Thanks for the crazy support!!! Lets keep it going!!!!,67,69,10,10.0,24,GSW,,ORL,L (-8),0,15,0,3,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,0,5,1,-2.5,4,1
21,21,2012-01-17,BaylorGang is going to war tonight. Gonna b glued to the TV!!!!! Thank you and don't act surprised!!!!,70,72,13,13.0,24,GSW,@,CLE,W (+10),0,18,1,4,0.25,0,0,,0,0,,1,3,4,0,0,2,1,3,2,0.4,-1,1
22,22,2012-01-17,"My bros are changing their ways, guess I need to follow their steps!!!",70,72,13,13.0,24,GSW,@,CLE,W (+10),0,18,1,4,0.25,0,0,,0,0,,1,3,4,0,0,2,1,3,2,0.4,-1,0
23,23,2012-01-17,Gametime!!!!! Sic em!!!!,70,72,13,13.0,24,GSW,@,CLE,W (+10),0,18,1,4,0.25,0,0,,0,0,,1,3,4,0,0,2,1,3,2,0.4,-1,0
24,24,2012-01-18,Blowing up despite the loss last night . C Drew live on ESPN!!!! Don't be surprised!!! Thank you,71,73,14,14.0,24,GSW,@,NJN,L (-7),0,20,1,4,0.25,0,0,,1,2,0.5,0,2,2,0,0,0,1,4,3,-1.8,-4,1
25,25,2012-01-23,Yea I'm an idiot!!! Why would I take the bay bridge to SFO!!!,73,75,16,16.0,24,GSW,,MEM,L (-1),0,18,3,5,0.6,0,0,,0,0,,0,1,1,0,1,2,0,1,6,6.0,3,-1
26,26,2012-01-23,😂😂😂RT @nate_robinson: got @EkpeUdoh sleep n as well lol #wowzers😳 #gotem  http://t.co/SGlitAAH,73,75,16,16.0,24,GSW,,MEM,L (-1),0,18,3,5,0.6,0,0,,0,0,,0,1,1,0,1,2,0,1,6,6.0,3,0
27,27,2012-01-27,Note taken RT @_Gonzerelli: @EkpeUdoh hit up @BlackScale while going to The Hundreds also.,75,77,18,18.0,24,GSW,,OKC,L (-11),0,20,0,3,0.0,0,0,,3,4,0.75,2,1,3,1,0,0,0,2,3,2.1,-3,-1
28,28,2012-01-27,Great team win tonight. S/O to the fans for the crazy support we get!! Oh and have a nice evening!!!,75,77,18,18.0,24,GSW,,OKC,L (-11),0,20,0,3,0.0,0,0,,3,4,0.75,2,1,3,1,0,0,0,2,3,2.1,-3,1
29,29,2012-01-27,Where's the hundreds store??? Need some gear,75,77,18,18.0,24,GSW,,OKC,L (-11),0,20,0,3,0.0,0,0,,3,4,0.75,2,1,3,1,0,0,0,2,3,2.1,-3,0
30,30,2012-01-31,These CBS shows are getting a lil bit too out there,76,78,19,19.0,24,GSW,,SAC,W (+3),0,22,3,6,0.5,0,0,,0,0,,2,3,5,1,0,4,0,6,6,6.4,5,-1
31,31,2012-02-04,Great win tonight!!! Thanks for the crazy support. Oh n have a nice evening!!!,78,80,21,21.0,24,GSW,@,SAC,L (-8),0,31,0,3,0.0,0,0,,2,2,1.0,1,2,3,3,0,2,0,2,2,3.9,-1,1
32,32,2012-02-12,"""turn my music up""",81,83,24,24.0,24,GSW,,HOU,W (+9),0,32,2,5,0.4,0,0,,3,5,0.6,0,6,6,0,1,1,2,3,7,3.8,17,0
33,33,2012-02-13,Yo what are some slammin breakfast spots out here???,82,84,25,25.0,24,GSW,,PHO,W (+6),0,22,3,6,0.5,0,0,,3,4,0.75,3,1,4,1,1,3,0,2,9,11.0,14,0
34,34,2012-02-15,Yea that was a HUGE win tonight. Thanks for the crazy support!!! Oh and have a nice evening!!!,83,85,26,26.0,24,GSW,,POR,L (-2),0,21,0,1,0.0,0,0,,0,0,,0,1,1,1,0,2,2,2,0,-1.1,-7,1
35,35,2012-02-15,"Happy Valentine's Day to the women in my life; Alice, Esther, Sefon Udoh and Mrs Hardaker!!!",83,85,26,26.0,24,GSW,,POR,L (-2),0,21,0,1,0.0,0,0,,0,0,,0,1,1,1,0,2,2,2,0,-1.1,-7,1
36,36,2012-02-17,Waffle House,84,86,27,27.0,24,GSW,@,OKC,L (-23),0,21,0,2,0.0,0,0,,0,0,,2,2,4,1,1,4,0,3,0,3.9,-11,0
37,37,2012-02-17,OKC what up,84,86,27,27.0,24,GSW,@,OKC,L (-23),0,21,0,2,0.0,0,0,,0,0,,2,2,4,1,1,4,0,3,0,3.9,-11,0
38,38,2012-02-20,S/O To @313MannyHarris for ballin out,86,88,29,29.0,24,GSW,,LAC,W (+7),1,38,9,14,0.643,0,0,,1,2,0.5,6,2,8,1,1,2,0,3,19,19.1,13,0
39,39,2012-02-22,AAAAHHHHH!!!! Great win tonight. Thanks for all the love and support. Bay Area fans=best in the country. Oh and have a nice evening!!!,87,89,30,30.0,24,GSW,@,PHO,W (+2),0,22,0,1,0.0,0,0,,0,0,,1,3,4,0,0,1,1,3,0,-0.6,-7,1
40,40,2012-02-22,Oh n I'm good!!!!!,87,89,30,30.0,24,GSW,@,PHO,W (+2),0,22,0,1,0.0,0,0,,0,0,,1,3,4,0,0,1,1,3,0,-0.6,-7,1
41,41,2012-02-28,"Stewardess told me ,"" don't marry any hoochie mommas""!!! All I could do was hahahahahahahaha and say yes ma'am!!!",88,90,31,31.0,24,GSW,@,IND,L (-24),0,17,3,5,0.6,0,0,,2,3,0.667,1,1,2,0,0,1,0,4,8,5.4,-5,0
42,42,2012-02-28,S/O to @flintstone14 got his FLLLAAAMMEERRR back n his baby bounce!!!!!,88,90,31,31.0,24,GSW,@,IND,L (-24),0,17,3,5,0.6,0,0,,2,3,0.667,1,1,2,0,0,1,0,4,8,5.4,-5,0
43,43,2012-03-02,Great win tonight!!! Got to keep it going!!! Thanks for the support and oh have a nice evening 😜,90,92,33,33.0,24,GSW,@,PHI,L (-22),0,19,3,6,0.5,0,0,,0,0,,1,1,2,0,1,1,0,2,6,4.9,0,1
44,44,2012-03-02,"""I betcha feel like the whole world hatin’ on you, But what’s the holdup? The whole world waitin’ on you""
Jeezy",90,92,33,33.0,24,GSW,@,PHI,L (-22),0,19,3,6,0.5,0,0,,0,0,,1,1,2,0,1,1,0,2,6,4.9,0,-1
45,45,2012-03-07,Good morning!!! What y'all got up today???,93,95,36,36.0,24,GSW,,MEM,L (-18),1,34,2,7,0.286,0,0,,5,6,0.833,3,3,6,4,0,4,1,3,9,10.9,-12,1
