,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-11-07,"2Matts, (Who do you want to hear from?) is back!

S3E1 - HEELLOOO! Jacko's podcast debut. 

🎙️ https://t.co/0GF1KHsmVl https://t.co/66fj7xR3Am",53,64,10,10.0,23,TOR,,CHI,W (+5),0,10,0,1,0.0,0,0,,2,2,1.0,0,1,1,3,0,0,0,1,2,3.3,0,0
1,1,2017-11-07,Just posted a photo @ Air Canada Centre https://t.co/j7PRgtXck4,53,64,10,10.0,23,TOR,,CHI,W (+5),0,10,0,1,0.0,0,0,,2,2,1.0,0,1,1,3,0,0,0,1,2,3.3,0,0
2,2,2017-11-12,fvvshop  https://t.co/tTULYFend4 https://t.co/fET0V91469,55,66,12,12.0,23,TOR,@,BOS,L (-1),0,16,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,2,1,0,2,1,4,2.9,2,-1
3,3,2017-11-17,Good finish to the road trip..headed home! 🙏🏽 #Raptors #WeTheNorth #benchmob,58,69,15,15.0,23,TOR,,NYK,W (+23),0,17,3,6,0.5,1,1,1.0,0,0,,1,3,4,2,0,0,3,3,7,2.8,5,1
4,4,2017-11-19,"Welcome back, @MalcMili13. #RT6 https://t.co/sCmUsmFajj",59,70,16,16.0,23,TOR,,WAS,W (+9),0,24,3,9,0.333,2,7,0.286,2,2,1.0,0,3,3,5,0,0,2,0,10,7.3,7,0
5,5,2017-11-22,How old you gotta be to play for Wichita State? 👴🏼,60,71,17,17.0,23,TOR,@,NYK,L (-8),0,19,3,8,0.375,1,4,0.25,0,0,,0,1,1,2,1,0,1,1,7,3.9,4,0
6,6,2017-11-24,Good day to reflect on how blessed we truly are...Happy Thanksgiving to all🙏🏽 Love,61,72,18,18.0,23,TOR,@,IND,L (-3),0,28,6,10,0.6,2,5,0.4,2,3,0.667,0,5,5,4,4,0,0,2,16,18.5,18,1
7,7,2017-12-01,Good win..good to be home! Gotta build on I️t #WeTheNorth,64,75,21,21.0,23,TOR,,IND,W (+5),0,24,5,9,0.556,1,1,1.0,0,0,,0,4,4,6,1,0,0,2,11,12.3,9,1
8,8,2017-12-08,"First stop: Memphis,TN  #roadtrip #wethenorth",66,77,23,23.0,23,TOR,@,MEM,W (+9),0,22,4,8,0.5,3,6,0.5,1,2,0.5,0,1,1,3,1,1,2,4,12,8.1,-6,0
9,9,2017-12-10,Gotta find a way! Great team win. Build on it #WeTheNorth,67,78,24,24.0,23,TOR,@,SAC,W (+15),0,21,2,5,0.4,0,2,0.0,0,0,,1,1,2,2,1,0,1,1,4,3.3,6,1
10,10,2017-12-11,Career 3PT%: 100.0 https://t.co/9r1RjUMdVE,68,79,25,25.0,23,TOR,@,LAC,L (-5),0,24,1,6,0.167,0,3,0.0,0,0,,0,3,3,0,1,1,0,2,2,0.0,-7,-1
11,11,2017-12-15,"Baka nice.

21p - 11r #RTZ https://t.co/7bFcAwvVUL",70,81,27,27.0,23,TOR,,BRK,W (+33),0,13,3,5,0.6,0,1,0.0,1,1,1.0,0,0,0,1,0,0,0,2,7,4.6,-10,0
12,12,2017-12-23,Deebo Claus surprising his good buddies at @SickKidsNews 🎁 🎅🏾 https://t.co/h3jFWxw39X,74,85,31,31.0,23,TOR,,PHI,W (+16),0,19,0,5,0.0,0,2,0.0,0,0,,0,4,4,2,1,1,0,1,0,0.4,16,0
13,13,2018-01-15,New merch + full restock go shop now @fvvshop https://t.co/DNKueMfk94 https://t.co/WKujnOHkkM,85,96,42,42.0,23,TOR,@,PHI,L (-6),0,16,1,8,0.125,0,2,0.0,6,6,1.0,0,2,2,0,0,0,1,2,8,1.6,4,0
14,14,2018-01-15,"➡️ig: fredvanvleet 
➡️ig: fvvshop https://t.co/MS0A6JhO71",85,96,42,42.0,23,TOR,@,PHI,L (-6),0,16,1,8,0.125,0,2,0.0,6,6,1.0,0,2,2,0,0,0,1,2,8,1.6,4,0
15,15,2018-01-26,💰B$Y💰,88,101,47,45.0,23,TOR,,UTA,L (-4),0,18,1,6,0.167,1,3,0.333,0,0,,0,2,2,2,0,0,0,2,3,0.4,0,1
16,16,2018-01-30,@FredVanVleet Just wanted to tell you that Keith would’ve been so damn proud of how well you’re playing on the next level and representing WSU. I don’t doubt he’s watching heaven. Here’s to many more career highs! https://t.co/pJEix3GA3R,90,103,49,47.0,23,TOR,,MIN,W (+5),0,21,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,2,0,0,1,2,10,6.9,6,-1
17,17,2018-01-30,"From small town hopes to big city dreams, @RonBaker31’s commitment to his team and the game of basketball have paved the way for his success. Watch Ron “Make It Pro” ➡️ @Squarespace https://t.co/GRLly79tix",90,103,49,47.0,23,TOR,,MIN,W (+5),0,21,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,2,0,0,1,2,10,6.9,6,1
18,18,2018-01-30,💰 https://t.co/JM10sJmab5,90,103,49,47.0,23,TOR,,MIN,W (+5),0,21,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,2,0,0,1,2,10,6.9,6,0
