,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-11-01,"First win of the season! 🏀

@Pacers 118:108 @BrooklynNets https://t.co/nQ0LzSbuOp",2,4,5,3,20,IND,,CLE,W (+7),0,25,3,7,0.429,1,3,0.333,3,4,0.75,4,6,10,0,0,4,3,3,10,9.1,15,0
1,1,2019-11-06,"Next Match!
@Pacers v @hornets https://t.co/sCiZFpzw5g",5,7,8,6,20,IND,,WAS,W (+15),0,20,3,6,0.5,1,2,0.5,6,8,0.75,2,1,3,1,0,0,1,3,13,9.4,-9,0
2,2,2019-11-16,"Next Match 🏀💪

@HoustonRockets v @Indiana https://t.co/ldgjqQweoH",7,12,13,8,20,IND,,MIL,L (-19),0,12,3,5,0.6,1,2,0.5,0,0,,0,1,1,0,0,0,1,0,7,4.0,-3,0
3,3,2019-11-25,☺ https://t.co/KolKhFLgXC,10,15,16,11,20,IND,,MEM,W (+12),0,7,1,3,0.333,0,0,,2,2,1.0,1,0,1,0,0,1,0,2,4,2.9,-9,0
4,4,2020-03-06,🤝🇬🇪🇭🇷 @SamanicLuka https://t.co/uaHgs9ATQ6,47,62,63,48,20,IND,@,CHI,W (+6),0,7,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,0,1,1,1,1,4,2.9,6,0
5,5,2021-04-13,"ICYMI: The vets filled rookie Cassius Stanley’s car up with a special surprise 😱🍿
 https://t.co/psMNA6vh7q",87,126,53,34,21,IND,,LAC,L (-11),0,11,0,4,0.0,0,2,0.0,0,0,,1,1,2,0,0,1,0,1,0,-1.5,-14,1
6,6,2021-05-05,He votado por @gioshermadini para el #MVPMovistar de @movistar_es,91,138,65,38,21,IND,,SAC,L (-11),0,21,2,4,0.5,1,2,0.5,0,0,,1,5,6,2,0,2,0,3,5,6.8,-2,-1
7,7,2021-05-06,He votado por @gioshermadini para el #MVPMovistar de @movistar_es,92,139,66,39,21,IND,,ATL,W (+7),0,14,1,4,0.25,0,3,0.0,0,0,,0,1,1,1,0,1,0,2,2,0.5,-3,-1
8,8,2021-05-08,He votado por @gioshermadini para el #MVPMovistar de @movistar_es,93,140,67,40,21,IND,,WAS,L (-1),0,16,3,7,0.429,1,4,0.25,0,0,,2,0,2,2,1,3,0,2,7,8.4,-7,-1
9,9,2021-05-11,He votado por @gioshermadini para el #MVPMovistar de @movistar_es,95,142,69,42,21,IND,,PHI,W (+9),0,18,0,4,0.0,0,3,0.0,4,4,1.0,1,1,2,1,0,2,0,3,4,3.1,4,-1
10,10,2021-05-13,He votado por @gioshermadini para el #MVPMovistar de @movistar_es,96,143,70,43,21,IND,,MIL,L (-9),0,24,2,5,0.4,2,3,0.667,4,6,0.667,2,4,6,4,0,0,0,5,10,9.9,1,-1
