,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-29,Just woke up from a good one hour nap:)  What now.........?,1,1,2,2.0,25,HOU,,SAS,W (+20),0,21,3,10,0.3,0,3,0.0,0,0,,0,1,1,3,1,1,0,2,6,3.5,-6,1
1,1,2011-12-29,Tomorrow is the 1st home game against San Antonio Spurs.Let get a win! @Klow7  @CourtneyLee2211  @CBudinger @LScola4 @jordanchill43 @pdpatt,1,1,2,2.0,25,HOU,,SAS,W (+20),0,21,3,10,0.3,0,3,0.0,0,0,,0,1,1,3,1,1,0,2,6,3.5,-6,1
2,2,2011-12-29,Thanks to all my followers for supporting me. We are at 7.000 ;),1,1,2,2.0,25,HOU,,SAS,W (+20),0,21,3,10,0.3,0,3,0.0,0,0,,0,1,1,3,1,1,0,2,6,3.5,-6,1
3,3,2011-12-30,"Tonight I'll try the best I can, just for my RED nation..I need u to be loud!!!:)) #HoustonRockets",2,2,3,3.0,25,HOU,@,MEM,L (-20),0,12,2,5,0.4,1,2,0.5,0,0,,1,0,1,1,0,0,2,2,5,0.9,-15,1
4,4,2011-12-31,Great day for all the #HoustonRockets !!!!! 1st home win against the Spurs. Next stop Memphis Grizzlies :) Let's get a W! Good night,3,3,4,4.0,25,HOU,,ATL,W (+11),0,13,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-7,1
5,5,2011-12-31,"One more win, and much more to go!guys where doing great job on the court.and cant forget about all the fans.tnx for support..its all for u!",3,3,4,4.0,25,HOU,,ATL,W (+11),0,13,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-7,1
6,6,2011-12-31,"I speak 5 languages, how many do you?I m asking those who are correcting me.(u can unfollow any time)
P.S.I all so play basketball in NBA.;)",3,3,4,4.0,25,HOU,,ATL,W (+11),0,13,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-7,-1
7,7,2012-01-06,Congratulations to my man @SteveNash!!! He became one of the seventh players in @PhoenixSuns history to score 10.000 points. Respect!!!!!!!,6,6,7,7.0,25,HOU,@,OKC,L (-15),1,37,4,10,0.4,1,4,0.25,1,2,0.5,0,3,3,11,2,0,0,0,10,14.8,-6,1
8,8,2012-01-07,Z nakupom mojega koledarja mi boš pomagal kupiti invalidski voziček za košarko.  http://t.co/HnsQSwXT http://t.co/ctjFgLd9,7,7,8,8.0,25,HOU,,OKC,L (-3),1,38,7,10,0.7,2,3,0.667,4,4,1.0,1,3,4,8,1,0,2,3,20,20.8,-1,1
9,9,2012-01-07,Bison vs Jason :) http://t.co/0Ons24CL,7,7,8,8.0,25,HOU,,OKC,L (-3),1,38,7,10,0.7,2,3,0.667,4,4,1.0,1,3,4,8,1,0,2,3,20,20.8,-1,0
