,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-11-27,.@Grant2Will came to the Celtics office today and handed out candles to every employee as both a holiday gesture and as a thank you for everyone’s hard work. No other player in the 11 yrs I’ve been here has done something like this. He did it as a rookie. He is a special person. https://t.co/Qp2dcZ3p30,15,16,17,16.0,20,BOS,,BRK,W (+11),0,7,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-6,-1
1,1,2019-11-27,"Wherever Grant Williams (@Grant2Will) goes, he lifts everybody up. @outsidethenba profiled the Celtics rookie and explained the Tao of Grant https://t.co/dTHdhh4bqk",15,16,17,16.0,20,BOS,,BRK,W (+11),0,7,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-6,0
2,2,2019-11-29,On this thanksgiving take time to show the people you care about and the people who help you out day in and day out they are appreciated!! I am blessed to be surrounded by a tremendous staff and as well as an amazing… https://t.co/0OU2ghJI9h,16,17,18,17.0,20,BOS,@,BRK,L (-5),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,3,1,1,0,-0.7,6,0
3,3,2019-12-09,@Grant2Will appreciate the shoutout of @jus242 &amp; @athomas_25.... RESPECT! #NEfam ❤️☀️🍀,20,21,22,21.0,21,BOS,,CLE,W (+22),0,13,1,3,0.333,1,1,1.0,0,0,,1,0,1,1,0,0,1,1,3,1.3,12,1
4,4,2019-12-09,"He is the best. @Grant2Will is a real one!!! 
Day off from @NBA and the @celtics OF COURSE he is at @UConnWBB for the first time taking in women’s basketball.  ❤️ https://t.co/26rSfqTZ4U",20,21,22,21.0,21,BOS,,CLE,W (+22),0,13,1,3,0.333,1,1,1.0,0,0,,1,0,1,1,0,0,1,1,3,1.3,12,1
5,5,2020-01-08,1️⃣ Admiral Schofield 🤝 Grant Williams 1️⃣2️⃣ https://t.co/wueDs2wkrw,32,34,35,33.0,21,BOS,,SAS,L (-15),0,18,0,0,,0,0,,3,4,0.75,0,1,1,3,1,0,2,2,3,3.2,1,-1
6,6,2020-01-15,"Landmark day in the WNBA: New collective bargaining agreement that has raised average salaries to six figures for first time ($130,000, up to $500,000 for top players), improved travel and marketing opportunities, and fully paid salary on maternity leave among other changes.",36,38,39,37.0,21,BOS,,DET,L (-13),0,16,0,2,0.0,0,0,,0,0,,1,3,4,2,0,0,0,0,0,1.6,-4,-1
7,7,2020-02-11,RUN IT BACK @jus242 #WNBAFreeAgency,50,52,53,51.0,21,BOS,@,HOU,L (-11),0,9,1,2,0.5,1,1,1.0,4,4,1.0,1,3,4,0,0,0,0,1,7,7.2,0,-1
8,8,2020-02-25,"Sabrina Ionescu becomes the first player in NCAA D-1 history to record 2K points, 1K rebounds and 1K assists.

Mamba Mentality 💜 https://t.co/HcFgZO8kc2",54,56,57,55.0,21,BOS,@,POR,W (+12),0,15,0,0,,0,0,,0,0,,0,3,3,1,0,0,0,4,0,0.0,-1,-1
9,9,2020-03-03,"SEC leader in blocked shots?
29 straight games with a block?
Guards 1 through 5?

Sounds like the SEC Defensive Player of the Year to me 🤷🏽‍♂️ @Vol_Hoops @Airpons https://t.co/devxigi1Uq",57,59,60,58.0,21,BOS,,BRK,L (-9),0,23,2,6,0.333,0,2,0.0,0,0,,2,1,3,2,0,0,1,1,4,2.3,-8,0
