,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-11-01,Who Are U for Haloween???,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
1,1,2009-11-01,Wats good world??,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,1
2,2,2009-11-01,lol wat kind of dinasour are u?,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
3,3,2009-11-01,Happy Halloween Twitterland!!,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,1
4,4,2009-11-01,"About to pack for the Road Trip, 5games in 7days!! @mw1ll got no work outta in the West Coast!! LOL Shout Outt to My Grizz bro's Good W..",1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
5,5,2009-11-01,Hello Denver..,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
6,6,2009-11-01,Hello World..,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
7,7,2009-11-01,"In Downtown Denver Chillin.. About to Nap I Think, or Wats here to Do??",1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,0
8,8,2009-11-01,Hello Denver.. Wats Good?,1,2,3,2.0,22,MEM,@,DEN,L (-10),0,12,1,1,1.0,0,0,,0,0,,2,4,6,0,0,4,1,6,2,3.7,-1,1
9,9,2009-11-18,How come Comcast Doesnt have ESPNU???,7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,0
10,10,2009-11-18,"oh to everybody who were askin earlier how my jaw feelin.. its way better, i practiced today & it was a productive day!! I'm feelin so GOOD",7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,-1
11,11,2009-11-18,Oh May be Imma UStream Tomorro night..,7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,1
12,12,2009-11-18,Ravens Did IT!!!!! LOL,7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,-1
13,13,2009-11-18,i got it now tho..,7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,-1
14,14,2009-11-18,"i just found it.. BINGO!!! I Apology To Comcast.. can ya'll please put it on ya channel list, i couldnt find it at first..",7,10,11,8.0,22,MEM,,LAC,W (+15),0,11,2,4,0.5,0,0,,0,0,,2,2,4,0,0,1,0,1,4,4.3,3,1
