,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2015-10-28,"Mental health is a serious issue/deserves this type of attention.Continue the good work JMon
https://t.co/qnBGUOp8W8 https://t.co/0EVE42P89L",0,0,1,1,19,MIA,,CHO,W (+10),0,26,2,2,1.0,1,1,1.0,0,0,,0,7,7,2,0,0,2,4,5,4.3,26,0
1,1,2015-11-03,@IAmJustise what's good with it? https://t.co/j3ujxux4RY,3,3,4,4,19,MIA,,ATL,L (-6),0,22,2,7,0.286,0,3,0.0,0,0,,1,3,4,0,0,0,3,2,4,-2.3,-5,0
2,2,2015-11-03,@IAmJustise Hmmm ⚽️,3,3,4,4,19,MIA,,ATL,L (-6),0,22,2,7,0.286,0,3,0.0,0,0,,1,3,4,0,0,0,3,2,4,-2.3,-5,0
3,3,2015-11-12,"Don't think I'll ever get use to this. Gonna miss the big bros @mchalmers15 @JamesDa_Truth. Good luck, much love! https://t.co/54mT3MezKQ",8,8,9,9,19,MIA,,UTA,W (+1),0,27,3,9,0.333,0,1,0.0,1,2,0.5,1,4,5,1,0,0,0,4,7,2.5,-5,0
4,4,2015-11-23,#RocNationSports Lets Get It!!! https://t.co/X8uaFlfS7x,12,12,13,13,19,MIA,,NYK,W (+17),0,31,3,6,0.5,1,1,1.0,0,0,,0,6,6,3,0,1,0,5,7,6.6,28,0
5,5,2015-12-05,Yo slimmmmmmeee @AsapTwelvyy https://t.co/vr6stBFV03,17,17,18,18,19,MIA,,CLE,W (+15),0,18,1,4,0.25,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,5,3,-2.5,-3,0
6,6,2015-12-07,MORGAN HAS A NATIONAL CHAMPIONSHIP TOMORROW  #geeked #Duke,18,18,19,19,19,MIA,,WAS,L (-11),0,33,1,5,0.2,0,3,0.0,0,0,,1,5,6,0,1,0,3,3,2,-2.1,-16,1
7,7,2015-12-13,"@IAmJustise Here is Dominique Humes from @MyrtleGroveK8 doing the ""Bobble Walk"" by @YUNGGORDON https://t.co/5tyxJ52tOL",21,21,22,22,19,MIA,,MEM,W (+3),0,26,2,6,0.333,2,5,0.4,2,2,1.0,0,2,2,3,2,1,1,1,8,8.6,3,0
8,8,2015-12-13,Typical @wainbeezy smh https://t.co/YBjpgpuNoo,21,21,22,22,19,MIA,,MEM,W (+3),0,26,2,6,0.333,2,5,0.4,2,2,1.0,0,2,2,3,2,1,1,1,8,8.6,3,0
9,9,2015-12-13,We Just Want It All! @therealpecas @mrbrainwash #hbd #Jmon #12vy #BaselFiles https://t.co/68d6IMDLfn,21,21,22,22,19,MIA,,MEM,W (+3),0,26,2,6,0.333,2,5,0.4,2,2,1.0,0,2,2,3,2,1,1,1,8,8.6,3,0
