,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2021-01-02,HAPPY NEW YEAR!,1,5,6,2.0,21,NYK,@,IND,W (+4),0,15,3,4,0.75,1,2,0.5,2,2,1.0,0,1,1,2,0,0,3,3,9,4.9,-4,0
1,1,2021-01-06,We need a nickname for this duo 🤔 https://t.co/1V9HQ9WXbj,3,7,8,4.0,21,NYK,,UTA,W (+12),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,1,0,0,2,0,0.9,-13,0
2,2,2021-01-06,God Is Great! Great Team win!,3,7,8,4.0,21,NYK,,UTA,W (+12),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,1,0,0,2,0,0.9,-13,1
3,3,2021-01-11,TRUSSS,6,10,11,7.0,21,NYK,@,CHO,L (-21),0,29,1,10,0.1,0,6,0.0,1,1,1.0,0,4,4,3,0,0,1,3,3,-2.5,-2,0
4,4,2021-01-17,COMEONNNNNN,9,13,14,10.0,21,NYK,@,BOS,W (+30),0,21,7,12,0.583,2,4,0.5,1,1,1.0,0,0,0,8,1,1,2,4,17,15.1,20,0
5,5,2021-02-01,"Knicks rookie Immanuel Quickley grew up modeling his game after Lou Williams. 

Today he got to pay homage on the same floor 🤝 https://t.co/mMIpd541oq",17,21,22,18.0,21,NYK,@,CHI,L (-8),0,30,5,13,0.385,2,7,0.286,4,4,1.0,1,5,6,7,0,0,1,2,16,14.2,-3,-1
6,6,2021-02-03,God always has a plan 🙏🏾 @RocNationSports https://t.co/VkbREQfMyJ,18,22,23,19.0,21,NYK,@,CHI,W (+4),0,13,3,7,0.429,2,3,0.667,1,2,0.5,0,1,1,1,0,0,2,1,9,3.5,-3,-1
7,7,2021-02-27,Comeon @SHAQ “jerrod quickley” 😂 @NBAonTNT,29,33,34,30.0,21,NYK,,IND,W (+3),0,13,3,6,0.5,3,4,0.75,1,1,1.0,0,4,4,0,1,0,3,1,10,5.8,-6,0
8,8,2021-04-16,#VerizonUp members miss your chance to snag a spot to chat with @obitoppin1 and me? Head to the My @Verizon app https://t.co/EvFopBlPlS to receive #Knicks swag &amp; more b-ball rewards the rest of the season. #NewYorkForever #VerizonPartner https://t.co/IeljPzN8bT,51,56,57,52.0,21,NYK,@,DAL,W (+8),0,6,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,1.3,1,-1
9,9,2021-04-20,🐐 @StephenCurry30,53,58,59,54.0,21,NYK,,CHO,W (+12),0,20,5,9,0.556,4,7,0.571,3,3,1.0,0,1,1,1,0,0,2,1,17,11.3,-5,0
