,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-10-30,RT @DouzeGBR: Chillin With My Bro &amp; @jared_sully0 Go Follow Him He #KoolPpls ---- yessir,0,0,1,1.0,20,BOS,@,MIA,L (-13),0,8,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-3,0
1,1,2012-11-02,RT @KILLAMC_FINESSE: @Jared_Sully0 see http://t.co/ibqw0ihp ----- TRUUUUU,1,1,2,2.0,20,BOS,,MIL,L (-11),0,18,2,5,0.4,0,0,,2,2,1.0,3,4,7,0,1,1,0,4,6,6.7,-4,0
2,2,2012-11-02,http://t.co/u4DUuaQY,1,1,2,2.0,20,BOS,,MIL,L (-11),0,18,2,5,0.4,0,0,,2,2,1.0,3,4,7,0,1,1,0,4,6,6.7,-4,0
3,3,2012-11-03,Hope my bros have a good time at the MGM concert. Some #wolfpack huh @Chris_Suel @HoLLi614 @MidWestMoo @Jules_Sully @MrOH1O @erav30osu,2,2,3,3.0,20,BOS,@,WAS,W (+3),1,30,2,3,0.667,0,0,,0,0,,1,6,7,0,1,1,1,4,4,4.3,7,1
4,4,2012-11-03,Opening night at the Garden........ #iamceltic,2,2,3,3.0,20,BOS,@,WAS,W (+3),1,30,2,3,0.667,0,0,,0,0,,1,6,7,0,1,1,1,4,4,4.3,7,0
5,5,2012-11-07,#shoutout to everybody that voted today. Regardless of who you voted for you still made a difference.... Remember #WeAreUnited,3,3,4,4.0,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2,0
6,6,2012-11-07,"People I haven't talk to in years calls me ""Lil bro"" lol...... When did this happen,? Lol",3,3,4,4.0,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2,0
7,7,2012-11-07,#ThatWeirdMoment when you become every bodies little brother....,3,3,4,4.0,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2,0
8,8,2012-11-07,It's okay father @satchsullinger you can text me..... Lol my dad tries to communicate to me in ever social media we have together,3,3,4,4.0,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2,0
9,9,2012-11-07,Morning world.... I understand y'all excited to vote. But keep who you vote for private. Stop posting pics of your ballot.,3,3,4,4.0,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2,1
10,10,2012-11-09,Dear followers the life you present to your followers is not the life you actually live..... #stopSocialFronting,4,4,5,5.0,20,BOS,,PHI,L (-6),1,19,2,4,0.5,0,0,,0,0,,2,2,4,1,0,1,0,3,4,4.2,-7,0
