,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2014-11-17,9-1!! #GnG,0,10,11,1.0,20,MEM,,HOU,W (+26),0,6,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4,-5,0
1,1,2014-11-17,Let's go @STLouisRams!,0,10,11,1.0,20,MEM,,HOU,W (+26),0,6,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4,-5,1
2,2,2014-12-03,Some of our most blessed kids won't understand how much they have until it's gone. Praying for our youth. Society has changed.,6,17,18,7.0,20,MEM,@,HOU,L (-9),0,12,5,7,0.714,0,0,,2,4,0.5,2,1,3,0,0,2,0,2,12,10.6,17,0
3,3,2015-01-03,Proud of you bro @reggieragland,12,32,33,13.0,20,MEM,@,DEN,L (-29),0,17,2,5,0.4,0,0,,3,5,0.6,2,1,3,0,0,1,0,6,7,3.5,-7,0
4,4,2015-01-03,Let's beat the Hawkeyes when it counts AGAIN! @Vol_Football #VFL #TaxSlayerBowl http://t.co/e5IyLHYkAd,12,32,33,13.0,20,MEM,@,DEN,L (-29),0,17,2,5,0.4,0,0,,3,5,0.6,2,1,3,0,0,1,0,6,7,3.5,-7,1
5,5,2015-01-03,My goodness. Let's gooo!,12,32,33,13.0,20,MEM,@,DEN,L (-29),0,17,2,5,0.4,0,0,,3,5,0.6,2,1,3,0,0,1,0,6,7,3.5,-7,1
6,6,2015-01-02,SEC!!,11,31,32,12.0,20,MEM,@,LAL,W (+3),0,6,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-3,0
7,7,2015-03-12,Tyrus Thomas is lowkey the smartest/ most logical person I've ever been around. Wisdom out of this world. Don't judge a book by its cover.,16,64,65,17.0,21,MEM,@,WAS,L (-20),0,22,4,6,0.667,0,0,,5,9,0.556,4,4,8,1,3,1,3,4,13,12.6,-8,0
8,8,2015-03-12,This new generation of hip hop/tv shows is/are destroying our precious black culture. Never sell your soul for money. #deep #newslaves,16,64,65,17.0,21,MEM,@,WAS,L (-20),0,22,4,6,0.667,0,0,,5,9,0.556,4,4,8,1,3,1,3,4,13,12.6,-8,1
9,9,2016-11-10,Although I don't agree with everything you've said... I admire your hard work and determination. Please don't let us down! @realDonaldTrump,27,137,8,2.0,22,DEN,,GSW,L (-24),0,6,1,1,1.0,0,0,,0,0,,1,1,2,2,1,0,0,2,2,4.3,2,0
