,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-10-30,RT @tonyedwards_: S/O Poobie Chapman today is his birthday! We get it in! Your court or ours. Deal with it!,1,1,2,2.0,20,WAS,@,ATL,L (-4),1,42,9,17,0.529,2,3,0.667,8,10,0.8,0,5,5,9,0,0,3,1,28,23.3,3,0
1,1,2010-10-30,#shoutout to all my new followers and fans!!!,1,1,2,2.0,20,WAS,@,ATL,L (-4),1,42,9,17,0.529,2,3,0.667,8,10,0.8,0,5,5,9,0,0,3,1,28,23.3,3,0
2,2,2010-11-05,Good morning world!!!,3,3,4,4.0,20,WAS,@,NYK,L (-21),1,35,4,11,0.364,0,2,0.0,5,6,0.833,0,4,4,7,0,0,9,2,13,2.8,-16,1
3,3,2010-11-06,Good morning world!!!,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,1
4,4,2010-11-06,Thanks bro but it's tomorrowRT @WeHateTiny23: Go Cop my brutha @jimmywa11 Shoes 2day Limited Edition only 12 pair Exclusive Sneaks #Rbk,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,0
5,5,2010-11-06,Thanking God for letting me see another day and another day to get better!!!,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,0
6,6,2010-11-06,"RT @itsmiss_WALL: RT @8leggedfreak_1: my 11,000th tweet goes to my fam @jimmywa11 @itsmiss_WALL and @rmoore1227. family first. love yall",4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,0
7,7,2010-11-06,Yessir...For my first official NBA game in the Garden today I'm going to be wearing my Zig Slash-Gold Rush shoe and it's a limited 12 pair,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,0
8,8,2010-11-06,Go get my limited edition shoe the zig slash-Gold rush...It's on sale tmrw at 34th st Foot Locker only 12pairs!!!,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,0
9,9,2010-11-06,Selling tomorrow at 9am in NY...The address to go get them is 34th st Foot Locker in NYC...Go get them only 12 pair coming out!!!,4,4,5,5.0,20,WAS,,CLE,L (-5),1,43,5,14,0.357,0,1,0.0,3,4,0.75,0,4,4,10,1,1,6,4,13,7.1,-1,1
10,10,2010-11-12,Yessir RT @iamKING11: Two role models that I know personally @bbanks16 & @jimmywa11 they both happen to be in the DMV close to me !!,6,6,7,7.0,20,WAS,,CHA,L (-8),1,40,6,16,0.375,1,4,0.25,0,0,,1,3,4,11,4,0,1,2,13,15.7,-17,0
11,11,2010-11-12,Thanks coach love ya RT @UKCoachCalipari: @jimmywa11 Did you get a triple-double tonight? Congrats!,6,6,7,7.0,20,WAS,,CHA,L (-8),1,40,6,16,0.375,1,4,0.25,0,0,,1,3,4,11,4,0,1,2,13,15.7,-17,1
12,12,2010-11-12,Good morning world!!!,6,6,7,7.0,20,WAS,,CHA,L (-8),1,40,6,16,0.375,1,4,0.25,0,0,,1,3,4,11,4,0,1,2,13,15.7,-17,1
13,13,2010-11-12,Happy Veterans Day!!! God Bless those who are serving and who has served for our Country...Keeping us Safe!!!,6,6,7,7.0,20,WAS,,CHA,L (-8),1,40,6,16,0.375,1,4,0.25,0,0,,1,3,4,11,4,0,1,2,13,15.7,-17,1
14,14,2010-11-13,#shoutout to the UK girls for winning today!!!,7,7,8,8.0,20,WAS,@,CHI,L (-7),1,31,7,14,0.5,2,4,0.5,0,1,0.0,0,2,2,6,3,0,4,1,16,12.0,-11,0
15,15,2010-11-13,#shoutout to everybody that started there college games today or this week...Good luck!!!,7,7,8,8.0,20,WAS,@,CHI,L (-7),1,31,7,14,0.5,2,4,0.5,0,1,0.0,0,2,2,6,3,0,4,1,16,12.0,-11,0
16,16,2010-11-23,#shootout to Kemba walker was out thee cooking!!!,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,1
17,17,2010-11-23,Good morning world,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,1
18,18,2010-11-23,Yessir broRT @boogiecousins: Yo dem CATS bout to do work today!,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,0
19,19,2010-11-23,Lol my bad on that last twit... #shoutout to Kemba walker he was out there cooking!!!,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,-1
20,20,2010-11-23,Thanking God for letting me see another day and another day to get better!!!,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,0
21,21,2010-11-23,Meant there,8,12,13,9.0,20,WAS,,PHI,W (+2),0,36,7,15,0.467,3,7,0.429,8,8,1.0,0,3,3,6,1,0,1,4,25,20.8,13,0
