,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,"That "" I can transform ya"" video is meannnn....mediatakeout is wack",0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,0
1,1,2009-10-28,"Yall think weezy ""no ceilings"" is gon be better than the drought 3???",0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,0
2,2,2009-10-28,where my producers at? i need help wit sumthin,0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,-1
3,3,2009-10-28,"Bouta go to practice...a day to get better! Yall please pray for @blakegriffin, he's out 6 weeks...hope he has a speedy recovery!",0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,1
4,4,2009-10-28,Wat yall doing,0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,0
5,5,2009-10-28,#whenwewereyoung me and @tonydurant35 were the first to have our initials cut in our high top fade wit the part,0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,0
6,6,2009-10-28,nighty night,0,0,1,1.0,21,OKC,,SAC,W (+13),1,42,10,24,0.417,1,5,0.2,4,5,0.8,3,8,11,4,0,1,0,2,25,19.0,17,0
7,7,2009-10-30,"Goodmorning tweet fam...thanks for all the love n support! Time for practice, we have to get better",1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,1
8,8,2009-10-30,Bouta go see saw6 wit the bros! I'm scared on da low!,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,-1
9,9,2009-10-30,My Bro @tylawson is out there killin...,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,-1
10,10,2009-10-30,We da only ppl n Here smh....,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,0
11,11,2009-10-30,Jus got done practice! Headed to Detroit! Where my Detroit ppl at?,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,0
12,12,2009-10-30,That TRending topic #classicgames is wack,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,0
13,13,2009-10-30,"Man it's a ugly day in Okc...my pool is brown, look like coffee wit 2 creams and 3 sugars",1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,-1
14,14,2009-10-30,Yall goin in on me(pause) cuz I said a trending topic was wack?? Geeeeez...it's called an opinion not hatred lol,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,0
15,15,2009-10-30,Man jigsaw is disgusting,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,-1
16,16,2009-10-30,watching exit wounds before i head to sleep....great movie,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,1
17,17,2009-10-30,Jus landed! What's good,1,1,2,2.0,21,OKC,@,DET,W (+8),1,43,8,19,0.421,1,2,0.5,8,9,0.889,1,11,12,1,2,0,1,2,25,19.4,2,1
18,18,2009-11-01,Jus a joke lol..wats da trending topic for today?,2,2,3,3.0,21,OKC,,POR,L (-9),1,41,3,20,0.15,0,4,0.0,10,14,0.714,1,4,5,0,0,2,1,3,16,2.7,-11,0
19,19,2009-11-01,Jus landed in Okc...glad to be back home...time to get to work tomorrow in practice,2,2,3,3.0,21,OKC,,POR,L (-9),1,41,3,20,0.15,0,4,0.0,10,14,0.714,1,4,5,0,0,2,1,3,16,2.7,-11,1
