,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2015-10-30,#blessed,1,1,2,2,19,MIN,@,DEN,W (+17),1,33,11,19,0.579,0,0,,6,7,0.857,3,11,14,2,0,4,1,3,28,26.1,15,0
1,1,2015-11-12,Amazing day today and all thanks to all the men and women who have fought everyday to protect our freedom. Happy Veterans Day and Thank you.,7,7,8,8,19,MIN,,GSW,L (-13),1,30,7,15,0.467,0,0,,3,4,0.75,3,8,11,0,1,0,5,2,17,8.6,-24,1
2,2,2015-11-15,Can't send enough prayers to everyone in Paris. #StandWithParis,9,9,10,10,20,MIN,,MEM,L (-8),1,32,5,11,0.455,0,1,0.0,4,4,1.0,3,6,9,1,0,1,3,4,14,9.0,1,0
3,3,2015-11-20,Ready to roll. Gear up for your opening night with @nikebasketball at https://t.co/CbPRbNyWlm #TakeOnTJ https://t.co/TI73nQgC7I,12,12,13,13,20,MIN,,DET,L (-10),1,28,8,10,0.8,0,0,,2,2,1.0,0,7,7,3,3,2,2,4,18,19.2,-14,1
4,4,2015-11-27,Wishing nothing but blessings to everyone on this Thanksgiving day.,15,15,16,16,20,MIN,@,SAC,W (+10),1,21,3,5,0.6,1,1,1.0,0,0,,0,8,8,0,0,2,2,0,7,6.5,-4,0
5,5,2015-12-26,Want to wish everyone a merry christmas from my family to yours.,29,29,30,30,20,MIN,,IND,L (-14),1,40,10,16,0.625,0,2,0.0,4,5,0.8,3,5,8,3,1,1,5,4,24,17.2,-7,1
6,6,2015-12-26,"From my family to yours, want to wish everyone a Merry Christmas 🎄🎅🏻 https://t.co/51QYauSXId",29,29,30,30,20,MIN,,IND,L (-14),1,40,10,16,0.625,0,2,0.0,4,5,0.8,3,5,8,3,1,1,5,4,24,17.2,-7,0
7,7,2016-01-02,I'll be watching film from my rookie season starting @ noon. Watch #AllMyMoves w/ me &amp; don’t forget to #NBAVote. https://t.co/8IHJsvkHLs,33,33,34,34,20,MIN,,MIL,L (-10),1,26,4,17,0.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6.0,-4,0
8,8,2016-01-02,2015 was a blessing for my family and I. Can't wait to see what the man above has planned for me.,33,33,34,34,20,MIN,,MIL,L (-10),1,26,4,17,0.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6.0,-4,1
9,9,2016-01-02,All settled in to watch all 960 minutes of my rookie season. Watch #AllMyMoves w/ me &amp; don’t forget to #NBAVote. https://t.co/8IHJsvkHLs,33,33,34,34,20,MIN,,MIL,L (-10),1,26,4,17,0.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6.0,-4,0
10,10,2016-01-02,Happy New Year to everyone and wishing everyone a successful 2016.,33,33,34,34,20,MIN,,MIL,L (-10),1,26,4,17,0.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6.0,-4,1
11,11,2016-01-08,These buckets won't fill themselves! Donate shoes for those in need &amp; get @Timberwolves tkts https://t.co/Hunbp1vZYK https://t.co/XaHoECbN7L,36,36,37,37,20,MIN,,CLE,L (-26),1,35,11,14,0.786,0,0,,0,0,,2,4,6,3,0,0,2,3,22,18.1,-22,0
12,12,2016-01-12,Wouldn’t be where I am without mentors. There's a kid out there who needs YOU #MentorIRL at https://t.co/njjObGQanX,38,38,39,39,20,MIN,,OKC,L (-5),1,28,6,14,0.429,0,1,0.0,2,2,1.0,5,5,10,1,0,0,3,1,14,8.9,-20,-1
13,13,2016-01-19,"""Measure of a man is not where he stands in moments of comfort &amp; convenience, but where he stands at times of challenge &amp; controversy."" -MLK",42,42,43,43,20,MIN,@,NOP,L (-15),1,32,7,17,0.412,1,1,1.0,5,5,1.0,2,11,13,2,1,1,5,2,20,12.9,5,0
14,14,2016-02-02,"I'm at @Treyarch w/ @22wiggins &amp; we're about to face off. Watch: https://t.co/j56TRzoWyV 
https://t.co/NswZ8LYkbJ https://t.co/EUN3zfzuel",49,49,50,50,20,MIN,@,LAL,L (-4),1,32,6,9,0.667,1,2,0.5,1,2,0.5,2,8,10,2,0,2,1,3,14,14.1,-2,0
15,15,2016-02-24,"Great win last night. Capped it off with an awesome night's sleep in my @TempurPedic, thanks to @MattressFirm! https://t.co/Koq4IXhOTt",57,57,58,58,20,MIN,@,TOR,L (-9),1,37,5,13,0.385,0,1,0.0,6,8,0.75,0,6,6,0,1,0,1,5,16,7.9,-12,1
16,16,2016-02-27,Follow me on snapchat: ka_towns,58,58,59,59,20,MIN,@,NOP,W (+2),1,35,13,20,0.65,0,1,0.0,4,8,0.5,3,12,15,4,2,1,1,3,30,28.6,5,0
17,17,2016-02-27,"Willie Mae's 🍗 just gave me the Itis.

Picture from my snapchat: ka_towns 👻 @ Willie Mae's… https://t.co/PNV5bENZM6",58,58,59,59,20,MIN,@,NOP,W (+2),1,35,13,20,0.65,0,1,0.0,4,8,0.5,3,12,15,4,2,1,1,3,30,28.6,5,1
18,18,2016-03-16,Memphis Bound with the OG's ✈️ https://t.co/DGN9LJXmHj,67,67,68,68,20,MIN,@,MEM,W (+6),1,40,5,8,0.625,0,0,,8,9,0.889,2,8,10,4,2,1,4,3,18,18.1,-4,0
19,19,2016-03-23,#PrayForBrussels,70,70,71,71,20,MIN,,SAC,W (+9),1,29,11,17,0.647,0,0,,4,5,0.8,2,9,11,2,0,4,3,5,26,21.4,14,0
20,20,2016-03-28,Blessed to spend Easter with my family. Happy Easter to everyone.,73,73,74,74,20,MIN,,PHO,W (+5),1,38,10,18,0.556,1,3,0.333,6,6,1.0,2,8,10,5,2,0,1,3,27,25.5,6,1
21,21,2016-04-03,Brothers for Life. #BBN #utahsfinest @ Vivint Smart Home Arena https://t.co/sO58693Hn5,76,76,77,77,20,MIN,,DAL,L (-10),1,44,5,13,0.385,0,3,0.0,1,1,1.0,3,18,21,9,1,3,6,3,11,13.6,-4,0
22,22,2016-04-07,#PowerOfThePack,78,78,79,79,20,MIN,@,SAC,W (+8),1,27,6,16,0.375,1,1,1.0,4,6,0.667,4,6,10,3,1,1,1,2,17,14.0,12,0
23,23,2016-11-05,#KGAREA21 got me crying!!! 😂😂😂,86,86,5,5,20,MIN,@,OKC,L (-20),1,31,13,20,0.65,3,4,0.75,4,5,0.8,4,2,6,0,0,1,3,1,33,24.5,-19,-1
24,24,2016-11-08,Mood. @KarlTowns https://t.co/197yl5voEH,87,87,6,6,20,MIN,@,BRK,L (-9),1,32,8,15,0.533,1,4,0.25,4,4,1.0,4,3,7,4,0,1,3,5,21,15.9,-15,0
25,25,2016-11-08,Had fun with @OBBPictures on @go90 – WATCH: https://t.co/Plns18fRS4 #The5thQuarter,87,87,6,6,20,MIN,@,BRK,L (-9),1,32,8,15,0.533,1,4,0.25,4,4,1.0,4,3,7,4,0,1,3,5,21,15.9,-15,0
26,26,2016-11-25,Happy thanksgiving to everyone!,96,96,15,15,21,MIN,@,PHO,W (+13),1,35,8,19,0.421,2,6,0.333,4,5,0.8,3,7,10,4,1,1,4,2,22,15.4,16,1
27,27,2016-12-02,S/O to @NBA2K_MyTEAM &amp; @Ronnie2K for this #2KMoment : TOWNS-KVS6F-8SEYT-FXS8Q https://t.co/zNMsIAX6XE,100,100,19,19,21,MIN,@,NYK,L (-4),1,30,5,18,0.278,3,5,0.6,7,8,0.875,3,5,8,1,0,3,4,4,20,9.8,-20,0
28,28,2016-12-21,"Did a holiday gift exchange with @DevinBook &amp; @dloading this year, found the best gifts on @eBay - #eBayUnboxed #ad https://t.co/aOjv2ENS8k https://t.co/SJIDP0mFiS",109,109,28,28,21,MIN,@,ATL,W (+8),1,37,7,16,0.438,0,3,0.0,3,4,0.75,4,14,18,5,0,1,6,3,17,12.2,1,1
29,29,2016-12-26,"Merry Christmas!!! Wishing everyone a blessed, loving, and coal-less Christmas. 🎄🎅🏽",112,112,31,31,21,MIN,,ATL,W (+14),1,31,8,8,1.0,3,3,1.0,3,3,1.0,3,8,11,4,0,3,1,5,22,26.0,13,1
30,30,2016-12-28,🌹 https://t.co/TwhQJGnsmx,113,113,32,32,21,MIN,@,DEN,L (-2),1,35,7,17,0.412,1,2,0.5,0,0,,5,6,11,10,0,2,3,1,15,16.2,6,0
31,31,2016-12-30,"So grateful for fan support! To thank fans who tweet #NBAVOTE @karltowns, I'll pick fans daily now until 1/1 to send a signed @NBA2K 2k17! https://t.co/8uwtD9vVlz",114,114,33,33,21,MIN,,MIL,W (+17),1,38,7,12,0.583,0,2,0.0,4,6,0.667,5,11,16,3,0,2,4,4,18,16.3,21,1
