,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-26,“@TrevinParks11: Merry Christmas bruh @KembaWalker”same bro,0,0,1,1.0,21,CHA,,MIL,W (+1),0,21,3,10,0.3,0,2,0.0,7,7,1.0,2,5,7,3,1,0,0,1,13,12.8,5,0
1,1,2011-12-26,Merry Christmas to all. Enjoy. It's some great games on today! And My man Shaq is on tv,0,0,1,1.0,21,CHA,,MIL,W (+1),0,21,3,10,0.3,0,2,0.0,7,7,1.0,2,5,7,3,1,0,0,1,13,12.8,5,1
2,2,2012-01-07,Happy bday bro. Hope you enjoy.  @SK23_ESPN,7,7,8,8.0,21,CHA,@,IND,L (-22),0,18,3,10,0.3,0,3,0.0,0,0,,1,1,2,3,0,1,0,0,6,4.0,-13,1
3,3,2012-01-27,RT @KedowWalker: Need some feedback an RTs on this people http://t.co/gmZ9b7oZ”,19,19,20,20.0,21,CHA,@,PHI,L (-17),1,32,5,14,0.357,2,5,0.4,2,3,0.667,1,7,8,2,2,1,3,0,14,9.7,-16,0
4,4,2012-02-04,Playing tiger woods 12 with my guys @byron22james and @chiggins11,23,23,24,24.0,21,CHA,@,PHO,L (-6),1,41,7,16,0.438,4,5,0.8,4,4,1.0,1,2,3,4,1,0,1,1,22,17.3,3,0
5,5,2012-02-04,Just got a hole in one.... Pause too,23,23,24,24.0,21,CHA,@,PHO,L (-6),1,41,7,16,0.438,4,5,0.8,4,4,1.0,1,2,3,4,1,0,1,1,22,17.3,3,0
6,6,2012-02-17,"Which team will choose me for the #BBVARisingStars game, Team @Shaq or Team Barkley? Tune in tonight on @NBATV to find out.",29,29,30,30.0,21,CHA,@,TOR,W (+7),0,30,5,15,0.333,1,4,0.25,3,3,1.0,0,3,3,8,2,0,1,3,14,11.8,14,0
7,7,2012-02-19,It's about time fellas!! Let's keep it goin now!!!,30,30,31,31.0,21,CHA,@,IND,L (-35),0,26,6,13,0.462,1,6,0.167,2,2,1.0,0,1,1,5,2,0,1,0,15,13.1,-5,1
8,8,2012-02-19,“@KingKino: @KembaWalker they lacking a vocal leader! Got enough talent to make a run” chill coach kino.,30,30,31,31.0,21,CHA,@,IND,L (-35),0,26,6,13,0.462,1,6,0.167,2,2,1.0,0,1,1,5,2,0,1,0,15,13.1,-5,-1
9,9,2012-03-14,Check out my #marchmadness bracket.  Head over to @thelockerroom..had to go w my boys #UCONN http://t.co/Qz62CCdi,40,40,41,41.0,21,CHA,@,HOU,L (-20),0,28,3,13,0.231,0,4,0.0,0,0,,0,4,4,8,1,1,2,0,6,4.6,-5,0
10,10,2012-03-14,Shout out to my fellow husky  @bigmek50 for taking me out for a nice dinner in NO! Follow my guy people!,40,40,41,41.0,21,CHA,@,HOU,L (-20),0,28,3,13,0.231,0,4,0.0,0,0,,0,4,4,8,1,1,2,0,6,4.6,-5,1
11,11,2012-11-23,Happy thanksgiving to all. Have a safe and blessed day!,76,76,11,11.0,22,CHA,,ATL,L (-10),1,44,6,15,0.4,2,6,0.333,2,3,0.667,0,4,4,9,2,0,4,2,16,12.2,-6,1
12,12,2012-12-19,Check out my Limited Edition Signature Are You From Here Tee Shirt http://t.co/5lCNLgbl http://t.co/bYX00TGg,90,90,25,25.0,22,CHA,@,PHO,L (-17),1,37,9,14,0.643,2,2,1.0,7,8,0.875,0,4,4,6,1,0,3,2,27,23.0,-1,0
13,13,2012-12-26,Merry Christmas to all! Be safe and enjoy!,93,93,28,28.0,22,CHA,,MIA,L (-13),1,43,9,20,0.45,4,8,0.5,5,7,0.714,3,3,6,6,2,0,5,2,27,19.2,-10,1
14,14,2013-10-30,I wish everyone around the NBA a good and healthy year! Good luck to everyone.,148,148,1,1.0,23,CHA,@,HOU,L (-13),1,35,5,10,0.5,0,1,0.0,2,2,1.0,1,1,2,5,4,0,3,3,12,11.3,-1,1
15,15,2013-11-13,Thanks again to @shophex for the support! #Henexperience,155,155,8,8.0,23,CHA,@,BOS,W (+6),1,34,1,13,0.077,0,3,0.0,1,2,0.5,2,7,9,2,3,0,2,1,3,-0.6,3,1
16,16,2014-03-31,Best PG in the country. Shabazz Napier,214,221,74,67.0,23,CHA,,WAS,W (+6),1,38,6,22,0.273,0,10,0.0,9,10,0.9,1,4,5,10,1,1,1,2,21,16.4,16,0
17,17,2014-04-09,My son @Ryanboatright11 got off last night! The power is all in the chin hairs. Tell em fam!,218,225,78,71.0,23,CHA,@,WAS,W (+6),1,44,6,21,0.286,3,6,0.5,2,2,1.0,0,4,4,12,0,0,3,2,17,10.5,9,1
18,18,2014-04-09,Congrats to my boys! @CoachKO_UConn you are absolutely the man!! Love you fam! #BleedBlue #UCONN #HUSKIES,218,225,78,71.0,23,CHA,@,WAS,W (+6),1,44,6,21,0.286,3,6,0.5,2,2,1.0,0,4,4,12,0,0,3,2,17,10.5,9,1
19,19,2014-04-09,Shabazz Napier! Like I said best PG in college basketball! Two time champion! You are a Legend Little bro.,218,225,78,71.0,23,CHA,@,WAS,W (+6),1,44,6,21,0.286,3,6,0.5,2,2,1.0,0,4,4,12,0,0,3,2,17,10.5,9,1
20,20,2014-10-29,Go grab @EASPORTSNBA today and get some W’s with the @hornets! #NBALIVE15 http://t.co/lkyITG9SIY,225,234,1,1.0,24,CHO,,MIL,W (+2),1,39,9,26,0.346,3,9,0.333,5,11,0.455,2,4,6,5,1,1,0,1,26,16.4,12,-1
21,21,2014-11-04,"HORSE, anybody? Showed @Eastbay how I loosen up for game days for Preparation Nation with my bounce winner. Check it. http://t.co/MsFGalRc3v",228,237,4,4.0,24,CHO,@,NOP,L (-9),1,27,4,13,0.308,3,8,0.375,0,0,,0,2,2,3,1,0,1,2,11,5.4,-15,0
22,22,2015-12-12,"Fam, check out @FansAuthentic for awesome @Hornets &amp; @UConnMBB collectibles » https://t.co/M7S8gy2S3Y. #BuzzCity https://t.co/OPZGVDDp1Q",309,320,23,23.0,25,CHO,,BOS,L (-5),1,34,5,15,0.333,2,4,0.5,4,4,1.0,3,3,6,4,0,0,1,2,16,11.5,-21,1
23,23,2016-03-01,That boy Chris Rock was perfect last night! #Oscars and big up @LeoDiCaprio #salute,344,356,59,58.0,25,CHO,,PHO,W (+34),1,30,9,16,0.563,3,5,0.6,5,5,1.0,1,5,6,9,1,0,1,0,26,26.9,36,1
24,24,2016-03-02,It's #SuperTuesday #gamenight @hornets see what I did there lol https://t.co/n4C1fBJh6J,345,357,60,59.0,25,CHO,@,PHI,W (+20),1,38,10,21,0.476,2,5,0.4,8,12,0.667,0,7,7,2,2,0,1,1,30,21.8,17,0
