,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2014-02-19,Officially back on Twitter. Looking forward to the second half of the season. Shoutout to #DubNation.,53,53,54,54.0,24,GSW,@,SAC,W (+9),1,38,6,14,0.429,1,3,0.333,5,5,1.0,0,4,4,5,3,1,2,3,18,15.8,18,0
1,1,2014-02-19,Wearing this shooting shirt on Thursday for Social Media Night too. http://t.co/SjUuz4V3bN,53,53,54,54.0,24,GSW,@,SAC,W (+9),1,38,6,14,0.429,1,3,0.333,5,5,1.0,0,4,4,5,3,1,2,3,18,15.8,18,0
2,2,2014-03-12,NW house party 2 #90sBaby,65,65,66,66.0,24,GSW,@,LAC,L (-13),1,34,10,19,0.526,4,6,0.667,2,4,0.5,0,1,1,1,1,0,3,2,26,14.1,-4,0
3,3,2014-03-12,Thank u to all the fans who came out tonight much appreciated!,65,65,66,66.0,24,GSW,@,LAC,L (-13),1,34,10,19,0.526,4,6,0.667,2,4,0.5,0,1,1,1,1,0,3,2,26,14.1,-4,1
4,4,2014-03-16,A tough but great day. 1st off happy birthday Trayce he's been a great little bro for 23 years now. Love ya TNT!,66,67,68,67.0,24,GSW,@,POR,W (+1),1,39,10,19,0.526,3,7,0.429,4,6,0.667,1,3,4,0,1,2,2,4,27,17.3,-2,1
5,5,2014-03-16,Thompson family. We will always love and miss u Grandpa T!,66,67,68,67.0,24,GSW,@,POR,W (+1),1,39,10,19,0.526,3,7,0.429,4,6,0.667,1,3,4,0,1,2,2,4,27,17.3,-2,1
6,6,2014-03-16,I wanted to pay tribute to S.Dewitt Thompson. One of the wisest men I ever met and full of the spirit of God. A true patriarch of the,66,67,68,67.0,24,GSW,@,POR,W (+1),1,39,10,19,0.526,3,7,0.429,4,6,0.667,1,3,4,0,1,2,2,4,27,17.3,-2,0
7,7,2014-03-28,Look what I did to @Mospeights16 in madden and it's only the 1st qtr 😳 http://t.co/StnDTggrxz,70,71,72,71.0,24,GSW,,MEM,W (+7),1,36,6,16,0.375,0,3,0.0,2,2,1.0,1,3,4,5,1,0,2,3,14,8.1,9,0
8,8,2014-04-06,Who had the dunk of the night @Mospeights16 or @jcraw55???,75,76,77,76.0,24,GSW,,UTA,W (+28),1,31,11,20,0.55,7,10,0.7,4,4,1.0,0,3,3,1,1,0,0,1,33,25.6,28,0
9,9,2014-11-02,Life doesn't get much better then opening night at oracle. Let's go #DubNation,90,91,3,3.0,24,GSW,@,POR,W (+5),1,34,11,22,0.5,3,7,0.429,4,4,1.0,0,1,1,1,3,1,2,2,29,19.9,7,1
10,10,2014-11-30,Wish I could be in Pullman for apple cup weekend #GoCougs,102,104,16,15.0,24,GSW,@,DET,W (+11),1,35,5,11,0.455,2,2,1.0,3,3,1.0,0,3,3,2,1,0,3,1,15,9.2,10,1
11,11,2014-12-08,12 straight!! Newest member of the splash family @Money23Green #dubnation,106,108,20,19.0,24,GSW,@,MIN,W (+16),1,30,7,15,0.467,3,6,0.5,4,4,1.0,0,1,1,3,0,0,1,2,21,13.9,8,0
12,12,2014-12-10,Great road trip haven't been this excited to get back to the bay in a long time!,107,109,21,20.0,24,GSW,,HOU,W (+12),1,35,8,18,0.444,1,8,0.125,4,4,1.0,0,4,4,4,1,2,4,2,21,13.2,8,1
13,13,2014-12-18,On my off day really!!? http://t.co/X73iqdzMC6,111,113,25,24.0,24,GSW,,OKC,W (+5),1,35,7,15,0.467,2,4,0.5,3,3,1.0,0,2,2,5,1,1,1,0,19,16.1,-5,0
14,14,2014-12-30,Trivia crack 👌,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,-1
15,15,2014-12-30,Good breakfast spot in oakland?,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,1
16,16,2014-12-30,Too cold in the bay right now,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,-1
17,17,2014-12-30,Most powerful movie I've seen in a long time a must watch for everyone http://t.co/ZR1BmRqsow,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,0
18,18,2014-12-30,Buckets! #NBALIVE15 #ad http://t.co/hdHD5y6m5X http://t.co/gKKuzEK4qk,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,0
19,19,2014-12-30,Still can't believe vlade hit that half court heeve last week that was crazy lol #theycouldntmiss,116,118,30,29.0,24,GSW,,PHI,W (+40),1,24,6,14,0.429,2,8,0.25,0,0,,0,3,3,3,1,0,4,2,14,5.8,14,-1
20,20,2015-01-05,RIP Stuart Scott one of the greatest at what he did and even better person,118,120,32,31.0,24,GSW,,OKC,W (+26),1,19,6,12,0.5,3,5,0.6,4,5,0.8,0,3,3,0,1,1,3,4,19,10.6,10,1
21,21,2015-01-05,Let's go cougs http://t.co/ygqc3tcTqx,118,120,32,31.0,24,GSW,,OKC,W (+26),1,19,6,12,0.5,3,5,0.6,4,5,0.8,0,3,3,0,1,1,3,4,19,10.6,10,0
22,22,2015-01-07,Felt great to participate in the #WeG.I.V.E. #HashtagLunchbag with @warriors fans and @esurance http://t.co/1iAUzVvRiJ,119,121,33,32.0,24,GSW,,IND,W (+15),1,40,14,25,0.56,6,11,0.545,6,6,1.0,0,4,4,3,1,1,2,1,40,30.7,20,0
23,23,2015-01-14,Nice little breakfast date between @JustHolla7 &amp; @hbarnes this AM  #thattablestoosmallfor2 http://t.co/ziOzK8aAbB,122,124,36,35.0,24,GSW,,MIA,W (+15),1,33,7,17,0.412,3,9,0.333,2,2,1.0,0,4,4,1,1,2,1,1,19,12.8,3,0
24,24,2015-01-19,A kickers dream come true right there,125,127,39,38.0,24,GSW,,DEN,W (+43),1,23,7,13,0.538,4,8,0.5,4,4,1.0,0,3,3,3,1,0,0,0,22,19.7,20,1
25,25,2015-01-25,Man...what a night. Gotta give credit to my teammates most unselfish group I ever played with. God is good!,128,130,42,41.0,24,GSW,,BOS,W (+3),1,32,11,19,0.579,3,7,0.429,6,8,0.75,1,1,2,1,0,0,1,4,31,20.4,1,1
26,26,2015-02-03,J jack had him on skates for the win!,132,134,46,45.0,24,GSW,@,SAC,W (+25),1,24,6,12,0.5,2,5,0.4,0,0,,0,1,1,1,1,0,2,0,14,8.0,-2,1
