,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-26,Merry Christmas!!! Enjoy this great day with family and friends...hope Santa bought something nice,0,0,1,1.0,19,CLE,,TOR,L (-8),1,26,2,12,0.167,1,5,0.2,1,1,1.0,0,3,3,7,1,0,1,2,6,3.4,-10,1
1,1,2012-01-01,"2011 almost over...been a great year for me, my family, friends, teammates and fans. Let's continue greatness in 2012!!! Happy new years!",3,3,4,4.0,19,CLE,,NJN,W (+16),1,28,5,11,0.455,3,4,0.75,0,0,,1,3,4,4,0,2,4,3,13,7.9,-3,1
2,2,2012-01-20,"Love y'all cavs fans, blue devil fans, Aussie boomer fans, and whoever else supports me...this is all for you guys thanks!!! God bless",13,13,14,14.0,19,CLE,,CHI,L (-39),1,22,5,11,0.455,3,4,0.75,0,0,,2,0,2,3,0,0,2,1,13,8.4,-9,0
3,3,2012-01-27,Everybody have a great day!!,17,17,18,18.0,19,CLE,,NJN,L (-3),1,31,12,20,0.6,2,5,0.4,6,8,0.75,4,2,6,2,2,0,1,2,32,27.0,1,1
4,4,2012-01-27,New ESPN commercial featuring @KyrieIrving http://t.co/5eYAfd6t” check my Espn commercial out y'all,17,17,18,18.0,19,CLE,,NJN,L (-3),1,31,12,20,0.6,2,5,0.4,6,8,0.75,4,2,6,2,2,0,1,2,32,27.0,1,0
5,5,2012-02-15,"“@The_RyanHollins: @KyrieIrving hey kryrie ""do you know how to upload videos to... Facebook?""” lol spell my name right man!!",23,26,27,24.0,19,CLE,,IND,W (+11),1,37,8,12,0.667,3,5,0.6,3,4,0.75,1,2,3,5,0,1,1,2,22,20.1,6,0
6,6,2012-02-15,“@The_RyanHollins: @KyrieIrving sorry let's blame the spell check on my iPhone lets call you rook to be safe lol” ha ha ha so funny Ryan,23,26,27,24.0,19,CLE,,IND,W (+11),1,37,8,12,0.667,3,5,0.6,3,4,0.75,1,2,3,5,0,1,1,2,22,20.1,6,-1
7,7,2012-02-15,Happy valentines day!!! Enjoy this day with hugs and kisses for/from that significant other,23,26,27,24.0,19,CLE,,IND,W (+11),1,37,8,12,0.667,3,5,0.6,3,4,0.75,1,2,3,5,0,1,1,2,22,20.1,6,1
8,8,2012-02-17,Check out NBA TV @ 7pm est w/ me. Somebody will make a good decision by picking me for their #BBVARisingStars team...let's find out who.,24,27,28,25.0,19,CLE,,MIA,L (-24),1,31,5,15,0.333,0,2,0.0,7,7,1.0,1,3,4,2,2,1,1,2,17,12.4,-23,0
9,9,2012-02-21,“@Yo_Ronstar: @KyrieIrving do you want my juggernaut ? we played nba that one time . lmaoooo”Hahahaha COD talk,26,29,30,27.0,19,CLE,,DET,W (+1),1,39,8,15,0.533,3,4,0.75,6,6,1.0,1,4,5,8,2,2,6,3,25,21.4,-5,0
10,10,2012-03-07,The new #SSX is dope! Check out the new #EAVIP kit. Who’s down to defy reality and hit the virtual slopes w/me! http://t.co/jhSYo7Gl,32,36,37,33.0,19,CLE,@,DEN,W (+1),1,33,8,16,0.5,0,3,0.0,2,2,1.0,1,4,5,8,3,0,3,5,18,15.5,15,1
11,11,2012-03-07,Proud to be a part of @BestBuddies. Find out how you can change a life through friendship at http://t.co/2P0EWGzc,32,36,37,33.0,19,CLE,@,DEN,W (+1),1,33,8,16,0.5,0,3,0.0,2,2,1.0,1,4,5,8,3,0,3,5,18,15.5,15,0
12,12,2012-03-09,“@CultureDriven: I want to thank @KyrieIrving for dedicating the rest of the season to my Brother http://t.co/8yE5PsRG” no problem family,33,37,38,34.0,19,CLE,@,OKC,W (+6),1,31,4,12,0.333,0,1,0.0,1,2,0.5,2,4,6,12,3,0,1,1,9,14.4,4,1
13,13,2012-03-23,"Tmrw is my bday...can't ask for the best family, friends, and fans!!! Love all of y'all",40,44,45,41.0,20,CLE,@,ORL,L (-13),1,32,6,15,0.4,1,4,0.25,0,0,,0,4,4,6,2,0,1,1,13,10.9,-12,-1
14,14,2012-04-25,Excited about my new partnership with @PepsiMAX.  #KyrieMAX http://t.co/MwuBOQEQ,50,64,65,51.0,20,CLE,,WAS,L (-11),1,10,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,0,0,5,4.0,-1,0
15,15,2012-04-25,Make sure you follow @PepsiMAX on Instagram tomorrow to see all the behind the scenes photos I will be taking.  #KyrieMAX,50,64,65,51.0,20,CLE,,WAS,L (-11),1,10,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,0,0,5,4.0,-1,0
16,16,2012-10-30,#UncleDrew took time during his West Coast Trip for an interview on First Look with Stephen A. Smith.  Check it out!! http://t.co/Wrbwewk7,51,65,1,1.0,20,CLE,,WAS,W (+10),1,35,11,20,0.55,3,6,0.5,4,5,0.8,0,6,6,3,0,1,4,4,29,18.0,23,-1
17,17,2012-11-13,On our way to NY city!! Yessir,58,72,8,8.0,20,CLE,@,BRK,L (-13),1,38,9,19,0.474,2,6,0.333,14,14,1.0,1,3,4,8,3,0,4,2,34,29.7,-1,0
18,18,2012-11-17,“i’m sick of all this flippity-flopping around. these young bloods need to get real and learn the fundamentals!” - #UncleDrew,59,73,9,9.0,20,CLE,,DAL,L (-8),1,34,11,21,0.524,2,7,0.286,2,3,0.667,0,0,0,0,1,1,3,3,26,12.8,-2,-1
19,19,2012-12-21,"Congrats to Jabari Parker on choosing Duke University, great young player added to the program, #BlueDevilNation",67,92,28,17.0,20,CLE,,IND,L (-10),1,35,5,16,0.313,0,3,0.0,7,7,1.0,0,1,1,5,1,0,6,0,17,6.6,-13,1
20,20,2012-12-26,"Once again I'm sorry for that everybody, I would never post something like that, hope y'all have a very special Christmas, happy holidays!!",69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,-1
21,21,2012-12-26,So blessed to see my jersey being given out as a Christmas gift!! #clevelandpride,69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,0
22,22,2012-12-26,"I'm really appalled to see that!! Smh what the Internet can do now a days, good night smh man!",69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,0
23,23,2012-12-26,"That was not me posting that I'm really sorry fans, good night",69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,-1
24,24,2012-12-26,"Only person missing is @NataaGataa, then it would be a perfect Christmas!! I love you",69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,-1
25,25,2012-12-26,Merry Christmas everybody!! So appreciative of the people in my life,69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,-1
26,26,2012-12-26,"Would never post something like that, especially when I have my wife @NataaGataa, crazy!!!",69,94,30,19.0,20,CLE,@,WAS,W (+3),1,37,8,23,0.348,3,9,0.333,7,11,0.636,1,5,6,8,2,0,2,2,26,18.5,7,0
27,27,2012-12-28,Lol toooo much,70,95,31,20.0,20,CLE,,ATL,L (-8),1,38,12,20,0.6,4,7,0.571,0,0,,1,5,6,5,4,1,1,1,28,27.8,3,0
28,28,2012-12-28,“@JakeBelleli: @KyrieIrving RT to show your fans you actually read our tweets” don't worry I read them,70,95,31,20.0,20,CLE,,ATL,L (-8),1,38,12,20,0.6,4,7,0.571,0,0,,1,5,6,5,4,1,1,1,28,27.8,3,1
29,29,2012-12-28,"Have to live with it and move on, not gonna stop me from continuing to be myself",70,95,31,20.0,20,CLE,,ATL,L (-8),1,38,12,20,0.6,4,7,0.571,0,0,,1,5,6,5,4,1,1,1,28,27.8,3,0
