,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-11-04,NYC!!!,1,1,2,2.0,21,PHI,@,NYK,L (-16),0,11,0,5,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,0,-2.5,-13,0
1,1,2012-11-04,I can't believe you!!!!,1,1,2,2.0,21,PHI,@,NYK,L (-16),0,11,0,5,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,0,-2.5,-13,0
2,2,2012-11-24,Do John Johnson still go to Pitt?,5,12,13,6.0,21,PHI,,OKC,L (-7),0,6,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4,0
3,3,2012-11-24,Ok this is not English class stay out of my mentions if I spelled something a certain way it's on purpose obviously,5,12,13,6.0,21,PHI,,OKC,L (-7),0,6,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4,0
4,4,2012-11-27,“@VeltonJones2: @PhillyReem @MaalikWayns2 lmaooooo it's 10:20am Reem”ctfuppp,7,14,15,8.0,21,PHI,,DAL,W (+2),0,13,2,8,0.25,2,3,0.667,4,4,1.0,0,1,1,0,0,0,0,2,10,4.7,-5,0
5,5,2012-11-27,“@VeltonJones2: @MaalikWayns2 ima hit you on Skype tonight if our hotel wifi don't be drawin bro”ight cool,7,14,15,8.0,21,PHI,,DAL,W (+2),0,13,2,8,0.25,2,3,0.667,4,4,1.0,0,1,1,0,0,0,0,2,10,4.7,-5,0
6,6,2012-11-27,I love the game I'm just lucky enough that it loved me back GM twitter hope everyone gets there week started off on the right track!!!,7,14,15,8.0,21,PHI,,DAL,W (+2),0,13,2,8,0.25,2,3,0.667,4,4,1.0,0,1,1,0,0,0,0,2,10,4.7,-5,1
7,7,2012-11-30,“@UptownSmoove10: @RakeemBrookins you know how we do! Haa”ybs y'all good ctfup,8,15,16,9.0,21,PHI,@,CHA,W (+6),0,11,2,5,0.4,1,3,0.333,0,0,,0,0,0,2,0,0,1,1,5,2.3,-8,1
8,8,2012-12-08,Not as cool wit ppl as I once was!!!!,11,19,20,12.0,21,PHI,@,BOS,L (-13),0,10,2,4,0.5,0,1,0.0,3,4,0.75,0,1,1,1,1,0,0,0,7,6.6,-3,-1
9,9,2013-01-05,“@bballmaniac13: @MaalikWayns2 Maalik follow ur boy from phx. I am the kid that made u this http://t.co/dF02gCel”fa sho,19,34,35,20.0,21,PHI,@,SAS,L (-23),0,8,2,3,0.667,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,0,6,3.7,-3,0
10,10,2013-01-05,In okc and they come knocking on our doors at 6am talking about its a flood in the hotel and evacuate smh,19,34,35,20.0,21,PHI,@,SAS,L (-23),0,8,2,3,0.667,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,0,6,3.7,-3,-1
11,11,2013-03-10,GREAT day of practice appreciate all the love proud to be a part of a great team with great guys and a great organization #ClipperNation!!!,21,39,40,22.0,21,LAC,,DET,W (+32),0,11,1,3,0.333,0,0,,0,0,,0,0,0,5,2,0,0,5,2,3.8,-1,1
12,12,2013-03-10,Heard my roman boys lost in states today it's cool we got a nice young team well be back next year #RCHS!!!,21,39,40,22.0,21,LAC,,DET,W (+32),0,11,1,3,0.333,0,0,,0,0,,0,0,0,5,2,0,0,5,2,3.8,-1,0
13,13,2014-01-10,If you only know what I been through #really,28,54,38,2.0,22,LAC,,LAL,W (+36),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,2,0,0,3,2,3.8,-6,0
14,14,2014-01-10,Most of these ...... Should call it night we ballin for life!!!,28,54,38,2.0,22,LAC,,LAL,W (+36),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,2,0,0,3,2,3.8,-6,1
15,15,2014-01-10,Life is a marathon and I'm on like my 1st lap!!,28,54,38,2.0,22,LAC,,LAL,W (+36),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,2,0,0,3,2,3.8,-6,-1
16,16,2014-01-10,Good win tonight felt good to just get back in a game man I tell u!!!!,28,54,38,2.0,22,LAC,,LAL,W (+36),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,2,0,0,3,2,3.8,-6,1
17,17,2014-01-10,Man that Bol @Gerald_Bowman the most positive dude I know idk how he do it Glad I'm around that type of positive energy everyday tho!!!,28,54,38,2.0,22,LAC,,LAL,W (+36),0,6,1,1,1.0,0,0,,0,0,,0,2,2,1,2,0,0,3,2,3.8,-6,-1
