,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-12-17,back in Portland....,2,2,27,3.0,24,MIN,@,POR,L (-5),0,30,7,15,0.467,1,5,0.2,4,4,1.0,4,5,9,2,1,0,6,4,19,10.4,-10,0
1,1,2010-12-18,"Big night 2night, can't wait to see all my Portland faces!",3,3,28,4.0,24,MIN,@,DEN,L (-2),0,28,2,5,0.4,0,2,0.0,8,10,0.8,1,1,2,2,2,0,0,2,12,12.1,-1,1
2,2,2010-12-26,Merry Xmas everyone! I had a great morning with my family opening presents. Just landed in Cleveland.,6,6,31,7.0,24,MIN,@,CLE,W (+1),0,32,3,12,0.25,1,6,0.167,1,2,0.5,0,3,3,0,2,2,2,3,8,1.5,5,1
3,3,2010-12-29,"Miguel - My Piece 
#banger",8,8,33,9.0,24,MIN,,DEN,L (-6),0,24,6,11,0.545,2,5,0.4,3,4,0.75,0,3,3,1,0,0,3,4,17,8.3,-3,0
4,4,2010-12-29,Got that new @migmoney album on repeat. S#%* is niiiice!!!,8,8,33,9.0,24,MIN,,DEN,L (-6),0,24,6,11,0.545,2,5,0.4,3,4,0.75,0,3,3,1,0,0,3,4,17,8.3,-3,0
5,5,2011-01-01,"Huskys takin care of biz.
#Nebraskasnotready",9,9,34,10.0,24,MIN,,NJN,W (+15),0,25,3,5,0.6,3,4,0.75,1,2,0.5,0,2,2,2,1,0,1,5,10,7.3,1,1
6,6,2011-01-01,New years resolutions? #newattitude,9,9,34,10.0,24,MIN,,NJN,W (+15),0,25,3,5,0.6,3,4,0.75,1,2,0.5,0,2,2,2,1,0,1,5,10,7.3,1,0
7,7,2011-01-01,"RT @MinneMike @MartellWebster for 2011, I hereby resolve to dunk on Shaq and Martell Webster and eat my breakfast. #2ambitious ? LOL.",9,9,34,10.0,24,MIN,,NJN,W (+15),0,25,3,5,0.6,3,4,0.75,1,2,0.5,0,2,2,2,1,0,1,5,10,7.3,1,0
8,8,2011-01-17,At least the hawks made it respectable? Hardly.,17,17,42,18.0,24,MIN,@,POR,L (-11),0,23,1,6,0.167,0,3,0.0,6,8,0.75,3,1,4,1,0,0,0,2,8,5.7,-6,0
9,9,2011-01-24,Jets or Steelers? Bears or Packers?,19,19,44,20.0,24,MIN,,HOU,L (-4),0,10,1,3,0.333,0,0,,0,0,,1,1,2,1,0,1,1,3,2,0.5,-4,0
10,10,2011-01-29,@ Utah tonight. #gametime,22,22,47,23.0,24,MIN,,TOR,W (+16),0,24,6,11,0.545,3,5,0.6,0,0,,0,6,6,0,1,1,1,2,15,11.4,7,0
11,11,2012-01-29,Hey world. Do not go and see Underworld. It was terrible. I repeat terrible.,47,47,20,2.0,25,MIN,,LAL,L (-5),0,23,4,15,0.267,2,6,0.333,0,2,0.0,1,4,5,0,1,1,0,0,10,3.9,10,0
12,12,2012-02-19,All I can say first off is great win for the PACK! Second we got to get PEK-TACULAR to Orlando.,58,59,32,13.0,25,MIN,,PHI,W (+1),0,22,1,3,0.333,1,2,0.5,0,0,,0,5,5,0,2,1,1,1,3,4.1,3,1
13,13,2012-02-20,"The one on the left belongs to Malcom Lee
The middle one belongs to @RealDwill7 and the one on the right @rickyrubio9  http://t.co/WBfRLHQc",59,60,33,14.0,25,MIN,@,DEN,L (-2),0,32,3,10,0.3,1,6,0.167,3,3,1.0,1,3,4,1,1,2,3,4,10,4.3,-3,-1
