,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2013-12-20,"MT @PrioritySports MUST WATCH: Betty White or Joan Rivers? “Tough call”-Nick Young, when he sat down w/ @grantland33 http://t.co/r1lN9tcxYb",25,25,26,26.0,28,LAL,,MIN,W (+13),0,31,9,14,0.643,4,6,0.667,3,3,1.0,0,3,3,4,0,0,5,2,25,16.7,12,0
1,1,2014-03-30,I'm back lost all my followers,54,72,73,55.0,28,LAL,,PHO,W (+16),0,24,4,12,0.333,1,6,0.167,2,3,0.667,0,3,3,2,1,0,0,1,11,6.7,-4,-1
2,2,2014-04-11,That aint me,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,-1
3,3,2014-04-11,What shoes should I wear with the Hollywood night jerseys tomorrow y'all,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,0
4,4,2014-04-11,Y'all got my mom callin me goin crazy see what y'all started lol,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,0
5,5,2014-04-11,Man y'all not helping lol,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,-1
6,6,2014-04-11,I told y'all man Swaggy aint goin out that lol now I want a I'm sorry Swaggy,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,-1
7,7,2014-04-11,Now I gotta sit here with the I ate ass face at cheesecake fac everybody lookin at me crazy (Kevin Hart voice ),60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,-1
8,8,2014-04-11,Man y'all better stop playin with me on twitter,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,1
9,9,2014-04-11,Y'all cold for that one lol,60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,1
10,10,2014-04-11,"StaySwaggy lol "" classic""",60,78,79,61.0,28,LAL,,GSW,L (-17),0,30,10,20,0.5,3,8,0.375,2,2,1.0,0,0,0,4,0,0,0,1,25,17.4,-8,0
