,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2015-10-29,First game tonight baby lets start it off right Indy!,0,1,2,1.0,19,IND,,MEM,L (-9),0,18,4,6,0.667,0,0,,0,2,0.0,1,3,4,0,2,1,2,4,8,5.3,3,1
1,1,2015-10-31,🔛🔝🔜 https://t.co/HZPTQ6zuvg,1,2,3,2.0,19,IND,,UTA,L (-21),0,23,4,8,0.5,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,6.9,-5,0
2,2,2015-10-31,It's crazy he was just at the game last night....,1,2,3,2.0,19,IND,,UTA,L (-21),0,23,4,8,0.5,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,6.9,-5,0
3,3,2015-10-31,RIP to a Pacers legend Mel Daniels saddened for my Pacer family and organization for this loss...,1,2,3,2.0,19,IND,,UTA,L (-21),0,23,4,8,0.5,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,6.9,-5,-1
4,4,2015-10-31,.@ALBAlegacy created #Mylestone shirts for my @NBA debut. Proceeds go to supporting the gr8 ppl @starkeycares!  https://t.co/viHeasqzEa,1,2,3,2.0,19,IND,,UTA,L (-21),0,23,4,8,0.5,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,6.9,-5,-1
5,5,2015-11-03,Power. Put-Back. Porzingis. #NBAVine https://t.co/18xGpkdBGr,2,3,4,3.0,19,IND,@,DET,W (+12),0,15,3,4,0.75,0,0,,0,0,,0,4,4,0,1,3,0,3,6,7.5,2,0
6,6,2015-12-30,I Have Finally Committed to Indiana University!!!!!  #iufb #indiana #hoosierarmy #boom817 https://t.co/QVRNwmkxu9,8,30,31,9.0,19,IND,@,CHI,L (-2),0,22,2,8,0.25,0,0,,4,6,0.667,1,4,5,1,0,3,0,4,8,5.5,-5,0
7,7,2015-12-31,Wow man... RIP to Melvin Swift didn't know him personally but hooped against him a few times.... Very sad news,9,31,32,10.0,19,IND,,MIL,L (-4),0,17,2,6,0.333,0,0,,4,6,0.667,2,7,9,0,0,0,1,2,8,5.5,-3,0
8,8,2016-01-02,#FreshStart,10,32,33,11.0,19,IND,,DET,W (+12),0,10,1,5,0.2,0,0,,2,2,1.0,1,3,4,0,0,2,1,2,4,2.1,3,0
9,9,2016-01-10,I'll just leave this here😴 https://t.co/Rj6b2bMyMU,14,36,37,15.0,19,IND,@,HOU,L (-4),0,13,2,3,0.667,0,0,,0,0,,1,1,2,1,0,1,0,1,4,4.7,-2,0
10,10,2016-01-15,S/o to my young bull @j3vans1_ putting up 42 tonight! #dontsleep,17,39,40,18.0,19,IND,,WAS,L (-14),0,18,4,8,0.5,0,0,,2,2,1.0,1,2,3,1,0,0,1,1,10,6.6,5,1
11,11,2016-01-19,#TrustTheProcess,19,41,42,20.0,19,IND,@,PHO,W (+3),0,31,7,11,0.636,0,0,,1,1,1.0,1,3,4,0,0,4,1,4,15,11.9,8,0
12,12,2016-01-19,Congrats to the young bulls @the2kferguson @Swipathefox5 @MarquesB__ @AxJ_10 @JarrettAllen55 4 making the Mickey D's game TX stay producing!,19,41,42,20.0,19,IND,@,PHO,W (+3),0,31,7,11,0.636,0,0,,1,1,1.0,1,3,4,0,0,4,1,4,15,11.9,8,0
13,13,2016-01-26,Had an awesome time today staying fit the @Pacers way with Boomer and a few new friends I met at the @ymca https://t.co/iD0pH2ZT18,22,44,45,23.0,19,IND,,LAC,L (-2),0,18,7,11,0.636,0,0,,2,4,0.5,0,6,6,0,0,1,1,2,16,11.0,-6,1
14,14,2016-01-28,This Friday from 4-5:30pm I'll be at the 8745 S.Emerson Kroger's supporting my WARM initiative! Details here &gt; https://t.co/mCpR8wgcuN,23,45,46,24.0,19,IND,,ATL,W (+19),1,26,9,17,0.529,0,0,,2,3,0.667,0,6,6,1,0,1,2,3,20,11.3,10,0
15,15,2016-01-28,We Gon See...,23,45,46,24.0,19,IND,,ATL,W (+19),1,26,9,17,0.529,0,0,,2,3,0.667,0,6,6,1,0,1,2,3,20,11.3,10,0
16,16,2016-01-30,#FanLuv,24,46,47,25.0,19,IND,,DEN,W (+4),1,40,3,11,0.273,0,0,,2,5,0.4,2,7,9,3,0,4,1,4,8,6.1,-2,0
17,17,2016-02-03,"S/O my Horns though!!! Good W!
#HookEm",26,48,49,27.0,19,IND,@,BRK,W (+14),1,31,4,11,0.364,0,0,,1,2,0.5,1,6,7,0,0,3,2,2,9,4.3,-1,1
18,18,2016-02-03,Tough one man.....,26,48,49,27.0,19,IND,@,BRK,W (+14),1,31,4,11,0.364,0,0,,1,2,0.5,1,6,7,0,0,3,2,2,9,4.3,-1,0
19,19,2016-02-03,"Not getting what you WANT is sometimes what you NEED 
#TheProcess",26,48,49,27.0,19,IND,@,BRK,W (+14),1,31,4,11,0.364,0,0,,1,2,0.5,1,6,7,0,0,3,2,2,9,4.3,-1,-1
20,20,2016-02-05,Clinomania,27,49,50,28.0,19,IND,@,ATL,L (-6),1,23,6,11,0.545,0,0,,0,0,,4,3,7,0,1,1,1,4,12,9.5,-3,0
21,21,2016-02-08,I know I'm in Manning country though so no disrespect!,29,51,52,30.0,19,IND,,LAL,W (+2),1,30,6,8,0.75,0,0,,2,4,0.5,1,12,13,1,0,0,3,4,14,10.4,18,0
