,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2013-01-02,Happy New Years in T.O!! Be Blessed everyone,6,31,32,7.0,22,TOR,,POR,W (+23),0,5,0,0,,0,0,,2,2,1.0,0,0,0,0,0,1,0,2,2,1.9,1,1
1,1,2013-01-04,"""Like anybody, I would like to live a long life. Longevity has its place. But Im not concerned about that now. I just want to do God's will""",7,32,33,8.0,22,TOR,,SAC,L (-9),0,12,0,2,0.0,0,0,,0,0,,4,1,5,0,0,0,1,3,0,-0.5,9,1
2,2,2013-01-04,Martin Luther King Jr.,7,32,33,8.0,22,TOR,,SAC,L (-9),0,12,0,2,0.0,0,0,,0,0,,4,1,5,0,0,0,1,3,0,-0.5,9,-1
3,3,2013-01-13,Blessed!!,10,36,37,11.0,22,TOR,,MIL,L (-11),0,13,0,3,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,1,1,2,-0.5,-20,0
4,4,2013-01-15,Lol a foul..? Come on now don't start this ...Lets go #BaylorNation,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,0
5,5,2013-01-15,Gotta takeover RT @OG_FreddyE3: P Jack need to take over.,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,0
6,6,2013-01-15,I like what I'm seeing from Rico,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,1
7,7,2013-01-15,That's what we need this game young P. Jack... You gotta score #BaylorNation,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,0
8,8,2013-01-15,What I learned in my 4 years.. Get ready when you go to Kansas.. You ain't getting no calls lol #BaylorNation,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,0
9,9,2013-01-15,Y'all tune in and watch my Baylor Bears take on Kansas on Big Monday right now on ESPN #BaylorNation,11,37,38,12.0,22,TOR,@,BRK,L (-7),0,6,2,2,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,6,4.4,6,0
