,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Yes I'm rooting for the PHILLIES!!!!!,0,0,1,1.0,27,PHI,@,ORL,L (-14),0,12,2,4,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,4,2.9,3,1
1,1,2009-10-28,What up twitter family. Heading to orlando!!!!!!!!,0,0,1,1.0,27,PHI,@,ORL,L (-14),0,12,2,4,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,4,2.9,3,0
2,2,2009-10-28,We are getting on the plane! Season start tomorrow let's get it started!,0,0,1,1.0,27,PHI,@,ORL,L (-14),0,12,2,4,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,4,2.9,3,0
3,3,2009-11-08,I guess so ur good people,4,5,6,5.0,27,PHI,@,DET,L (-7),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-2,1
4,4,2009-11-08,Royalty,4,5,6,5.0,27,PHI,@,DET,L (-7),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-2,0
5,5,2009-11-08,"RT @IamSwagFlu: @ROYALTIVEY life is short, yea a midget told me that. and i always been fly like a pigeons on my back. Oh really",4,5,6,5.0,27,PHI,@,DET,L (-7),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-2,0
6,6,2009-11-08,Its not that cold in the D! Pretty nice!,4,5,6,5.0,27,PHI,@,DET,L (-7),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-2,1
7,7,2009-11-08,Life is short life is what you make! Live it to. The fullest because we are not here forever!,4,5,6,5.0,27,PHI,@,DET,L (-7),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,-2,0
8,8,2009-11-11,Congrads to my boy Daniel Artest. Get it in family !,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,1
9,9,2009-11-11,Who has that new 50 and Wale?,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,0
10,10,2009-11-11,New jersey is boring man!,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,-1
11,11,2009-11-11,We back NY first Jay Z then 50 cent brings the heat yea 50 50 50 stand up QUEENS!!!!!!!,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,1
12,12,2009-11-11,You get that triple c'sssssss????,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,1
13,13,2009-11-11,Before I self destruct came out today!!!! 50 has  a mini movie with it too!!!!,5,7,8,6.0,27,PHI,@,NJN,W (+3),0,8,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,1
14,14,2009-11-13,Did u see the lady who face got ripped off by the chimp? What a strong individual!,6,8,9,7.0,27,PHI,,UTA,L (-22),0,13,2,4,0.5,1,2,0.5,1,1,1.0,0,0,0,1,0,1,0,1,6,5.0,-1,0
15,15,2009-11-13,Rain go away NOW!,6,8,9,7.0,27,PHI,,UTA,L (-22),0,13,2,4,0.5,1,2,0.5,1,1,1.0,0,0,0,1,0,1,0,1,6,5.0,-1,0
16,16,2009-11-18,Going bowling and I'm pretty weak at bowling!,7,10,11,8.0,27,PHI,,CHA,W (+2),0,7,0,1,0.0,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-3,1
17,17,2009-12-02,Dallas is weak,12,18,19,13.0,27,PHI,@,OKC,L (-11),0,6,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,3,1.6,-1,-1
18,18,2009-12-02,Yoooie,12,18,19,13.0,27,PHI,@,OKC,L (-11),0,6,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,3,1.6,-1,0
19,19,2009-12-07,What happened,13,20,21,14.0,27,PHI,,DEN,L (-10),0,8,0,3,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,0,-1.2,-2,0
20,20,2009-12-07,13-12 on to the next one!!!!! BCS National Championship bring it back to AUSTIN!!!!!!,13,20,21,14.0,27,PHI,,DEN,L (-10),0,8,0,3,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,0,-1.2,-2,0
