,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-04-10,Follow  my lil cuz @Iam_KingBryant get his follwers up,10,79,80,11.0,25,DEN,,SAS,L (-19),0,5,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,0,0,2.7,1,0
1,1,2010-04-10,Damn hope u aint drivin lol  http://tweetphoto.com/17801179,10,79,80,11.0,25,DEN,,SAS,L (-19),0,5,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,0,0,2.7,1,1
2,2,2010-04-12,Dave is at da crib who's first,11,80,81,12.0,25,DEN,,MEM,W (+22),0,7,1,1,1.0,0,0,,0,0,,0,1,1,1,0,1,0,2,2,2.6,-6,0
3,3,2010-04-12,Wha should I get any ideas,11,80,81,12.0,25,DEN,,MEM,W (+22),0,7,1,1,1.0,0,0,,0,0,,0,1,1,1,0,1,0,2,2,2.6,-6,0
4,4,2010-04-13,we in the lab come thru and holla at us  (@r_balkman@yahoo.com live at http://ustre.am/dQEt ),12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,0
5,5,2010-04-13,In da lab upstream live,12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,0
6,6,2010-04-13,Had 2 take a break shhheeessshhhh,12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,0
7,7,2010-04-13,Whatever wha yall want me 2 get need sumthin,12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,0
8,8,2010-04-13,Please wha is next,12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,-1
9,9,2010-04-13,Check It out live,12,81,82,13.0,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2,0
