,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-10-30,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",0,0,1,1.0,19,WAS,@,CLE,L (-10),1,22,2,8,0.25,2,4,0.5,2,2,1.0,0,3,3,3,1,0,2,1,8,4.8,-16,1
1,1,2012-11-03,Good morning everyone. Lets thank God for all of His blessings and for allowing us to see another day !,1,1,2,2.0,19,WAS,,BOS,L (-3),1,22,0,5,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-0.5,-18,1
2,2,2012-11-07,It's briss in Boston !!,2,2,3,3.0,19,WAS,@,BOS,L (-6),1,38,6,15,0.4,3,8,0.375,1,1,1.0,0,4,4,3,1,1,2,4,16,9.3,6,1
3,3,2012-11-07,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",2,2,3,3.0,19,WAS,@,BOS,L (-6),1,38,6,15,0.4,3,8,0.375,1,1,1.0,0,4,4,3,1,1,2,4,16,9.3,6,1
4,4,2012-11-09,To God be the Glory ! Goodnight tweeps !,3,3,4,4.0,19,WAS,,MIL,L (-10),1,34,7,14,0.5,0,4,0.0,8,8,1.0,1,3,4,2,2,0,3,2,22,16.2,6,1
5,5,2012-11-09,"Good morning everyone, lets thank God for all of His blessings and for allowing us to see another day !",3,3,4,4.0,19,WAS,,MIL,L (-10),1,34,7,14,0.5,0,4,0.0,8,8,1.0,1,3,4,2,2,0,3,2,22,16.2,6,1
6,6,2012-11-10,"Good morning everyone, lets thank God for all of His blessings and for allowing us to see another day !",4,4,5,5.0,19,WAS,@,IND,L (-4),1,35,6,11,0.545,3,3,1.0,2,3,0.667,1,5,6,2,1,1,3,1,17,13.2,3,1
7,7,2012-11-13,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",5,5,6,6.0,19,WAS,@,CHA,L (-16),1,22,1,11,0.091,1,6,0.167,5,5,1.0,2,1,3,0,1,0,1,3,8,1.2,-2,1
8,8,2012-11-13,"Dude Hit the ""Beef it up"" lmaoo I'm weakkkkk",5,5,6,6.0,19,WAS,@,CHA,L (-16),1,22,1,11,0.091,1,6,0.167,5,5,1.0,2,1,3,0,1,0,1,3,8,1.2,-2,1
9,9,2012-11-14,"Good morning everyone, lets thank God for all of His blessings and for allowing us to see another day !",6,6,7,7.0,19,WAS,@,DAL,L (-6),1,28,3,14,0.214,2,6,0.333,0,0,,1,0,1,2,1,0,0,2,8,1.7,-17,1
10,10,2012-11-14,Good luck to my bros today @D_Mitch23 @n8terade @simply_dope @AwbreyRucker @JayCee809 @TheHillsFinest3 @P_AIR22RAW @j_mitch6 @retro_kicks01,6,6,7,7.0,19,WAS,@,DAL,L (-6),1,28,3,14,0.214,2,6,0.333,0,0,,1,0,1,2,1,0,0,2,8,1.7,-17,1
11,11,2012-11-17,"To God be the Glory, Goodnight tweeps !",7,7,8,8.0,19,WAS,,UTA,L (-7),0,13,3,6,0.5,0,0,,0,0,,0,1,1,0,0,0,2,0,6,1.3,-9,1
12,12,2012-11-17,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",7,7,8,8.0,19,WAS,,UTA,L (-7),0,13,3,6,0.5,0,0,,0,0,,0,1,1,0,0,0,2,0,6,1.3,-9,1
13,13,2012-11-19,Excited to be giving back to those in need. Drop by @VerizonCenter and donate canned goods on (cont) http://t.co/eTIzQBrf,8,8,9,9.0,19,WAS,,IND,L (-7),0,30,4,12,0.333,3,6,0.5,7,9,0.778,0,2,2,1,1,2,2,1,18,11.7,4,0
14,14,2012-11-19,Coooooolin ! http://t.co/gBCdzvry,8,8,9,9.0,19,WAS,,IND,L (-7),0,30,4,12,0.333,3,6,0.5,7,9,0.778,0,2,2,1,1,2,2,1,18,11.7,4,0
15,15,2012-11-19,Throw the M up one time !! Lol,8,8,9,9.0,19,WAS,,IND,L (-7),0,30,4,12,0.333,3,6,0.5,7,9,0.778,0,2,2,1,1,2,2,1,18,11.7,4,0
16,16,2012-11-19,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",8,8,9,9.0,19,WAS,,IND,L (-7),0,30,4,12,0.333,3,6,0.5,7,9,0.778,0,2,2,1,1,2,2,1,18,11.7,4,1
17,17,2012-11-21,"To God be the Glory, Goodnight tweeps !",9,9,10,10.0,19,WAS,@,ATL,L (-1),1,26,3,8,0.375,0,3,0.0,0,0,,3,2,5,4,1,1,5,6,6,1.4,-2,1
18,18,2012-11-21,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",9,9,10,10.0,19,WAS,@,ATL,L (-1),1,26,3,8,0.375,0,3,0.0,0,0,,3,2,5,4,1,1,5,6,6,1.4,-2,1
19,19,2012-11-21,ATL what's up !!,9,9,10,10.0,19,WAS,@,ATL,L (-1),1,26,3,8,0.375,0,3,0.0,0,0,,3,2,5,4,1,1,5,6,6,1.4,-2,0
20,20,2012-11-21,This French Montana &gt;&gt;&gt;&gt;&gt;&gt; 👍👌🎧,9,9,10,10.0,19,WAS,@,ATL,L (-1),1,26,3,8,0.375,0,3,0.0,0,0,,3,2,5,4,1,1,5,6,6,1.4,-2,0
21,21,2012-11-24,"Good morning tweeps, lets thank God for all of His blessings and for allowing us to see another day !",10,10,11,11.0,19,WAS,,CHA,L (-2),1,40,3,12,0.25,3,9,0.333,4,4,1.0,2,8,10,5,0,2,1,1,13,13.1,-20,1
22,22,2012-11-26,Thank God for all of His blessings and for allowing me to see another day !!,11,11,12,12.0,19,WAS,,SAS,L (-26),1,30,4,13,0.308,0,1,0.0,3,4,0.75,0,3,3,1,2,0,0,0,11,6.7,-9,1
23,23,2012-11-28,Thank God for all of His blessings and for allowing us to see another day !,12,12,13,13.0,19,WAS,,POR,W (+2),1,16,2,6,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,2,0,5,-0.4,-3,1
24,24,2012-11-30,New Mindset !,13,13,14,14.0,19,WAS,@,NYK,L (-21),1,31,5,11,0.455,2,5,0.4,2,4,0.5,0,3,3,0,0,0,2,0,14,6.4,-9,0
25,25,2012-11-30,"To God be the Glory, Goodnight tweeps !",13,13,14,14.0,19,WAS,@,NYK,L (-21),1,31,5,11,0.455,2,5,0.4,2,4,0.5,0,3,3,0,0,0,2,0,14,6.4,-9,1
26,26,2012-11-30,Thank God for all of His Blessings and for allowing me to see another day !,13,13,14,14.0,19,WAS,@,NYK,L (-21),1,31,5,11,0.455,2,5,0.4,2,4,0.5,0,3,3,0,0,0,2,0,14,6.4,-9,1
27,27,2012-12-04,Gold all in my chain !!,14,14,15,15.0,19,WAS,,MIA,W (+4),1,17,5,11,0.455,0,3,0.0,0,0,,0,2,2,3,0,1,0,3,10,6.5,-3,0
28,28,2012-12-04,Thank God for all of His blessings and for allowing us to see another day !,14,14,15,15.0,19,WAS,,MIA,W (+4),1,17,5,11,0.455,0,3,0.0,0,0,,0,2,2,3,0,1,0,3,10,6.5,-3,1
29,29,2012-12-07,Thank God for all of His blessings and for allowing me to see another day !,15,15,16,16.0,19,WAS,@,ATL,L (-9),1,28,5,12,0.417,2,4,0.5,6,6,1.0,0,3,3,3,2,1,1,2,18,15.5,-7,1
30,30,2012-12-07,"To God be the Glory, Goodnight Tweeps !",15,15,16,16.0,19,WAS,@,ATL,L (-9),1,28,5,12,0.417,2,4,0.5,6,6,1.0,0,3,3,3,2,1,1,2,18,15.5,-7,1
31,31,2012-12-08,Thank God for all of His blessings and for allowing us to see another day !,16,16,17,17.0,19,WAS,,GSW,L (-4),1,40,6,17,0.353,1,6,0.167,4,6,0.667,1,5,6,6,2,1,1,1,17,14.4,-3,1
32,32,2012-12-08,GAMEEEDAYYY !!,16,16,17,17.0,19,WAS,,GSW,L (-4),1,40,6,17,0.353,1,6,0.167,4,6,0.667,1,5,6,6,2,1,1,1,17,14.4,-3,0
33,33,2012-12-11,Thank God for all of His blessings and for allowing us to see another day !,17,17,18,18.0,19,WAS,@,NOH,W (+7),1,39,6,12,0.5,1,4,0.25,2,2,1.0,1,6,7,4,1,0,1,2,15,13.5,2,1
34,34,2012-12-11,Please everyone bless my good friend @antoniodowels with a donation to help him buy a new wheelchair: http://t.co/4LEGgTOE,17,17,18,18.0,19,WAS,@,NOH,W (+7),1,39,6,12,0.5,1,4,0.25,2,2,1.0,1,6,7,4,1,0,1,2,15,13.5,2,1
35,35,2012-12-11,Wiz Khalifa O.N.I.F.C.  👍🎧,17,17,18,18.0,19,WAS,@,NOH,W (+7),1,39,6,12,0.5,1,4,0.25,2,2,1.0,1,6,7,4,1,0,1,2,15,13.5,2,0
36,36,2012-12-11,Nerd !!! Lol http://t.co/PgcFSWTZ,17,17,18,18.0,19,WAS,@,NOH,W (+7),1,39,6,12,0.5,1,4,0.25,2,2,1.0,1,6,7,4,1,0,1,2,15,13.5,2,0
37,37,2012-12-12,To God be the Glory !,18,18,19,19.0,19,WAS,@,HOU,L (-6),1,38,6,15,0.4,3,7,0.429,5,6,0.833,0,4,4,5,2,0,3,6,20,12.8,-8,0
38,38,2012-12-12,Thank God for all of His blessings and for allowing us to see another day !,18,18,19,19.0,19,WAS,@,HOU,L (-6),1,38,6,15,0.4,3,7,0.429,5,6,0.833,0,4,4,5,2,0,3,6,20,12.8,-8,1
39,39,2012-12-12,GAMEEEDAYYY !!,18,18,19,19.0,19,WAS,@,HOU,L (-6),1,38,6,15,0.4,3,7,0.429,5,6,0.833,0,4,4,5,2,0,3,6,20,12.8,-8,0
40,40,2012-12-14,Great to see the kids at the Georgetown University Hospital !! #blessed,19,19,20,20.0,19,WAS,,LAL,L (-6),1,22,2,7,0.286,0,3,0.0,0,0,,0,4,4,1,1,0,3,5,4,-2.2,-19,1
41,41,2012-12-14,Thank God for all of His blessings and for allowing us to see another day !,19,19,20,20.0,19,WAS,,LAL,L (-6),1,22,2,7,0.286,0,3,0.0,0,0,,0,4,4,1,1,0,3,5,4,-2.2,-19,1
42,42,2012-12-14,Lol ima get you back good gameRT @ChandlerParsons: Told the young boy @RealDealBeal23 what time it was in the 4th quarter. #handdownmandown,19,19,20,20.0,19,WAS,,LAL,L (-6),1,22,2,7,0.286,0,3,0.0,0,0,,0,4,4,1,1,0,3,5,4,-2.2,-19,1
43,43,2012-12-14,Please everyone bless my good friend @antoniodowels with a donation to help him buy a new wheelchair: http://t.co/SljdaslX,19,19,20,20.0,19,WAS,,LAL,L (-6),1,22,2,7,0.286,0,3,0.0,0,0,,0,4,4,1,1,0,3,5,4,-2.2,-19,1
44,44,2012-12-15,Thoughts and prayers go our t p#realdeal #,20,20,21,21.0,19,WAS,@,MIA,L (-30),1,38,6,18,0.333,2,6,0.333,5,6,0.833,0,3,3,0,1,0,3,1,19,6.9,-38,-1
45,45,2012-12-15,Thank God for all of His blessings and for allowing us to see another day !,20,20,21,21.0,19,WAS,@,MIA,L (-30),1,38,6,18,0.333,2,6,0.333,5,6,0.833,0,3,3,0,1,0,3,1,19,6.9,-38,1
46,46,2012-12-15,To God be the Glory !,20,20,21,21.0,19,WAS,@,MIA,L (-30),1,38,6,18,0.333,2,6,0.333,5,6,0.833,0,3,3,0,1,0,3,1,19,6.9,-38,0
47,47,2012-12-15,GAMEEEDAYYY !,20,20,21,21.0,19,WAS,@,MIA,L (-30),1,38,6,18,0.333,2,6,0.333,5,6,0.833,0,3,3,0,1,0,3,1,19,6.9,-38,0
48,48,2012-12-15,Thoughts and prayers go out to the families that lost a loved one in Connecticut ! #staystrong,20,20,21,21.0,19,WAS,@,MIA,L (-30),1,38,6,18,0.333,2,6,0.333,5,6,0.833,0,3,3,0,1,0,3,1,19,6.9,-38,-1
49,49,2012-12-18,Great day to get better !! #Legooh,21,21,22,22.0,19,WAS,,ATL,L (-5),1,40,8,22,0.364,0,3,0.0,1,2,0.5,3,2,5,4,2,0,1,4,17,9.3,-1,1
50,50,2012-12-18,Thank God for all of His blessings and for allowing us to see another day !,21,21,22,22.0,19,WAS,,ATL,L (-5),1,40,8,22,0.364,0,3,0.0,1,2,0.5,3,2,5,4,2,0,1,4,17,9.3,-1,1
51,51,2012-12-22,GAMEEEDAYYY !,22,24,25,23.0,19,WAS,,DET,L (-9),1,44,7,17,0.412,0,5,0.0,0,0,,1,4,5,4,0,0,0,2,14,8.8,-16,0
52,52,2012-12-22,Thank God for all of His blessings and for allowing us to see another day !,22,24,25,23.0,19,WAS,,DET,L (-9),1,44,7,17,0.412,0,5,0.0,0,0,,1,4,5,4,0,0,0,2,14,8.8,-16,1
53,53,2012-12-22,"To God be the Glory, Goodnight tweeps !",22,24,25,23.0,19,WAS,,DET,L (-9),1,44,7,17,0.412,0,5,0.0,0,0,,1,4,5,4,0,0,0,2,14,8.8,-16,1
54,54,2012-12-26,Thank God for all of His blessings and for allowing us to see another day !,23,25,26,24.0,19,WAS,,CLE,L (-3),1,21,0,5,0.0,0,2,0.0,2,2,1.0,0,2,2,4,0,0,1,0,2,0.9,5,1
55,55,2012-12-26,#STUNGRY,23,25,26,24.0,19,WAS,,CLE,L (-3),1,21,0,5,0.0,0,2,0.0,2,2,1.0,0,2,2,4,0,0,1,0,2,0.9,5,0
56,56,2012-12-26,"Merry Christmas everyone, have a great day !",23,25,26,24.0,19,WAS,,CLE,L (-3),1,21,0,5,0.0,0,2,0.0,2,2,1.0,0,2,2,4,0,0,1,0,2,0.9,5,1
57,57,2012-12-28,Thank God for all of His blessings and for allowing us to see another day !,24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,1
58,58,2012-12-28,Time to grocery shop !!,24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,0
59,59,2012-12-28,To God be the Glory ! Goodnight ! 🙏,24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,1
60,60,2012-12-28,Happy Birthday to my big brother @GotDamnBB_68 !!,24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,1
61,61,2012-12-28,I feel special :),24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,1
62,62,2012-12-28,Is Django good?,24,26,27,25.0,19,WAS,,ORL,W (+8),1,30,4,12,0.333,0,3,0.0,3,3,1.0,0,1,1,4,1,1,0,1,11,8.6,1,1
63,63,2012-12-29,Amen!,25,27,28,26.0,19,WAS,@,CHI,L (-10),1,34,5,15,0.333,0,3,0.0,4,4,1.0,1,4,5,3,1,0,3,2,14,6.7,-10,0
64,64,2012-12-29,GAMEEEDAYYY !,25,27,28,26.0,19,WAS,@,CHI,L (-10),1,34,5,15,0.333,0,3,0.0,4,4,1.0,1,4,5,3,1,0,3,2,14,6.7,-10,0
