,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-01-22,That new Denzel movie is nice.,41,41,42,42.0,24,MEM,,OKC,W (+2),0,10,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-0.5,-2,1
1,1,2010-02-06,3 strikes your out....,47,49,50,48.0,24,MEM,@,MIN,L (-7),0,16,0,4,0.0,0,1,0.0,1,2,0.5,0,0,0,3,1,0,0,0,1,0.9,-2,0
2,2,2010-02-17,How do you tell a love one the horrible truth,50,52,53,51.0,24,MEM,@,TOR,W (+7),0,10,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-16,1
3,3,2010-02-17,Lol is texting wrong in that situation...,50,52,53,51.0,24,MEM,@,TOR,W (+7),0,10,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-16,-1
4,4,2010-02-21,Hey Twitter friends what's goin on in new jersey...,52,54,55,53.0,24,MEM,@,NJN,W (+10),0,19,2,6,0.333,0,0,,0,0,,1,0,1,0,3,0,3,1,4,0.9,-4,0
5,5,2010-02-21,Jersey,52,54,55,53.0,24,MEM,@,NJN,W (+10),0,19,2,6,0.333,0,0,,0,0,,1,0,1,0,3,0,3,1,4,0.9,-4,0
6,6,2010-02-21,"Tough loss, let's right right fellas,",52,54,55,53.0,24,MEM,@,NJN,W (+10),0,19,2,6,0.333,0,0,,0,0,,1,0,1,0,3,0,3,1,4,0.9,-4,1
7,7,2010-02-23,"Just leavin practice.... Practice, practice, I'm suppose to be a PRO and I got to go to practice...lol",53,55,56,54.0,24,MEM,,LAL,L (-1),0,16,3,6,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,2,7,3.5,-4,1
8,8,2010-02-26,Bye bye home sweet home,55,57,58,56.0,24,MEM,,CHA,L (-4),0,21,1,4,0.25,0,2,0.0,1,2,0.5,1,1,2,2,0,0,2,1,3,0.2,2,1
9,9,2010-02-26,I don't want to leave DC,55,57,58,56.0,24,MEM,,CHA,L (-4),0,21,1,4,0.25,0,2,0.0,1,2,0.5,1,1,2,2,0,0,2,1,3,0.2,2,0
