,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2016-03-11,Proud of my man @VCU_Bandit2 on his call up to @memgrizz #2DaHoop,0,0,1,1.0,23,MEM,,NOP,W (+7),1,40,4,6,0.667,0,0,,2,2,1.0,1,4,5,7,1,1,2,2,10,13.1,-4,0
1,1,2016-03-11,The new starting point guard of the Memphis Grizzlies. What a difference a year makes. https://t.co/RcgWEWmXXX,0,0,1,1.0,23,MEM,,NOP,W (+7),1,40,4,6,0.667,0,0,,2,2,1.0,1,4,5,7,1,1,2,2,10,13.1,-4,1
2,2,2016-03-12,"Dreams Do Come Tru  "" Im Working Every Day Im  At Practice"" #NewBeginning #NBAAwaits https://t.co/nfWplwCBdk",1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,0
3,3,2016-03-12,Kobe v LBJ this is entertaining basketball,1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,1
4,4,2016-03-12,OFFICIAL | Briante Weber has signed a 10-day contract with the @memgrizz #FORCENATION https://t.co/x6Gj9MlGFr,1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,1
5,5,2016-03-12,LBJ wasnt suppose to katch that smh gracious,1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,0
6,6,2016-03-12,Kobe aint going no where lol jokes on the world haha #AprilFools,1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,0
7,7,2016-03-12,"Oh wow… Grizz Nation is gonna love Briante Weber.

He said the Grizzlies have been his favorite team all his life.",1,1,2,2.0,23,MEM,@,ATL,L (-12),1,32,1,5,0.2,0,2,0.0,0,0,,3,1,4,3,3,1,0,1,2,6.7,-15,1
8,8,2016-03-14,Man A-10 two loses to st.joes starting to have a different feeling about them now #RivalryForming,2,2,3,3.0,23,MEM,@,HOU,L (-49),1,35,1,8,0.125,0,0,,1,2,0.5,2,5,7,3,2,0,5,1,3,-1.0,-43,0
9,9,2016-03-14,This moving so fast man whew but Houston whats up one step after another,2,2,3,3.0,23,MEM,@,HOU,L (-49),1,35,1,8,0.125,0,0,,1,2,0.5,2,5,7,3,2,0,5,1,3,-1.0,-43,0
