,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2013-01-14,Not no more. “@mconley11: @TWroten_LOE  I know you hype right now”,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,-1
1,1,2013-01-14,#ThankGODForBlessingMeToSeeAnotherDay,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
2,2,2013-01-14,“@RMoore206: @TWroten_LOE hahahaha u said wtf you mean hahahahaha lol” lmao.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
3,3,2013-01-14,Hahahahahah Sherman is tooooooo nice. He lock u up and then tell I bout it. Lmao.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,1
4,4,2013-01-14,Beware of #SeahawkNation. It's our time.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
5,5,2013-01-14,U can't be serious.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
6,6,2013-01-14,Come out hawks. It's NOT over,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
7,7,2013-01-14,idc what rg3 did. This game just got him rookie of the year. Russell Wilson.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
8,8,2013-01-14,It's early. Another half “@ST_OU22: What's up with those Seahawks @TWroten_LOE ? It's getting ugly bro”,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,-1
9,9,2013-01-14,“@RStewart206: @TWroten_LOE what's good family” wat it do,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,1
10,10,2013-01-14,So I get off the plane and see we still in this. Come on.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
11,11,2013-01-14,Tell her about herself. Lol. “@_haileemarie: Love of my life @TWroten_LOE! Idk what'd I do without your goofy self.”,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,1
12,12,2013-01-14,"Lol he didn't want no parts of big boy. “@sheismoore: Lol did you see him get punched on world star last week? ""@TWroten_LOE:",3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
13,13,2013-01-14,U gotta give it to Marshawn the ball on that play. Smh. That was huge.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
14,14,2013-01-14,Smh.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
15,15,2013-01-14,I'm on the plane so I didn't get to see the game but when I get off I get this text message from @naturallyh http://t.co/kOIe7ZHa,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
16,16,2013-01-14,We don't wanna win. Smh.,3,8,36,7.0,19,MEM,,LAC,L (-26),0,14,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2,0
17,17,2013-01-16,SHOUTOUT to the big bro @JCrossover. #AllStar,4,9,37,8.0,19,MEM,@,SAS,L (-21),0,7,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-2,0
18,18,2013-01-16,Just landed in San Antonio.,4,9,37,8.0,19,MEM,@,SAS,L (-21),0,7,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-2,0
19,19,2013-01-16,"Smh. @Wale said,"" and my pieces are all WRs. They all 80 something."" Lmao. Lil bro @Rellish_LOE",4,9,37,8.0,19,MEM,@,SAS,L (-21),0,7,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-2,0
20,20,2013-01-16,#ThankGODForBlessingMeToSeeAnotherDay,4,9,37,8.0,19,MEM,@,SAS,L (-21),0,7,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-2,0
21,21,2013-01-23,HAHAHAHAHHAAHHAHA @naturallyhailee is too funny for that,5,13,41,9.0,19,MEM,,LAL,W (+13),0,18,4,13,0.308,0,3,0.0,1,1,1.0,3,2,5,2,1,1,0,1,9,6.9,16,1
22,22,2013-01-25,Great team win against a good team tonight. Keep striving for greatness. #GnG.,6,14,42,10.0,19,MEM,,BRK,W (+24),0,23,5,9,0.556,0,0,,1,2,0.5,3,1,4,2,0,0,3,1,11,6.7,17,1
23,23,2013-01-25,#ThankGODForBlessingMeToSeeAnotherDay,6,14,42,10.0,19,MEM,,BRK,W (+24),0,23,5,9,0.556,0,0,,1,2,0.5,3,1,4,2,0,0,3,1,11,6.7,17,0
24,24,2013-01-25,Man it was electric in the fed ex forum. I can actually say we have some of the best fans in the league. You guys help us out alot.,6,14,42,10.0,19,MEM,,BRK,W (+24),0,23,5,9,0.556,0,0,,1,2,0.5,3,1,4,2,0,0,3,1,11,6.7,17,1
25,25,2013-01-27,Yessirrrr. “@DP5_: Late night shooting workout. TMC”,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,1
26,26,2013-01-27,#ThankGODForBlessingMeToSeeAnotherDay,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,0
27,27,2013-01-27,Another great team win tonight. Getting better and better each day #TogetherWeStand. #GnG.,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,1
28,28,2013-01-27,On the way to practice. Time to get better and a unit. #TogetherWeStand.,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,0
29,29,2013-01-27,Lmao @Shiny_3 is trash “@RMoore206: @TWroten_LOE waiting for my FIFA matchup bro. I'm tired of u whooping shiny lol”,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,0
30,30,2013-01-27,Got u bro. “@Isaiah_Thomas2: @TWroten_LOE seize the opportunity BELIEVE and take control of it... I see you Brodie keep hoopin!!”,7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,0
31,31,2013-01-27,"The Harder You Work During Peace, The Less You Bleed During War. #NobodyCanDenyTheWorkYouPutIn",7,15,43,11.0,19,MEM,,NOH,L (-8),0,26,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3,1
