,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2014-10-28,"I would like to thank the @HoustonRockets organizationfor giving me this opportunity, supporters for love and God is able #RedNation #Hous10",0,0,1,1.0,22,HOU,@,LAL,W (+18),0,24,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,4,2,0.0,4,1
1,1,2014-11-08,Get at me on Xbox One: Hous10Black http://t.co/A5TPJctnt0,4,6,7,5.0,22,HOU,,GSW,L (-11),1,15,1,3,0.333,0,0,,0,2,0.0,3,2,5,0,0,0,0,1,2,1.8,-3,0
2,2,2014-11-22,I'm on Call of Duty...log on and come play the game with me Hous10Black,10,12,13,11.0,23,HOU,,DAL,W (+3),1,14,1,3,0.333,0,0,,1,2,0.5,2,5,7,0,0,0,2,3,3,0.6,2,0
3,3,2015-01-07,Just started an IG: TarikBBlack,25,32,33,26.0,23,LAL,@,LAC,L (-25),0,12,2,4,0.5,0,0,,1,3,0.333,0,3,3,0,0,0,0,0,5,3.1,11,0
4,4,2015-01-15,My mommy is an awesome lady....and she's funny! Lmbo 😂😂😂😍😍 http://t.co/oJb09siyjH,29,36,37,30.0,23,LAL,,CLE,L (-7),0,16,3,4,0.75,0,0,,2,3,0.667,1,3,4,1,0,0,1,4,8,5.7,1,1
5,5,2015-01-15,Anyone who sees this check my guy @WiseWordsJay 's new song out. Christian music at its finest https://t.co/4mXjzx6BXB,29,36,37,30.0,23,LAL,,CLE,L (-7),0,16,3,4,0.75,0,0,,2,3,0.667,1,3,4,1,0,0,1,4,8,5.7,1,0
6,6,2015-01-19,I can't see the game...what's going on?,31,38,39,32.0,23,LAL,@,PHO,L (-15),0,21,2,3,0.667,0,0,,2,4,0.5,1,2,3,0,1,1,1,4,6,4.3,-4,0
7,7,2015-01-19,My boys bout to get this win!!!! Let's go Green Bay http://t.co/tJSKur0YZ0,31,38,39,32.0,23,LAL,@,PHO,L (-15),0,21,2,3,0.667,0,0,,2,4,0.5,1,2,3,0,1,1,1,4,6,4.3,-4,0
8,8,2015-01-25,Everybody say hey to the newest member of the Black family...Keziah Black!!! #RookieHazing #ThanksCoach http://t.co/zryyiO2GcI,32,41,42,33.0,23,LAL,,HOU,L (-12),0,7,1,1,1.0,0,0,,1,2,0.5,1,4,5,0,0,0,3,0,3,1.2,5,0
9,9,2015-02-04,Some words of inspiration that were given to me that I feel encouraged to pass along...I'm the… http://t.co/lGy3wzdLWX,34,45,46,35.0,23,LAL,@,MIL,L (-8),1,16,2,2,1.0,0,0,,1,4,0.25,0,4,4,1,0,0,2,3,5,1.9,-7,1
