,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-30,S/o to @utopiafalls2 good look,2,2.0,3,3,23,ATL,,NJN,W (+7),1,33,9,12,0.75,0,0,,4,5,0.8,1,0,1,6,2,0,2,3,22,20.5,-1,1
1,1,2011-12-31,"“@Kondo21_HRJB: “@Teague0 When Jesus died upon the cross, He was thinking of you. RT If you are one of the 3%»»”””",3,3.0,4,4,23,ATL,@,HOU,L (-11),1,30,3,7,0.429,0,0,,0,0,,0,3,3,5,0,0,2,1,6,4.3,-3,-1
2,2,2011-12-31,I just notice most of the ducks tweet super late night why is that,3,3.0,4,4,23,ATL,@,HOU,L (-11),1,30,3,7,0.429,0,0,,0,0,,0,3,3,5,0,0,2,1,6,4.3,-3,-1
3,3,2011-12-31,It's some bad face shawtys  n nap woo,3,3.0,4,4,23,ATL,@,HOU,L (-11),1,30,3,7,0.429,0,0,,0,0,,0,3,3,5,0,0,2,1,6,4.3,-3,-1
4,4,2012-01-16,Big win iupui s/o to @utopiafalls2,13,13.0,14,14,23,ATL,,TOR,W (+9),1,41,5,13,0.385,1,1,1.0,2,4,0.5,0,2,2,6,4,1,5,2,13,8.8,4,0
5,5,2012-01-18,What's up twitter world what's your guys plans on this Tuesday evening,14,14.0,15,15,23,ATL,,POR,W (+3),1,37,3,5,0.6,0,1,0.0,7,8,0.875,0,1,1,5,0,1,4,2,13,10.0,-2,0
6,6,2012-01-18,Can't remember the last time I watch 106 & park,14,14.0,15,15,23,ATL,,POR,W (+3),1,37,3,5,0.6,0,1,0.0,7,8,0.875,0,1,1,5,0,1,4,2,13,10.0,-2,0
7,7,2012-01-20,What's good twitter it was fun playing against @JCrossover tonight the big homie,15,15.0,16,16,23,ATL,@,PHI,L (-14),1,32,5,10,0.5,1,3,0.333,1,2,0.5,0,0,0,6,5,0,2,1,12,13.4,-14,1
8,8,2012-01-23,So I guess its bedtime,17,17.0,18,18,23,ATL,@,MIL,W (+5),1,41,7,15,0.467,0,1,0.0,1,1,1.0,2,4,6,5,0,0,6,2,15,6.6,9,0
9,9,2012-02-04,What up world,23,23.0,24,24,23,ATL,,PHI,L (-11),1,38,6,12,0.5,2,3,0.667,7,8,0.875,0,2,2,6,0,0,3,1,21,16.0,-6,0
10,10,2012-02-04,Sometimes u gotta let her win @utopiafalls2 lol,23,23.0,24,24,23,ATL,,PHI,L (-11),1,38,6,12,0.5,2,3,0.667,7,8,0.875,0,2,2,6,0,0,3,1,21,16.0,-6,-1
11,11,2012-02-04,Go see that new movie chronicle today with my big brother  @MrTeeg,23,23.0,24,24,23,ATL,,PHI,L (-11),1,38,6,12,0.5,2,3,0.667,7,8,0.875,0,2,2,6,0,0,3,1,21,16.0,-6,0
12,12,2012-02-18,I think I will be playing in some pink hyper dunks for my grandmother who died from breast cancer,30,30.0,31,31,23,ATL,@,POR,L (-20),1,30,1,10,0.1,0,3,0.0,3,3,1.0,0,0,0,4,0,1,0,1,5,1.5,-15,0
13,13,2012-02-20,Couldn't throw it in the ocean tonight,31,31.0,32,32,23,ATL,@,CHI,L (-11),1,22,2,3,0.667,2,2,1.0,0,0,,0,0,0,1,2,0,2,1,6,5.0,-14,0
14,14,2012-02-29,“@Loustayflexin: Its so many girls who lie to themself its a shame. Keep it real wit yourself an your friends u won't look bad” lol,34,34.0,35,35,23,ATL,,GSW,L (-3),1,37,6,14,0.429,2,4,0.5,1,1,1.0,1,3,4,4,2,1,1,2,15,12.9,7,-1
15,15,2012-03-02,“@WAZZAM_HUDOGG: You cant trust everybody #Fact”,35,35.0,36,36,23,ATL,,MIL,W (+5),1,32,4,11,0.364,0,1,0.0,3,4,0.75,0,3,3,2,1,0,3,2,11,4.0,-7,1
16,16,2012-03-02,What kicks are coming out this weekend,35,35.0,36,36,23,ATL,,MIL,W (+5),1,32,4,11,0.364,0,1,0.0,3,4,0.75,0,3,3,2,1,0,3,2,11,4.0,-7,0
17,17,2012-03-02,I'm addicted kicks I gotta have em all,35,35.0,36,36,23,ATL,,MIL,W (+5),1,32,4,11,0.364,0,1,0.0,3,4,0.75,0,3,3,2,1,0,3,2,11,4.0,-7,0
18,18,2012-03-18,Way to kill them baby bro yea,44,44.0,45,45,23,ATL,@,CLE,W (+16),1,36,8,14,0.571,2,5,0.4,0,0,,0,3,3,2,1,2,1,3,18,13.9,10,-1
19,19,2012-03-18,Good game uk proud of baby bro and congrats to pike my old stomping grounds going to state,44,44.0,45,45,23,ATL,@,CLE,W (+16),1,36,8,14,0.571,2,5,0.4,0,0,,0,3,3,2,1,2,1,3,18,13.9,10,1
20,20,2012-04-04,Man so happy for my little brother and the rest of the wildcats love you baby bro,54,54.0,55,55,23,ATL,,CHA,W (+27),1,30,5,10,0.5,0,1,0.0,7,7,1.0,1,2,3,6,1,1,2,1,17,16.8,11,1
21,21,2012-04-15,Well time to head to practice y'all have a nice day twitter,59,59.0,60,60,23,ATL,,TOR,L (-16),1,25,1,4,0.25,0,1,0.0,0,0,,0,1,1,2,1,0,1,1,2,0.9,-10,1
22,22,2012-04-15,What up twitter haven't been on here in awhile,59,59.0,60,60,23,ATL,,TOR,L (-16),1,25,1,4,0.25,0,1,0.0,0,0,,0,1,1,2,1,0,1,1,2,0.9,-10,-1
23,23,2012-04-16,Gotta have it,60,60.0,61,61,23,ATL,@,TOR,W (+22),1,36,6,11,0.545,1,3,0.333,6,8,0.75,0,6,6,10,2,2,1,3,19,22.9,26,0
24,24,2012-04-18,Say word,61,61.0,62,62,23,ATL,,DET,W (+32),1,20,3,6,0.5,0,2,0.0,0,0,,0,3,3,5,1,0,0,1,6,8.0,17,0
25,25,2012-05-01,I know where I'm at and where I'm gonna be,67,67.0,2,2,23,ATL,,BOS,L (-7),1,42,6,18,0.333,2,5,0.4,4,4,1.0,0,5,5,2,2,1,2,4,18,9.8,-1,0
26,26,2012-05-06,Lol #ButYouCoppedThemJsTho,69,69.0,4,4,23,ATL,@,BOS,L (-22),1,27,3,9,0.333,0,3,0.0,1,1,1.0,0,1,1,3,0,0,2,4,7,0.7,-16,0
27,27,2012-11-04,Thanking god,73,73.0,2,2,24,ATL,@,OKC,W (+9),1,26,7,12,0.583,0,0,,2,2,1.0,2,1,3,5,3,0,3,0,16,15.6,-3,0
28,28,2012-11-07,What's up everybody on this Tuesday,74,74.0,3,3,24,ATL,,IND,W (+3),1,32,7,15,0.467,1,3,0.333,0,0,,1,5,6,6,3,0,2,1,15,14.3,9,-1
29,29,2012-11-09,That was a good nap,75,75.0,4,4,24,ATL,,MIA,L (-6),1,27,7,8,0.875,2,2,1.0,4,4,1.0,0,3,3,11,0,1,2,2,20,23.7,3,1
30,30,2012-11-09,Have a blessed day,75,75.0,4,4,24,ATL,,MIA,L (-6),1,27,7,8,0.875,2,2,1.0,4,4,1.0,0,3,3,11,0,1,2,2,20,23.7,3,1
31,31,2012-11-11,La,76,76.0,5,5,24,ATL,@,LAC,L (-13),1,27,3,8,0.375,2,4,0.5,0,0,,1,0,1,6,0,0,4,1,8,4.1,-7,0
32,32,2012-11-14,Lets go Harvard,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,0
33,33,2012-11-14,I'm not a fan of duke btw,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,-1
34,34,2012-11-14,I think duke wins tonight,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,0
35,35,2012-11-14,Y'all see my youngin on Detroit number 11 lil pj he hooping,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,0
36,36,2012-11-14,I just got her album @ellevarner it's kind of coo had to get a little r&amp;b on the iPod,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,1
37,37,2012-11-14,I'm put west and its 646 a.m. And I'm up watching college bball,78,78.0,7,7,24,ATL,@,GSW,L (-4),1,27,4,12,0.333,1,2,0.5,0,0,,0,4,4,4,0,0,2,1,9,3.8,2,-1
38,38,2012-11-21,C,81,81.0,10,10,24,ATL,,WAS,W (+1),1,46,6,18,0.333,0,2,0.0,2,2,1.0,0,1,1,7,2,0,0,3,14,9.8,13,0
39,39,2012-11-21,"Getting out into the community today to serve Thanksgiving meals. Giving back, that's what it's all about! #seasonofgiving with @Nbacares",81,81.0,10,10,24,ATL,,WAS,W (+1),1,46,6,18,0.333,0,2,0.0,2,2,1.0,0,1,1,7,2,0,0,3,14,9.8,13,1
40,40,2012-11-23,Great finish tonight have a Happy Thanksgiving,82,82.0,11,11,24,ATL,@,CHA,W (+10),1,29,5,13,0.385,3,4,0.75,0,0,,0,3,3,12,1,0,3,4,13,11.6,17,1
