,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-10-17,"Tune into the @Express #GameChangers livestream on Twitch at 1pm PST for all the action, including a challenge from me https://t.co/MywUxmtWZd https://t.co/nUXA41nAFq",0,0,1,1.0,20,ORL,,MIA,W (+3),0,25,6,8,0.75,1,2,0.5,0,2,0.0,4,3,7,0,0,2,0,1,13,13.7,13,0
1,1,2018-10-19,Great team win tonight! #BelieveInMagic 💫,1,1,2,2.0,20,ORL,,CHO,L (-32),0,19,0,4,0.0,0,2,0.0,0,0,,0,5,5,2,0,1,1,0,0,-0.2,-20,1
2,2,2018-10-19,"Papi has a 7'10"" wingspan @TheRealMoBamba @sheckwes https://t.co/quIgNa59tY",1,1,2,2.0,20,ORL,,CHO,L (-32),0,19,0,4,0.0,0,2,0.0,0,0,,0,5,5,2,0,1,1,0,0,-0.2,-20,0
3,3,2018-10-19,Glad to officially be a part of the Under Armour family!! #Unleashchaos @UAbasketball @UnderArmour https://t.co/5Hk4Agmupw,1,1,2,2.0,20,ORL,,CHO,L (-32),0,19,0,4,0.0,0,2,0.0,0,0,,0,5,5,2,0,1,1,0,0,-0.2,-20,0
4,4,2018-11-30,Felt 💯 in this @express look last night. Changed things up a little bit with a tux + jeans combo. @nba #GameChangers https://t.co/4o1d1tdUBz,22,22,23,23.0,20,ORL,@,PHO,W (+14),0,16,1,5,0.2,0,1,0.0,0,0,,3,2,5,1,1,2,1,2,2,2.9,-1,1
5,5,2019-01-23,Tropical vibes 😎🌴 @express  @NBA  #GameChanger https://t.co/UYc7Oc8hTX,42,47,48,43.0,20,ORL,@,BRK,L (-4),0,15,2,4,0.5,1,2,0.5,2,2,1.0,2,4,6,0,0,2,1,2,7,7.2,-13,-1
6,6,2019-01-25,How @VirginGalactic are collaborating with @UnderArmour to create flight suits for our Future Astronauts (including yours truly) https://t.co/AZlRo9MC0U https://t.co/9cEYtrF0mU,43,48,49,44.0,20,ORL,,WAS,L (-4),0,17,3,5,0.6,0,0,,0,0,,2,7,9,2,0,3,1,0,6,9.7,5,0
7,7,2020-01-15,"2020 Goal: be a star in my role 💫 Our team got a lotta injuries this year - somethin I had to push thru in my rookie season - but I‘ll find any way possible to help our team gain an inch as we work our way back to the playoffs 😤✨🎟  #TheOnlyWayIsThrough

@UnderArmour https://t.co/vPoCFEvMfc",83,92,41,37.0,21,ORL,@,LAL,W (+1),0,16,2,6,0.333,0,1,0.0,1,2,0.5,5,6,11,1,1,1,1,0,5,7.9,0,1
8,8,2020-02-08,"A great read 🤘🏿 @VinceYoung10 
https://t.co/9J9vbfsLza",95,104,53,49.0,21,ORL,,MIL,L (-16),0,13,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,2,0,2,2,1.9,-2,0
9,9,2020-02-08,"Snuck up on the kids at @LSE_OCPS &amp; they put me in their 🎤📽️""I Can Be Anything""
https://t.co/10bop1D2rm

Stay motivated because you really can be anything
#ICanBeAnything #OCPS #LakeSilverElementary #MagicAboveAll #EdChat",95,104,53,49.0,21,ORL,,MIL,L (-16),0,13,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,2,0,2,2,1.9,-2,0
10,10,2020-02-28,"We're out here on the road protecting each other 💪

Orlando, see y'all Friday night
#MagicAboveAll https://t.co/Kq4ySGvl0q",100,110,59,54.0,21,ORL,,MIN,W (+11),0,14,3,5,0.6,0,0,,1,1,1.0,3,5,8,0,0,1,2,6,7,4.6,3,0
11,11,2021-02-19,"Texas will always have a piece of my ❤️ and it hurts seeing y’all in so much pain. 

Please join me in donating to @AAULTX so that people who need food, water &amp; shelter can get it now. #LoveThyNeighborTX #TexasFreeze 

Click to donate: https://t.co/o9tLFrr8WB https://t.co/cggk6nr1Im",122,148,30,14.0,22,ORL,,GSW,W (+4),0,9,1,2,0.5,0,1,0.0,1,1,1.0,2,1,3,0,0,1,1,4,3,1.8,-21,-1
