,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Going to pick up the 50 box of chicken before the plane ya kno a rookie duty all good tho,0,0,1,1.0,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2,0
1,1,2009-10-28,"Just got off the plane first thing locate a massage me an three other team mates gets it every time pause, then maybe mall or just chill",0,0,1,1.0,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2,0
2,2,2009-10-28,"Goodmorning to all, its raining so that's great flying to minnesota today on the way to my work place to get my work in yessir",0,0,1,1.0,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2,1
3,3,2009-10-28,I think trucks shouldn't be able to drive in the am an some buses cause that's what cause traffic to be honest,0,0,1,1.0,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2,0
4,4,2009-10-28,You could be so intuitive today that you confuse your fantasie... More for Cancer http://bit.ly/2MbrXo,0,0,1,1.0,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2,1
5,5,2009-10-30,RookieChronicles/ Terrence Williams Blog: On the Rebound From Poverty http://bit.ly/3GHwDQ,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,0
6,6,2009-10-30,Sushi an listening to wayne while I sign these autographs,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,0
7,7,2009-10-30,"Wayne said ""I'm in the way u can't pass like aaron brooks"" wow seattle guys hahahhah",1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,-1
8,8,2009-10-30,"Wanna say respect to all those that read my story an can relate an understand where I came from, an now u no what section 8 means Respect",1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,1
9,9,2009-10-30,Just bought that Psp go an its to real,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,0
10,10,2009-10-30,Damn get back at 330 am right to McDonald's an to the crib,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,1
11,11,2009-10-30,"On the way to my work place listening to wayne ""no quitter"" that's what I am Happy B day to my lil one Angelo daddy loves you....",1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,-1
12,12,2009-10-30,In the 88 dunk contest I would of loved to be in that jordan an nique with them dunks that's right up my alley,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,1
13,13,2009-10-30,Why the hell people book massages weeks in advance that make it hard for me to just call an get a massage ugh,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,-1
14,14,2009-10-30,"You may be uncharacteristically itching for a fight today, not... More for Cancer http://bit.ly/2MbrXo",1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,0
15,15,2009-10-30,Nytimes.com on the rebound from poverty check my story out,1,1,2,2.0,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7,0
16,16,2009-10-31,"Treat a person how he or she should be, and they'll become what he or she could be
Goldman Sachs",2,2,3,3.0,22,NJN,@,WAS,L (-19),0,28,3,12,0.25,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,1,9,3.7,-13,0
17,17,2009-10-31,RT @incogneetus69: @TheRealTWill  -  Does anyone else play PG and PF? Tell coach you need a raiseRespect,2,2,3,3.0,22,NJN,@,WAS,L (-19),0,28,3,12,0.25,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,1,9,3.7,-13,0
18,18,2009-10-31,"On the way to shoot around, this is why I love this job its a game every other night, hey you gotta love it",2,2,3,3.0,22,NJN,@,WAS,L (-19),0,28,3,12,0.25,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,1,9,3.7,-13,0
19,19,2009-10-31,RT @th8d8uece: ever1 watch out for my lil bro @shinymac doing his thang @ university of Idaho he's a beast,2,2,3,3.0,22,NJN,@,WAS,L (-19),0,28,3,12,0.25,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,1,9,3.7,-13,0
