,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-10-19,"Another Day, Another Opportunity💯",1,1,2,2.0,20,ATL,@,MEM,L (-14),1,33,7,18,0.389,4,9,0.444,2,3,0.667,1,1,2,9,1,1,3,2,20,15.0,-11,1
1,1,2018-10-21,“The more things change.....The more they stay the same!” ❤️❤️ my two boys. https://t.co/YkWo9FosD3,2,2,3,3.0,20,ATL,@,CLE,W (+22),1,38,13,23,0.565,6,14,0.429,3,3,1.0,0,2,2,11,1,0,1,2,35,31.6,19,0
2,2,2018-10-24,"Coming in 2019, @McDAAG is back in Atlanta 💯 And check out these 🔥 @McDAAG shoes. Want ‘em? Check out my Instagram. #WhereTheFutureStarts #ad No purch nec. See rules: https://t.co/upp0X2KgBu https://t.co/uTpRl4rgzb",3,3,4,4.0,20,ATL,,DAL,W (+7),1,26,3,12,0.25,1,3,0.333,10,13,0.769,1,3,4,5,0,1,5,4,17,7.8,-6,0
3,3,2018-10-29,"Another Day, Another Opportunity💯",5,5,6,6.0,20,ATL,@,PHI,L (-21),1,29,5,13,0.385,1,6,0.167,0,0,,0,2,2,8,0,0,0,1,11,9.7,-14,1
4,4,2018-11-03,"Another Day, Another Opportunity💯",8,8,9,9.0,20,ATL,,MIA,W (+5),1,31,9,19,0.474,2,8,0.25,4,5,0.8,2,4,6,15,0,1,5,0,24,22.7,5,1
5,5,2018-11-03,The word's out! I've joined the @TISSOT family. I'll be doing a meet and greet in Atlanta on Sunday 3:30pm-4:30pm to celebrate – head over to @TISSOT for details. Meet me there! #ThisIsYourTime https://t.co/nfQIxGBRt4,8,8,9,9.0,20,ATL,,MIA,W (+5),1,31,9,19,0.474,2,8,0.25,4,5,0.8,2,4,6,15,0,1,5,0,24,22.7,5,0
6,6,2018-11-03,Everything Takes Longer Than You Think💯,8,8,9,9.0,20,ATL,,MIA,W (+5),1,31,9,19,0.474,2,8,0.25,4,5,0.8,2,4,6,15,0,1,5,0,24,22.7,5,1
7,7,2018-11-07,"Another Day, Another Opportunity💯",10,10,11,11.0,20,ATL,,NYK,L (-5),1,31,6,19,0.316,1,7,0.143,2,2,1.0,1,4,5,8,0,0,2,2,15,8.8,3,1
8,8,2018-11-09,Always Believe Something Great Is About To Happen🙏🏽💯 https://t.co/rHCieh3dRl,11,11,12,12.0,20,ATL,,DET,L (-15),1,23,4,9,0.444,0,3,0.0,8,8,1.0,1,3,4,5,0,0,6,1,16,10.0,-18,0
9,9,2018-11-11,"Another Day, Another Opportunity💯",12,12,13,13.0,20,ATL,@,LAL,L (-1),1,35,8,18,0.444,4,8,0.5,0,0,,1,1,2,12,1,1,4,2,20,16.9,15,1
10,10,2018-11-13,❄️ X 👑 https://t.co/EaW3PQ9ln3,13,13,14,14.0,20,ATL,@,GSW,L (-7),1,28,2,12,0.167,0,5,0.0,0,0,,0,5,5,9,3,0,3,2,4,3.4,-11,0
