,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-26,Merry Xmas to everybody,0,0,1,1.0,22,SAC,,LAL,W (+9),1,35,6,13,0.462,1,3,0.333,7,12,0.583,0,2,2,3,0,1,0,1,20,14.3,4,0
1,1,2011-12-26,“@newMONEY_smeeg: I'm tellin you I witness it myself @TyrekeEvans is gonna kill em this year... Watch” u no it,0,0,1,1.0,22,SAC,,LAL,W (+9),1,35,6,13,0.462,1,3,0.333,7,12,0.583,0,2,2,3,0,1,0,1,20,14.3,4,0
2,2,2011-12-27,"On my way to Shootaround, gotta get ready for The Lakers tonite! Excited to be playing basketball again. NBA is back",1,1,2,2.0,22,SAC,@,POR,L (-22),1,29,2,8,0.25,0,2,0.0,0,0,,0,2,2,3,0,1,5,3,4,-3.6,-20,0
3,3,2012-01-01,Bout to head to Shoot Around. Goin hard tonite. #Kings,4,4,5,5.0,22,SAC,,NOH,W (+16),1,37,9,18,0.5,2,3,0.667,7,8,0.875,0,4,4,3,1,1,4,2,27,17.8,8,-1
4,4,2012-01-04,"Here's my next trivia question: who was my College Coach? 

Don't forget to include all 3 answers in your tweet",6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,0
5,5,2012-01-04,Feel good to be back in Memphis,6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,1
6,6,2012-01-04,“@junebuggg: @TyrekeEvans when that east coast tour coming thru” I will let u no,6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,1
7,7,2012-01-04,“@Bluprintceo: 45 mins. Til the Reke Havoc trivia contest. Hope you know us like you think you do! Haha! #PrintDat” this should be fun lol,6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,1
8,8,2012-01-04,Ok. First question what is my Hometown City & State?,6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,0
9,9,2012-01-04,"Answer this question, then answer the questions of @LaMontPeterson @Bluprintceo. The winner gets tix to my game vs. the Bucks",6,6,7,7.0,22,SAC,@,DEN,L (-27),1,23,3,10,0.3,0,0,,2,2,1.0,1,4,5,3,1,1,2,1,8,5.5,-14,0
