,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-11-21,Bout to start on this twilight series starting with the first one tonight so when I watch the latest one I know what's going on.,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,-1
1,1,2012-11-21,Is twilight filmed in Portland??,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
2,2,2012-11-21,Do me a favor &amp; do me no favors. Ill handle mines. Thank you,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
3,3,2012-11-21,I knew I saw the 1st one before. I remember some of it as it go along,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
4,4,2012-11-21,Bout to start on this twilight series starting with the first one tonight so when I watch the latest one I know what's going on.,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,-1
5,5,2012-11-21,Is twilight filmed in Portland??,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
6,6,2012-11-21,Do me a favor &amp; do me no favors. Ill handle mines. Thank you,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
7,7,2012-11-21,I knew I saw the 1st one before. I remember some of it as it go along,7,10,11,8.0,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4,0
8,8,2012-11-23,Bella think Collin die &amp; jump on another man. When u really in love it take u a long time 2 get over ur ex. Smh I can't bang with her smh,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,-1
9,9,2012-11-23,Happy thanksgiving to all. Hope y'all have a great one. We all have so much to be thankful for. Just sit back and think about it! Blessed!,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,1
10,10,2012-11-23,What station does the Memphis tigers come on 2day?,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,0
11,11,2012-11-23,I miss all my ppl in the M that I bang with. Miss playing &amp; showing out for the tigers. So much luv in the M best fans in the world,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,-1
12,12,2012-11-23,Found the channel. Let go tigers!!,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,1
13,13,2012-11-23,Can't wait to watch my bro play 2night. Gonna feel weird 2 be watching him instead of being on court with him. I'm his #1 fan #BARTONBROS,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,-1
14,14,2012-11-23,Bella think Collin die &amp; jump on another man. When u really in love it take u a long time 2 get over ur ex. Smh I can't bang with her smh,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,-1
15,15,2012-11-23,Happy thanksgiving to all. Hope y'all have a great one. We all have so much to be thankful for. Just sit back and think about it! Blessed!,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,1
16,16,2012-11-23,What station does the Memphis tigers come on 2day?,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,0
17,17,2012-11-23,I miss all my ppl in the M that I bang with. Miss playing &amp; showing out for the tigers. So much luv in the M best fans in the world,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,-1
18,18,2012-11-23,Found the channel. Let go tigers!!,8,11,12,9.0,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5,1
