,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2014-10-29,"""@BookOProverbs: If you are always talking about your problems, don't be surprised if you live in perpetual defeat.""",0,0,1,1.0,32,MEM,,MIN,W (+4),1,33,4,8,0.5,0,0,,0,0,,0,3,3,5,3,0,3,4,8,6.8,10,0
1,1,2014-10-31,http://t.co/BHQuvOVlqb #tbt &amp; missing that feeling again,1,1,2,2.0,32,MEM,@,IND,W (+8),1,32,1,4,0.25,0,2,0.0,3,4,0.75,0,4,4,3,5,0,0,3,5,9.3,18,-1
2,2,2014-10-31,2 pac,1,1,2,2.0,32,MEM,@,IND,W (+8),1,32,1,4,0.25,0,2,0.0,3,4,0.75,0,4,4,3,5,0,0,3,5,9.3,18,0
3,3,2014-10-31,R.I.P MY HOMIE BO LEGS #UNIT,1,1,2,2.0,32,MEM,@,IND,W (+8),1,32,1,4,0.25,0,2,0.0,3,4,0.75,0,4,4,3,5,0,0,3,5,9.3,18,-1
4,4,2014-10-31,I know yall back in style!!! Woooow,1,1,2,2.0,32,MEM,@,IND,W (+8),1,32,1,4,0.25,0,2,0.0,3,4,0.75,0,4,4,3,5,0,0,3,5,9.3,18,0
5,5,2014-11-01,MAD luv,2,2,3,3.0,32,MEM,@,CHO,W (+2),1,34,3,7,0.429,0,0,,0,1,0.0,1,3,4,0,4,0,1,4,6,4.9,4,0
6,6,2014-11-03,Taking advantage of my league pass today.  Scouting the Clips n Sac,3,3,4,4.0,32,MEM,,NOP,W (+12),1,30,4,8,0.5,0,1,0.0,4,8,0.5,3,8,11,2,0,0,2,5,12,8.3,8,1
7,7,2014-11-03,Yeeah,3,3,4,4.0,32,MEM,,NOP,W (+12),1,30,4,8,0.5,0,1,0.0,4,8,0.5,3,8,11,2,0,0,2,5,12,8.3,8,0
8,8,2014-11-03,"""@EssentialFact: Distance yourself from the Negativity""",3,3,4,4.0,32,MEM,,NOP,W (+12),1,30,4,8,0.5,0,1,0.0,4,8,0.5,3,8,11,2,0,0,2,5,12,8.3,8,0
9,9,2014-11-05,"What don't kill me, can only make me Stronger! I still give God the Glory no matter what!!!",4,4,5,5.0,32,MEM,@,PHO,W (+11),1,23,4,6,0.667,0,0,,1,1,1.0,1,2,3,1,0,0,1,4,9,5.8,15,-1
10,10,2014-11-05,"Sometimes the hardest things in life are what make you the strongest.""",4,4,5,5.0,32,MEM,@,PHO,W (+11),1,23,4,6,0.667,0,0,,1,1,1.0,1,2,3,1,0,0,1,4,9,5.8,15,0
11,11,2014-11-05,GREAT TEAM WIN !!!,4,4,5,5.0,32,MEM,@,PHO,W (+11),1,23,4,6,0.667,0,0,,1,1,1.0,1,2,3,1,0,0,1,4,9,5.8,15,1
12,12,2014-11-07,"When it comes to making a big change in your life you have to want it more than you fear it.""",5,5,6,6.0,32,MEM,@,OKC,W (+2),1,25,4,7,0.571,1,2,0.5,0,0,,0,4,4,3,4,1,1,1,9,12.3,0,-1
13,13,2014-11-07,"""@funnyortruth: Great minds discuss ideas; average minds discuss events; small minds discuss people."" My Ole Man told me this !!!!",5,5,6,6.0,32,MEM,@,OKC,W (+2),1,25,4,7,0.571,1,2,0.5,0,0,,0,4,4,3,4,1,1,1,9,12.3,0,0
14,14,2014-11-07,"Up early, giving all praise to God!!!!",5,5,6,6.0,32,MEM,@,OKC,W (+2),1,25,4,7,0.571,1,2,0.5,0,0,,0,4,4,3,4,1,1,1,9,12.3,0,1
15,15,2014-11-07,Great team win!!!!,5,5,6,6.0,32,MEM,@,OKC,W (+2),1,25,4,7,0.571,1,2,0.5,0,0,,0,4,4,3,4,1,1,1,9,12.3,0,1
16,16,2014-11-08,"Lol, ain't nobody hating on you DAWG! In my Mike P voice",6,6,7,7.0,32,MEM,@,MIL,L (-1),1,24,3,9,0.333,0,0,,1,1,1.0,0,2,2,3,2,0,1,3,7,4.4,-6,-1
17,17,2014-11-08,#tbt celebrate  like a championship .... http://t.co/qjcAPDUkwQ,6,6,7,7.0,32,MEM,@,MIL,L (-1),1,24,3,9,0.333,0,0,,1,1,1.0,0,2,2,3,2,0,1,3,7,4.4,-6,0
18,18,2014-11-08,"The life you live is more important than the words you speak."" OR TWEET YOU DIG !!!",6,6,7,7.0,32,MEM,@,MIL,L (-1),1,24,3,9,0.333,0,0,,1,1,1.0,0,2,2,3,2,0,1,3,7,4.4,-6,1
