,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-10-23,.@WashWizards really trusting the rookie with that precious cargo 😱,0,0,1,1.0,22,WAS,@,DAL,L (-8),0,16,0,3,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1.8,-7.0,1
1,1,2019-10-25,Call of Duty all weekend 😩,1,1,2,2.0,22,WAS,@,OKC,W (+12),0,10,2,2,1.0,1,1,1.0,2,2,1.0,2,3,5,0,0,0,0,0,7,8.7,3.0,1
2,2,2019-10-25,"#tbt to last year's meeting with the Gators, a 2-0 win in Gainesville!

#BeatFlorida 🍊⚽ https://t.co/xpPvpZgXmp",1,1,2,2.0,22,WAS,@,OKC,W (+12),0,10,2,2,1.0,1,1,1.0,2,2,1.0,2,3,5,0,0,0,0,0,7,8.7,3.0,0
3,3,2019-10-25,Uncut gems was crazyyyyyyy!! Really good movie💯,1,1,2,2.0,22,WAS,@,OKC,W (+12),0,10,2,2,1.0,1,1,1.0,2,2,1.0,2,3,5,0,0,0,0,0,7,8.7,3.0,1
4,4,2019-12-14,"Blessed, Thank you lord 🙏🏾",10,23,24,11.0,22,WAS,@,MEM,L (-17),0,21,5,8,0.625,3,5,0.6,1,2,0.5,0,2,2,3,1,0,0,4,14,12.1,4.0,1
5,5,2019-12-16,"Blessed, Thank you Lord 🙏🏾",11,24,25,12.0,22,WAS,@,DET,W (+14),0,20,4,8,0.5,1,4,0.25,0,0,,1,1,2,1,0,0,0,5,9,4.7,7.0,1
6,6,2019-12-16,GBO! 🍊,11,24,25,12.0,22,WAS,@,DET,W (+14),0,20,4,8,0.5,1,4,0.25,0,0,,1,1,2,1,0,0,0,5,9,4.7,7.0,0
7,7,2019-12-18,"Blessed, Thank You lord 🙏🏾",12,25,26,13.0,22,WAS,,CHI,L (-1),0,18,2,8,0.25,1,6,0.167,0,0,,0,4,4,2,3,1,0,2,5,5.7,3.0,1
8,8,2019-12-20,"Blessed, Thsnk you Lord 🙏🏾",13,26,27,14.0,22,WAS,@,TOR,L (-4),0,22,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0,2,1,0,1,6,6,1.9,7.0,0
9,9,2019-12-26,"Blessed , Thank You Lord🙏🏾",16,29,30,17.0,22,WAS,@,DET,L (-30),1,19,0,6,0.0,0,2,0.0,0,0,,1,2,3,0,0,0,0,4,0,-4.5,-14.0,1
10,10,2020-01-03,Brad “Ball Bounce” Beal @RealDealBeal23 #NBAVote,20,33,34,21.0,22,WAS,,POR,L (-19),0,12,0,3,0.0,0,2,0.0,1,2,0.5,0,2,2,0,0,0,0,2,1,-1.7,0.0,1
