,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2014-11-12,Thank you! http://t.co/7jQMJEdmLo,8,8,9,9.0,29,POR,@,DEN,W (+17),1,30,4,11,0.364,1,1,1.0,3,3,1.0,0,7,7,3,0,6,0,1,12,13.9,22,1
1,1,2014-12-09,Good start to the road trip.,19,20,21,20.0,29,POR,@,DET,W (+12),1,37,8,21,0.381,1,1,1.0,6,6,1.0,3,8,11,1,1,2,3,2,23,15.3,19,1
2,2,2014-12-17,Save some green this holiday @Sprint!!! #CutYourBill in half! http://t.co/speNAmgf2k,24,25,26,25.0,29,POR,,MIL,W (+7),1,35,10,19,0.526,0,1,0.0,3,4,0.75,6,9,15,2,0,1,2,3,23,19.1,2,0
3,3,2014-12-17,Just want to thank @PaulGAllen and @trailblazers for the special moment tonight. Came along way and its a blessing. http://t.co/2rt4XZkdF6,24,25,26,25.0,29,POR,,MIL,W (+7),1,35,10,19,0.526,0,1,0.0,3,4,0.75,6,9,15,2,0,1,2,3,23,19.1,2,1
4,4,2015-01-05,Thanks for memories! http://t.co/x9LB0ngeXQ,30,34,35,31.0,29,POR,,LAL,W (+4),1,36,8,20,0.4,1,1,1.0,4,4,1.0,1,7,8,1,0,0,1,1,21,12.3,1,1
5,5,2015-01-19,Seahawks game http://t.co/pmK1bPaBWN,37,41,42,38.0,29,POR,,SAC,W (+4),1,14,4,7,0.571,2,2,1.0,0,0,,0,1,1,1,2,0,2,0,10,7.7,-6,0
6,6,2015-01-30,In studio http://t.co/O4TcuC09zN,40,46,47,41.0,29,POR,@,ATL,L (-6),1,38,15,24,0.625,2,3,0.667,5,5,1.0,1,10,11,2,2,1,1,4,37,31.4,3,0
7,7,2015-01-30,TBT http://t.co/6ViUb3zjIw,40,46,47,41.0,29,POR,@,ATL,L (-6),1,38,15,24,0.625,2,3,0.667,5,5,1.0,1,10,11,2,2,1,1,4,37,31.4,3,0
8,8,2015-01-30,Had a good time with the fellas on @NBAonTNT http://t.co/2XYudHPYfm,40,46,47,41.0,29,POR,@,ATL,L (-6),1,38,15,24,0.625,2,3,0.667,5,5,1.0,1,10,11,2,2,1,1,4,37,31.4,3,1
9,9,2015-01-30,“If it can’t be my Cowboys no one better to take this win than fellow @vitacoco athlete @moneylynch &amp; the Seahawks. Good luck! #SB49”,40,46,47,41.0,29,POR,@,ATL,L (-6),1,38,15,24,0.625,2,3,0.667,5,5,1.0,1,10,11,2,2,1,1,4,37,31.4,3,-1
10,10,2015-03-04,https://t.co/e0UMU2Ea5v        😂😂,51,58,59,52.0,29,POR,@,LAC,W (+5),1,44,12,30,0.4,0,2,0.0,5,7,0.714,1,8,9,0,0,1,1,3,29,13.6,9,0
11,11,2015-03-07,Praying for my brother @wessywes2 He has the heart of the champion and he won't let this stop him.,53,60,61,54.0,29,POR,@,MIN,L (-8),1,39,10,20,0.5,0,1,0.0,1,1,1.0,1,7,8,0,0,0,1,1,21,12.4,-13,-1
12,12,2015-03-21,Want to wish my big bro @JCrossover a Happy Birthday! You're getting old fam but you still move better then most youngsters.  Lol,60,67,68,61.0,29,POR,@,MEM,L (-11),1,18,7,12,0.583,0,1,0.0,2,2,1.0,0,5,5,0,0,1,2,1,16,10.2,-20,1
13,13,2015-03-27,Check out my bro @TRAEABN SxSW 2015 Recap http://t.co/owKGRqEp8f @EZACCESS,62,70,71,63.0,29,POR,@,PHO,W (+6),1,35,13,26,0.5,0,2,0.0,1,4,0.25,2,7,9,1,1,1,0,2,27,17.9,8,0
14,14,2015-04-25,"What up Rip City! Check out my team @VitaCoco this week to win some cool stuff signed by me!""",73,84,3,3.0,29,POR,,MEM,L (-6),1,45,6,18,0.333,0,1,0.0,9,10,0.9,1,6,7,5,0,2,1,3,21,15.6,-10,0
15,15,2015-11-16,Big thanks to all our @Silver_BlackCR volunteers and @HEB for helping us set up for today's event! https://t.co/1H9u2T7DPc,85,96,10,10.0,30,SAS,,POR,W (+13),1,34,2,8,0.25,0,0,,2,2,1.0,2,4,6,1,0,1,0,3,6,4.0,6,1
16,16,2015-11-27,Happy Thanksgiving.,89,102,16,14.0,30,SAS,@,DEN,W (+11),1,18,4,11,0.364,0,1,0.0,0,0,,1,3,4,1,0,1,1,0,8,3.9,-2,1
17,17,2015-11-27,Haha my bad big fella  https://t.co/VJh35ooxGE,89,102,16,14.0,30,SAS,@,DEN,W (+11),1,18,4,11,0.364,0,1,0.0,0,0,,1,3,4,1,0,1,1,0,8,3.9,-2,-1
18,18,2016-11-18,TBT https://t.co/FfKXfopeVG,171,190,13,12.0,31,SAS,@,LAL,W (+9),1,36,10,14,0.714,1,1,1.0,2,2,1.0,0,6,6,2,2,3,2,2,23,21.7,13,0
19,19,2016-11-25,Happy Thanksgiving! Have a blessed one.,173,193,16,14.0,31,SAS,@,BOS,W (+6),1,32,4,12,0.333,0,0,,2,4,0.5,3,1,4,4,0,2,0,2,10,8.2,7,1
20,20,2016-12-20,Couple gifts from @HEB and myself https://t.co/HOfKn3iW7c,184,205,28,25.0,31,SAS,@,HOU,W (+2),1,36,6,15,0.4,0,0,,5,6,0.833,5,5,10,5,0,1,0,2,17,16.9,-8,0
21,21,2016-12-22,Show me your skills! https://t.co/AbQsoicsFy,185,206,29,26.0,31,SAS,@,LAC,L (-5),1,23,5,13,0.385,0,1,0.0,0,0,,2,2,4,1,0,1,1,4,10,3.7,-9,-1
22,22,2016-12-23,https://t.co/V8uFJSY0iP,186,207,30,27.0,31,SAS,@,POR,W (+20),1,37,7,18,0.389,0,0,,4,4,1.0,6,8,14,6,3,0,0,0,18,22.0,22,0
23,23,2017-02-12,No. I would give it to them on the 25th because that's Christmas Day😏Ps: @aldridge_12 and I are gonna do #flannyfridays for you https://t.co/17K6aJ25Rl,208,231,54,49.0,31,SAS,@,NYK,L (-4),1,37,5,16,0.313,0,1,0.0,5,6,0.833,6,4,10,1,0,0,0,1,15,11.1,0,0
24,24,2017-02-24,https://t.co/NxKVPbkg0l,211,234,57,52.0,31,SAS,@,LAC,W (+8),1,34,5,15,0.333,1,1,1.0,4,4,1.0,2,9,11,1,1,1,2,5,15,9.0,-1,0
25,25,2017-03-15,"Thanks to @PowerRangersMovie for a family movie night. The kids loved it! 

Hashtag: #POWERRANGERSMOVIE, #TOGETHERWEAREMORE https://t.co/zAqkEOaokt",218,244,67,59.0,31,SAS,,POR,L (-4),1,32,9,24,0.375,0,1,0.0,1,1,1.0,4,3,7,4,0,0,0,1,19,11.9,-5,1
26,26,2017-03-25,Blessed!! https://t.co/4ZYZSKJkX9,223,249,72,64.0,31,SAS,,NYK,W (+8),1,36,9,21,0.429,1,2,0.5,0,0,,4,6,10,2,1,0,1,1,19,13.5,9,0
27,27,2017-11-07,Prayers to all the families affected by the senseless act in Sutherland Springs! It’s sad that you can’t even feel safe at church!,258,286,11,11.0,32,SAS,,LAC,W (+13),1,33,10,19,0.526,2,3,0.667,3,3,1.0,1,5,6,2,1,2,1,3,25,19.5,18,1
28,28,2018-02-01,"Devastated to hear the news about the passing of my former teammate, Rasual, &amp; his wife. My thoughts and prayers go out to their families during this difficult time. Rasual was an amazing teammate and an even better person. He will truly be missed!",298,329,54,51.0,32,SAS,,HOU,L (-11),1,34,8,15,0.533,0,0,,0,0,,2,6,8,3,0,0,2,1,16,11.6,-16,0
29,29,2018-02-01,Good team win!! https://t.co/lKhEA249zd,298,329,54,51.0,32,SAS,,HOU,L (-11),1,34,8,15,0.533,0,0,,0,0,,2,6,8,3,0,0,2,1,16,11.6,-16,1
30,30,2018-02-10,This is all-around bad/hilarious. https://t.co/LiezRLXlMy,301,332,57,54.0,32,SAS,@,GSW,L (-17),1,29,9,14,0.643,0,0,,2,2,1.0,3,2,5,4,0,2,0,1,20,20.3,-1,-1
31,31,2018-03-10,FBF to #NBAAllStar Weekend. Thanks @budweiserUSA for hosting me in LA. #BudweiserLIVE was fun https://t.co/tt2DfKKgGE,307,341,66,60.0,32,SAS,@,OKC,L (-10),1,26,5,16,0.313,0,1,0.0,1,2,0.5,3,4,7,1,1,0,3,5,11,1.4,-4,1
32,32,2019-01-20,Bonus to @aldridge_12 we all graduated from Texas,375,410,48,48.0,33,SAS,,LAC,L (-8),1,33,13,21,0.619,1,1,1.0,3,5,0.6,6,8,14,2,0,2,2,0,30,27.1,-3,0
33,33,2019-01-31,"The season is a grind, but thanks to @x2naturalenergy for the healthy, sustained energy  #beXtraordinary  #ad https://t.co/4T0iGDYIUX",380,415,53,53.0,33,SAS,,BRK,W (+3),1,38,5,13,0.385,0,0,,10,11,0.909,6,7,13,2,0,0,3,3,20,16.0,8,1
