,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-01-01,Airplane mode Miami! Happy new year everyone... Feliz ano nuevo... Bonne annee a tous! 2012,3,3,4,4.0,19,CHA,@,MIA,L (-39),0,20,2,5,0.4,0,0,,2,6,0.333,3,3,6,0,1,2,1,3,6,4.9,-20,1
1,1,2012-01-03,Just got to cleveland!,4,4,5,5.0,19,CHA,@,CLE,L (-14),0,21,3,6,0.5,0,0,,2,3,0.667,3,2,5,0,0,2,0,4,8,7.1,-14,0
2,2,2012-01-31,"Your margin of error is so small! Doing good or bad and is just part of life,be better person first and then a player come after! Good night",20,21,22,21.0,19,CHA,@,LAL,L (-33),0,14,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,1,1,1,-1.5,-20,-1
3,3,2012-02-19,"Just woke up in indiana, I just wanna say congratulation to my team and all the fighter we got on the team!",29,30,31,30.0,19,CHA,@,IND,L (-35),1,24,0,2,0.0,0,0,,0,4,0.0,2,6,8,2,2,2,2,2,0,2.2,-15,1
4,4,2012-02-29,"Always thanks God for a lot of thing he dos for us when we need him and when we don't need him, is always there for us! To God I say thanks",31,32,33,32.0,19,CHA,@,DET,L (-15),1,9,2,3,0.667,0,0,,0,0,,0,1,1,0,0,2,1,2,4,2.6,1,1
5,5,2012-02-29,We back on the second part of the season with all the team ready go!,31,32,33,32.0,19,CHA,@,DET,L (-15),1,9,2,3,0.667,0,0,,0,0,,0,1,1,0,0,2,1,2,4,2.6,1,0
6,6,2012-03-06,Feels good to get back! #thanks God,32,35,36,33.0,19,CHA,,ORL,W (+16),1,32,2,4,0.5,0,0,,6,10,0.6,6,9,15,0,1,7,2,3,10,16.0,11,1
7,7,2012-03-06,This is what you do when you don't have anything to do! http://t.co/rJ1bUfLD,32,35,36,33.0,19,CHA,,ORL,W (+16),1,32,2,4,0.5,0,0,,6,10,0.6,6,9,15,0,1,7,2,3,10,16.0,11,0
8,8,2012-03-07,Bed time good night! get some good sleep and get ready for the game tomorrow! #happy to be back,33,36,37,34.0,19,CHA,,UTA,L (-6),1,30,1,4,0.25,0,0,,0,4,0.0,3,6,9,2,0,0,5,6,2,-4.1,-12,1
9,9,2012-03-24,Game time!,42,45,46,43.0,19,CHA,@,NJN,L (-13),1,28,3,4,0.75,0,0,,2,2,1.0,1,5,6,1,2,1,1,1,8,10.6,-23,0
10,10,2012-04-20,fun afternoon!,58,61,62,59.0,19,CHA,,MEM,L (-5),1,41,3,4,0.75,0,0,,1,4,0.25,2,8,10,0,0,2,3,4,7,4.8,0,1
11,11,2012-04-22,Aqui vamos con el Classico Barcelona-Madrid  #soccertime,59,62,63,60.0,19,CHA,,SAC,L (-26),1,35,4,11,0.364,0,0,,0,0,,2,4,6,1,0,2,1,1,8,5.2,-28,1
12,12,2012-04-22,Vamos Madrid!,59,62,63,60.0,19,CHA,,SAC,L (-26),1,35,4,11,0.364,0,0,,0,0,,2,4,6,1,0,2,1,1,8,5.2,-28,1
13,13,2012-04-22,Vamos @realmadrid ya queda poco!,59,62,63,60.0,19,CHA,,SAC,L (-26),1,35,4,11,0.364,0,0,,0,0,,2,4,6,1,0,2,1,1,8,5.2,-28,1
