,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-12-22,Happy birthday to one of ⚾️’s best sluggers. https://t.co/nuiySvqdU4,172,208,33,16.0,24,WAS,,PHO,W (+3),0,14,2,3,0.667,0,0,,0,0,,1,3,4,0,1,1,0,0,4,6.0,-7,1
1,1,2018-12-22,Mariners are working to finalize a trade for outfielder Domingo Santana of the Brewers. Medicals need to be checked.,172,208,33,16.0,24,WAS,,PHO,W (+3),0,14,2,3,0.667,0,0,,0,0,,1,3,4,0,1,1,0,0,4,6.0,-7,0
2,2,2018-12-28,It appears we own Miami in bowl season...,174,211,36,18.0,24,WAS,,CHI,L (-9),0,15,3,6,0.5,0,0,,0,0,,1,4,5,0,1,0,0,1,6,5.5,-10,0
3,3,2019-01-04,It’s been great sitting down with @acuityinsurance and talking about their core values. This one was especially important because integrity is very important in our relationship. #MeetTheDekkers https://t.co/usV5TKtvws,177,214,39,21.0,24,WAS,@,MIA,L (-6),0,17,2,4,0.5,0,0,,0,0,,2,1,3,0,2,0,0,2,4,4.9,1,-1
4,4,2019-01-04,Call Casting still Migos best song idc idc idc,177,214,39,21.0,24,WAS,@,MIA,L (-6),0,17,2,4,0.5,0,0,,0,0,,2,1,3,0,2,0,0,2,4,4.9,1,1
5,5,2019-01-09,These Clemson receivers just clean picking the ball out of the air on every play. Ridiculous athletes,180,217,42,24.0,24,WAS,,PHI,W (+17),0,19,4,6,0.667,2,2,1.0,1,4,0.25,0,2,2,1,1,0,0,0,11,9.5,-6,1
6,6,2019-01-09,fading away with a man in his face good lord https://t.co/TUnM5GhKyH,180,217,42,24.0,24,WAS,,PHI,W (+17),0,19,4,6,0.667,2,2,1.0,1,4,0.25,0,2,2,1,1,0,0,0,11,9.5,-6,-1
7,7,2019-01-11,I appreciate the @washingtonpost and @CandaceDBuckner for taking time to write about our awesome state. I’ll always be proud to be a Cheesehead.  https://t.co/2Tjzc33ykh,181,218,43,25.0,24,WAS,,MIL,W (+7),0,13,0,1,0.0,0,1,0.0,0,2,0.0,0,2,2,0,0,1,0,0,0,-0.2,5,1
8,8,2019-01-21,No penalty. https://t.co/arQ501KQGG,184,221,46,28.0,24,WAS,,DET,W (+14),0,19,4,6,0.667,1,2,0.5,2,2,1.0,1,4,5,1,1,0,0,0,11,12.0,0,0
9,9,2019-01-21,Heckuva kick by McVay,184,221,46,28.0,24,WAS,,DET,W (+14),0,19,4,6,0.667,1,2,0.5,2,2,1.0,1,4,5,1,1,0,0,0,11,12.0,0,0
10,10,2019-01-21,What a ridiculous game haha basketball is amazing,184,221,46,28.0,24,WAS,,DET,W (+14),0,19,4,6,0.667,1,2,0.5,2,2,1.0,1,4,5,1,1,0,0,0,11,12.0,0,1
11,11,2019-01-21,"If madden’s taught me anything, running the ball on first down would have been the best choice but that’s just me.",184,221,46,28.0,24,WAS,,DET,W (+14),0,19,4,6,0.667,1,2,0.5,2,2,1.0,1,4,5,1,1,0,0,0,11,12.0,0,-1
12,12,2019-01-21,"Me still sitting and thinking If roughing the passer isn’t called on Cousins game ending INT in Week 2, the packers season turns out differently https://t.co/WhyKlBz9ch",184,221,46,28.0,24,WAS,,DET,W (+14),0,19,4,6,0.667,1,2,0.5,2,2,1.0,1,4,5,1,1,0,0,0,11,12.0,0,-1
13,13,2019-02-04,Wtf is the defender supposed to do? Not tackle him because his knees are bent??,190,228,53,34.0,24,WAS,,ATL,L (-8),0,5,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-7,-1
14,14,2019-03-08,"Say what you want about the Pac-12, it's the zone defense capital of college basketball! https://t.co/uYuTla4UZk",195,240,65,39.0,24,WAS,@,CHO,L (-1),0,16,3,5,0.6,0,0,,1,3,0.333,2,3,5,2,1,0,1,1,7,7.2,3,0
15,15,2019-03-29,Lmao @ChristianYelich that’s stupid,199,252,77,43.0,24,WAS,@,UTA,L (-4),0,13,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,2,0,5,4.4,-15,-1
16,16,2019-03-29,"I have a take, don’t get all fake mad at me: Robinson Cano homerun swing is on par in prettiness to Ken Griffey Jr.’s.....",199,252,77,43.0,24,WAS,@,UTA,L (-4),0,13,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,2,0,5,4.4,-15,-1
17,17,2019-03-29,https://t.co/eTrdWbbFsX,199,252,77,43.0,24,WAS,@,UTA,L (-4),0,13,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,2,0,5,4.4,-15,0
18,18,2019-03-29,Here’s the #Brewers #OpeningDay lineup! #NowWeGo #ThisIsMyCrew https://t.co/r2pyNgaILm,199,252,77,43.0,24,WAS,@,UTA,L (-4),0,13,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,2,0,5,4.4,-15,0
19,19,2019-03-29,https://t.co/BK2pKUzo3Y,199,252,77,43.0,24,WAS,@,UTA,L (-4),0,13,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,2,0,5,4.4,-15,0
20,20,2019-04-03,Would recommend watching Highwaymen on Netflix. Real good watch.,200,254,79,44.0,24,WAS,,CHI,L (-1),0,31,5,12,0.417,1,3,0.333,3,3,1.0,1,1,2,1,0,0,1,3,14,7.1,3,1
21,21,2019-04-05,"*Written Meme* 

FOREVER MOOD - Guy reaching into his pocket to get something important but all he pulls out is a handful of dog poop bags",201,255,80,45.0,24,WAS,,SAS,L (-17),0,14,1,4,0.25,1,2,0.5,0,0,,1,0,1,1,1,0,0,2,3,2.2,-5,0
22,22,2019-04-05,Beautiful day in DC. #iPhone https://t.co/RjClTqYPGh,201,255,80,45.0,24,WAS,,SAS,L (-17),0,14,1,4,0.25,1,2,0.5,0,0,,1,0,1,1,1,0,0,2,3,2.2,-5,-1
23,23,2019-04-05,#SneakyAthletic 🙄 https://t.co/c0qFXchpDp,201,255,80,45.0,24,WAS,,SAS,L (-17),0,14,1,4,0.25,1,2,0.5,0,0,,1,0,1,1,1,0,0,2,3,2.2,-5,0
