,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-12-26,Merry Christmas! Hope everyone has a great day and remember the true meaning of Christmas.,0,0,1,1.0,25,CHA,,MIL,W (+1),1,22,3,6,0.5,0,0,,2,2,1.0,0,5,5,1,0,1,0,0,8,7.9,5,1
1,1,2011-12-28,Just let me love you....,1,1,2,2.0,25,CHA,,MIA,L (-1),1,35,3,8,0.375,0,0,,2,4,0.5,4,7,11,1,0,3,0,4,8,8.9,-7,1
2,2,2011-12-30,"""Praising God in our trials turns burdens into blessings.""",2,2,3,3.0,25,CHA,,ORL,L (-21),1,18,4,9,0.444,0,0,,0,0,,0,1,1,0,1,0,1,0,8,3.6,-11,1
3,3,2011-12-30,Thats how you feel JB? Word I will remember that. All goodRT @Earl_Calloway: You lame as hell for that @jrashaad,2,2,3,3.0,25,CHA,,ORL,L (-21),1,18,4,9,0.444,0,0,,0,0,,0,1,1,0,1,0,1,0,8,3.6,-11,-1
4,4,2012-01-01,"""Reflecting on God’s faithfulness in the past brings hope for the future.""",3,3,4,4.0,25,CHA,@,MIA,L (-39),1,27,10,12,0.833,1,1,1.0,0,0,,1,2,3,1,2,1,1,3,21,19.1,-19,0
5,5,2012-01-03,Put ya money up RT @Ripp_D: Lmao “@Earl_Calloway @YoungDiddy11 @dj_white3 @nardmoss let me get on this bet @dj_white3 is OUTSIDE HIS MIND”,4,4,5,5.0,25,CHA,@,CLE,L (-14),1,31,5,6,0.833,0,0,,0,0,,1,6,7,2,0,0,0,5,10,9.7,-4,0
6,6,2012-01-03,What's the bet then? RT @nardmoss: I'm taking all bets Falcon fans I like the Giants this weekend,4,4,5,5.0,25,CHA,@,CLE,L (-14),1,31,5,6,0.833,0,0,,0,0,,1,6,7,2,0,0,0,5,10,9.7,-4,0
7,7,2012-01-03,So it's just @YoungDiddy11 and @Earl_Calloway in the bet? If so deal. @nardmoss me and you are set.,4,4,5,5.0,25,CHA,@,CLE,L (-14),1,31,5,6,0.833,0,0,,0,0,,1,6,7,2,0,0,0,5,10,9.7,-4,0
8,8,2012-01-06,Good luck text me afterRT @NeshaIam: Praying that surgery goes well this morning!,6,6,7,7.0,25,CHA,,ATL,L (-6),1,28,7,15,0.467,0,0,,0,0,,4,5,9,0,0,1,2,3,14,8.1,-1,1
9,9,2012-01-07,Good win Hoosiers.,7,7,8,8.0,25,CHA,@,IND,L (-22),0,19,1,5,0.2,0,0,,0,0,,1,2,3,0,1,1,0,1,2,1.5,-1,1
10,10,2012-01-09,Lol. What up Oak. You saying i need to gain weight? HaRT @CharlesOakley34: @dj_white3 who can gain ten pound by all star,8,8,9,9.0,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0,0
11,11,2012-01-09,What should me and @TyrusThomas bet on the Alabama vs LSU game?,8,8,9,9.0,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0,0
12,12,2012-01-09,SMH at the Falcons. @Earl_Calloway @nardmoss @YoungDiddy11 I got y'all.,8,8,9,9.0,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0,0
13,13,2012-01-09,LmaoRT @YoungDiddy11: @dj_white3 @Earl_Calloway @nardmoss on behalf of us all. Thanks DJ lol,8,8,9,9.0,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0,0
14,14,2012-01-09,All I have to say is 15-1.......,8,8,9,9.0,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0,1
15,15,2012-01-12,At the eye doctor. I might have the worst vision ever.,10,10,11,11.0,25,CHA,@,ATL,L (-30),0,22,2,5,0.4,0,0,,0,0,,0,2,2,2,0,0,2,4,4,-0.3,-23,-1
16,16,2012-01-12,"Don't let her around your child. Bad influence. RT @kjohnson711: “@RayRayT9: I'm going to be an awesome aunt!"" ABSOLUTELY!!",10,10,11,11.0,25,CHA,@,ATL,L (-30),0,22,2,5,0.4,0,0,,0,0,,0,2,2,2,0,0,2,4,4,-0.3,-23,0
17,17,2012-01-12,Lol. RT @sagana7: “@dj_white3: At the eye doctor. I might have the worst vision ever.” fact,10,10,11,11.0,25,CHA,@,ATL,L (-30),0,22,2,5,0.4,0,0,,0,0,,0,2,2,2,0,0,2,4,4,-0.3,-23,0
18,18,2012-01-13,Stop it haRT @NeshaIam: I bet @dj_white3 can't wait to see his FAVORITE sister cause he miss her so so much!! 😜,11,11,12,12.0,25,CHA,,DET,L (-17),0,30,4,9,0.444,0,0,,2,2,1.0,1,5,6,0,0,0,0,1,10,7.1,-6,-1
19,19,2012-01-21,Control what you can control your attitude and effort.,13,15,16,14.0,25,CHA,@,CHI,L (-6),0,8,1,3,0.333,0,0,,2,2,1.0,2,0,2,1,0,0,0,0,4,4.4,5,0
20,20,2012-01-21,Crazy. RT @D_Brown4: We been delayed for three hours. Is the weather that bad in chi town?,13,15,16,14.0,25,CHA,@,CHI,L (-6),0,8,1,3,0.333,0,0,,2,2,1.0,2,0,2,1,0,0,0,0,4,4.4,5,0
21,21,2012-01-31,5 hour flight to LA.,15,21,22,16.0,25,CHA,@,LAL,L (-33),0,20,3,8,0.375,0,0,,1,2,0.5,1,1,2,2,1,0,0,2,7,4.8,-19,0
22,22,2012-02-01,At Katsuya in LA destroying sushi with my man @D_Brown4,16,22,23,17.0,25,CHA,@,POR,L (-44),0,14,0,2,0.0,0,0,,2,2,1.0,0,3,3,0,0,2,2,1,2,0.5,-6,0
23,23,2012-02-01,Why you eating so late and what did you make?RT @NeshaIam: I cooked a GREAT meal!!,16,22,23,17.0,25,CHA,@,POR,L (-44),0,14,0,2,0.0,0,0,,2,2,1.0,0,3,3,0,0,2,2,1,2,0.5,-6,-1
24,24,2012-02-07,"The end of a matter is better than its beginning, and patience is better than pride. (Ecclesiastes 7:8)",18,24,25,19.0,25,CHA,@,BOS,L (-10),0,13,1,2,0.5,0,0,,2,2,1.0,0,0,0,2,0,0,0,1,4,4.0,3,1
25,25,2012-02-07,Thats how you feel Gretta? E you can't talk at allRT @GrettyStacks: Join the club. RT @Earl_Calloway Just got BIGTIMED by @dj_white3 WOW,18,24,25,19.0,25,CHA,@,BOS,L (-10),0,13,1,2,0.5,0,0,,2,2,1.0,0,0,0,2,0,0,0,1,4,4.0,3,-1
26,26,2012-02-10,Let's Go IU.,19,25,26,20.0,25,CHA,,CHI,L (-31),0,18,3,5,0.6,0,0,,1,2,0.5,1,3,4,2,0,0,2,0,7,5.3,-11,0
27,27,2012-02-15,Heard my guys @nardmoss and @PDJohnson1 spent their entire paycheck at Tiffany's today. @Earl_Calloway,21,28,29,22.0,25,CHA,@,MIN,L (-12),0,7,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,-5,0
28,28,2012-02-15,Happy Valentine's Day to @NeshaIam @Just_PEACHY15 @xidelta7,21,28,29,22.0,25,CHA,@,MIN,L (-12),0,7,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,-5,1
29,29,2012-02-19,Glad to be back in Indianapolis.,23,30,31,24.0,25,CHA,@,IND,L (-35),0,25,4,7,0.571,0,0,,2,2,1.0,1,4,5,0,0,1,1,4,10,6.7,5,0
30,30,2012-02-29,Got emRT @GhJr09: Sleep nights!!!!! @D_Brown4 http://t.co/7rRipUq4,25,32,33,26.0,25,CHA,@,DET,L (-15),0,16,6,9,0.667,0,0,,3,5,0.6,1,3,4,1,0,0,0,2,15,11.8,4,0
31,31,2012-03-09,Well....RT @NeshaIam: Ugh my brother tried to low key act like he didn't know what I was talking about! Lol he makes me sick! Lol,29,37,38,30.0,25,CHA,,NJN,L (-9),0,6,3,4,0.75,0,0,,0,0,,1,0,1,0,0,0,0,1,6,4.7,0,0
