,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-10-20,He is with us!👊🏼💯☘️🏀 @gordonhayward #Celtics https://t.co/KH3KYJCAVT,1,2,3,2.0,25,BOS,@,PHI,W (+10),0,11,0,1,0.0,0,1,0.0,0,0,,1,2,3,1,0,1,1,2,0,0.2,0,-1
1,1,2017-10-26,2 @celtics wins in a row and now let‘s keep up the good work on the road!!!✈️💯☘️🏀💪🏼 #Celtics #NBA https://t.co/rUmbnYw5OY,3,4,5,4.0,25,BOS,@,MIL,W (+7),1,19,0,1,0.0,0,0,,0,0,,0,5,5,1,0,1,2,4,0,-1.4,1,0
2,2,2017-10-30,4️⃣ games winning streak! Next stop: Home sweet home vs @spurs 💪🏼💯☘️🏀 #Celtics #NBA https://t.co/TKKkum1JKB,5,6,7,6.0,25,BOS,,SAS,W (+14),0,14,2,3,0.667,0,1,0.0,2,2,1.0,3,3,6,0,0,1,2,2,6,5.6,0,1
3,3,2017-11-01,High five for 👋🏼 @celtics wins in a row!🙏🏼💯☘️🏀 @Al_Horford #Celtics #NBA https://t.co/Qz6VAs6FD8,6,7,8,7.0,25,BOS,,SAC,W (+27),0,18,4,7,0.571,0,0,,2,2,1.0,4,6,10,0,0,1,0,4,10,10.4,11,0
4,4,2017-11-03,6 in a row!😉💯☘️🏀 #Celtics #NBA https://t.co/svqCdvppTW,7,8,9,8.0,25,BOS,@,OKC,W (+7),0,7,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,-1,0
5,5,2017-11-08,3 road games &gt;3wins&gt; 9 in a row!  Time to go home! 🍀,10,11,12,11.0,25,BOS,,LAL,W (+11),0,22,3,6,0.5,0,1,0.0,2,2,1.0,3,2,5,0,2,3,2,5,8,7.8,14,0
6,6,2017-11-20,Always nice to see family! Keep working hard bro!💯🇩🇪🏀☘️ @DennisMike93 #NBA https://t.co/6VY24KV70W,16,17,18,17.0,25,BOS,@,DAL,W (+8),0,6,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,-5,1
7,7,2017-11-22,N1 @DeRoyDesigns 🙌🏼🎨💯☘️🏀 #Celtics #Fanart #Blessed https://t.co/EZKu3zg9Iy,17,18,19,18.0,25,BOS,@,MIA,L (-6),0,10,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,2,1,3,0.2,-14,0
8,8,2017-11-25,"Und los geht’s mit der Mission @FIBAWC also allemann die Daumen drücken für Team @DBB_Basketball ! Auf geht’s Männer, haut rein, ihr packt das!✊🏼🇩🇪🏀📺💯🔥 https://t.co/GZbhglptuR",18,20,21,19.0,25,BOS,@,IND,W (+10),1,21,2,6,0.333,0,1,0.0,1,1,1.0,2,3,5,2,2,1,2,5,5,4.0,8,-1
9,9,2017-11-25,"Good to be back home in the @tdgarden tonight! Let‘s go #Celtics 
🏛🙌🏼💯☘️🏀 https://t.co/lpaPQoSOOB",18,20,21,19.0,25,BOS,@,IND,W (+10),1,21,2,6,0.333,0,1,0.0,1,1,1.0,2,3,5,2,2,1,2,5,5,4.0,8,1
10,10,2017-11-30,"Hi folks! First of all a massive s/o to all of you for the numerous comments and messages!🙏🏽 I‘m working at full power to finally reach full recovery and I can’t wait to hit the court with 💯% again! See you soon and lots of love, Elias↗️🏀🌪🔥 https://t.co/ATCi0JTgqd",20,22,23,21.0,25,BOS,,PHI,W (+11),0,14,2,3,0.667,0,1,0.0,0,0,,2,6,8,0,1,3,1,2,4,7.2,1,0
11,11,2017-12-08,Team spirit &gt; injuries💪🏼 Good @celtics win incl. „Sprungwurf“🤾🏼‍♂️ &amp; „Schmetterball“🏐 and now off to San Antonio!😉💯☘️🏀 #CUsRise https://t.co/OwKSFLZZwf,24,26,27,25.0,25,BOS,@,SAS,L (-3),0,11,1,4,0.25,0,2,0.0,1,1,1.0,0,2,2,2,0,0,0,4,3,1.0,-11,1
12,12,2017-12-10,Happy Birthday to our favourite Aussie @aronbaynes 😏🎂🇦🇺☘️ #Celtics https://t.co/S5Ed2x9INq,25,27,28,26.0,25,BOS,@,DET,W (+10),0,12,1,5,0.2,0,1,0.0,0,0,,1,1,2,0,1,1,1,0,2,0.6,-8,1
13,13,2017-12-21,Home game mood🙌🏼 @MiamiHEAT vs @celtics tonight! LET‘S GO #CELTICS 💯☘️🏀 https://t.co/18a0bwpzHt,32,34,35,33.0,25,BOS,@,NYK,L (-9),0,17,3,8,0.375,0,1,0.0,1,2,0.5,0,7,7,0,0,0,0,2,7,3.5,-7,1
14,14,2017-12-23,"ACHTUNG FREUNDE!!!😱 Mein nagelneuer Monsterblog powered by @spox und @NBA_de geht in die 1. Runde! Ich nehm euch mit auf mein @NBA Abenteuer und unser Leben in Boston! Schaut mal rein und wenn's Fragen gibt, dann #AskTheis 😎☘️🏀📰 https://t.co/oZOoCgJu59 https://t.co/qrtMPb2VUZ",33,35,36,34.0,25,BOS,,CHI,W (+25),0,24,1,5,0.2,0,1,0.0,8,8,1.0,5,10,15,2,2,0,0,5,10,14.8,2,0
15,15,2018-01-05,#WinterIsHere ☘️❄️⛄️ https://t.co/bicG2vY3ip,39,41,42,40.0,25,BOS,,MIN,W (+7),0,25,3,8,0.375,1,5,0.2,1,2,0.5,4,6,10,1,1,0,3,4,8,4.9,5,0
16,16,2018-01-18,"We spent 3 amazing and successful years together in Bamberg, now we are competing against each other in the @NBA ! Proud of you bro! Always great to see family!🙌🏼 @DmillerKY https://t.co/r6r7mLht6Z",43,45,46,44.0,25,BOS,,PHI,L (-9),0,8,1,3,0.333,0,0,,0,0,,1,1,2,1,0,0,1,1,2,0.6,-3,1
17,17,2018-01-23,Pit stop in Beverly Hills. The @celtics road trip starts vs the @Lakers ☀️☘️🏀 #Celtics #NBA https://t.co/UnPHm8t3PH,45,47,48,46.0,25,BOS,@,LAL,L (-1),0,16,2,3,0.667,0,1,0.0,0,0,,3,2,5,2,0,0,2,1,4,4.4,-5,-1
18,18,2018-01-29,Derbysieger!!!💪🏼 Glückwunsch vom Boston Fanclub an den @VfL_Wolfsburg und danke an Maxi Arnold für das Trikot!🐺⚽️😎✅ #H96WOB https://t.co/B1glbikQZf,48,50,51,49.0,25,BOS,@,DEN,W (+1),0,21,4,9,0.444,3,6,0.5,0,0,,2,1,3,4,1,1,0,5,11,10.5,16,1
19,19,2018-02-02,"Glückwunsch @T_Rozzay3 , 1st Trible-Touble in the 📚 with this one here and our first ever Alley-Oop!😎 #Celtics https://t.co/vXo053IYf4",50,52,53,51.0,25,BOS,,ATL,W (+9),0,23,1,5,0.2,0,2,0.0,2,2,1.0,1,2,3,3,1,2,1,4,4,4.1,-15,0
20,20,2018-02-04,"Good workout and extra hours with the one &amp; only Stefan Weissenböck!
🙏🏼✅💯 #Celtics https://t.co/TICoZDGXMk",51,53,54,52.0,25,BOS,,POR,W (+1),0,20,2,4,0.5,0,0,,2,4,0.5,4,4,8,2,0,1,1,3,6,7.1,1,1
21,21,2018-02-09,Gameday mood!💪🏼 Let‘s bounce back in the capital tonight @celtics 💯☘️🏀 #Celtics https://t.co/UYZX6xsXZl,54,56,57,55.0,25,BOS,,IND,L (-6),0,18,2,4,0.5,0,0,,0,0,,2,0,2,0,1,1,1,2,4,3.3,-10,1
22,22,2018-02-24,"Haut rein Männer, ich drück euch die Daumen, Mission @FIBAWC beginnt! Let‘s go Team @DBB_Basketball !!!
✊🏼🇩🇪🏀🔥 #FIBAWC https://t.co/iid1MJNRfv",58,60,61,59.0,25,BOS,@,NYK,W (+9),1,18,2,3,0.667,0,0,,2,2,1.0,1,6,7,1,0,1,1,1,6,7.2,9,0
23,23,2018-03-11,1st title for Coach Theis at the Celebrity Circuit Challenge to benefit Horizons for Homeless Children!🥇🏀🥊☘️ #OnToTheNextOne #Celtics https://t.co/89cJbN3JgC,62,66,67,63.0,25,BOS,,IND,L (-2),0,19,2,4,0.5,0,1,0.0,1,1,1.0,1,2,3,2,0,1,0,2,5,5.6,-2,0
24,24,2018-12-10,Thank‘s for the „Zauberpass“ @KyrieIrving 🧙🏾‍♂️🙌🏼😉🇩🇪☘️ #CUsRise https://t.co/NqH5AuwBBB,78,86,26,16.0,26,BOS,,NOP,W (+13),1,22,3,8,0.375,0,3,0.0,0,0,,1,4,5,0,1,0,0,3,6,3.3,-4,0
25,25,2018-12-12,"#UnserLiedFuerKinder ! Join me &amp; the @soskinderdorf campaign to donate for kids in need of help 🚙😉✌🏼📻🎶

Here we go 👉🏼 https://t.co/3R1R09u3NB https://t.co/Plzyy01x8q",79,87,27,17.0,26,BOS,@,WAS,W (+5),0,14,3,4,0.75,0,0,,2,2,1.0,3,3,6,1,0,0,2,6,8,5.7,-7,-1
26,26,2018-12-15,On to the next one 💯☘️🏀 #CUsRise https://t.co/7ZWMhhLlii,81,89,29,19.0,26,BOS,@,DET,L (-9),0,18,3,5,0.6,2,3,0.667,0,0,,1,3,4,1,0,0,1,4,8,5.4,-1,0
27,27,2018-12-25,#MerryChristmas 🙏🎄😇 https://t.co/iKhvOkoOR5,85,93,33,23.0,26,BOS,,PHI,W (+7),0,22,2,7,0.286,1,3,0.333,1,2,0.5,2,5,7,2,0,0,1,4,6,3.2,5,0
28,28,2018-12-27,"Invented a new move specially for #NBAXmas game: The Off-The-Back-No-Look-Pass ! Do you like it ???
🔄🔙👀🏀👌🏼🤷🏼‍♂️ #CUsRise @celtics https://t.co/KnSZgTYjQ5",86,94,34,24.0,26,BOS,@,HOU,L (-14),0,18,0,3,0.0,0,0,,6,8,0.75,3,1,4,0,1,1,0,3,6,6.0,-27,0
29,29,2018-12-27,It’s time to vote for @NBA All-Stars and @Google makes it easy! Search for your favorite player or team and vote right from your search bar! ☘️ #Sponsored #PoweredBy8 https://t.co/rdrrjQJ9cm,86,94,34,24.0,26,BOS,@,HOU,L (-14),0,18,0,3,0.0,0,0,,6,8,0.75,3,1,4,0,1,1,0,3,6,6.0,-27,0
30,30,2018-12-29,Google making it easy to vote for NBA All-Stars. I'm sponsoring my fans through @WeAre8Official to share the video to your Facebook. Check it out HERE #Sponsored #PoweredBy8,87,95,35,25.0,26,BOS,@,MEM,W (+9),0,6,0,1,0.0,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,1,0.6,-6,0
31,31,2018-12-31,Focused on the next game 💪🏼 #CUsRise https://t.co/l8p3f8BSAX,88,96,36,26.0,26,BOS,@,SAS,L (-9),0,19,2,5,0.4,0,1,0.0,0,0,,2,4,6,1,0,1,1,4,4,2.7,-2,0
32,32,2019-01-04,Good team Win! Congrats @gordonhayward for the big night ! 💪🏼☘️ #CUsRise https://t.co/pyQQUQiXJ9,90,98,38,28.0,26,BOS,,DAL,W (+21),0,23,2,4,0.5,1,1,1.0,3,4,0.75,1,12,13,3,1,2,2,2,8,11.6,20,1
33,33,2019-01-09,Good win last night! Back to work! 💪🏼☘️ #NoDaysOff #CUsRise https://t.co/xI7aI6qFLn,92,100,40,30.0,26,BOS,,IND,W (+27),0,18,4,7,0.571,0,2,0.0,4,4,1.0,3,3,6,1,0,2,0,3,12,12.6,6,1
34,34,2019-01-23,I’ll be hanging out with my friends @bostonsportsco tonight at their I Love Boston Sports store in South Shore Plaza in Braintree from 7PM - 8:30PM. Come by and say hello.,98,108,48,36.0,26,BOS,,CLE,W (+20),0,15,1,3,0.333,0,0,,0,0,,2,3,5,3,1,0,0,1,2,5.3,9,1
35,35,2019-02-09,My Idol growing up watching 🏀!!! 🙌🏼☘️ @KevinGarnett5KG @celtics https://t.co/odpHpD4gie,104,116,56,42.0,26,BOS,,LAC,L (-11),0,16,4,4,1.0,2,2,1.0,0,0,,2,3,5,0,1,0,1,2,10,10.3,9,0
36,36,2019-02-21,Hanging in there ! One more day 😂🙌🏼☘️ #CUsRise @celtics https://t.co/7HcquZOmwB,107,119,59,45.0,26,BOS,@,MIL,L (-1),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9,0
37,37,2019-02-27,💯% Focused ! @celtics #CUsRise https://t.co/u8y8tU9UcM,110,122,62,48.0,26,BOS,,POR,L (-5),0,10,0,5,0.0,0,2,0.0,0,0,,0,0,0,2,0,1,0,3,0,-2.6,-2,0
38,38,2019-03-24,Gameday 🙏🏼 #CUsRise https://t.co/OtFs4LbmMZ,121,134,74,59.0,26,BOS,,SAS,L (-19),0,19,5,8,0.625,1,3,0.333,0,0,,4,3,7,1,0,1,1,3,11,10.3,-9,0
39,39,2019-04-14,Playoffs !!! 💯☘️💪🏼 #CUsRise #Celtics https://t.co/J2WFRqLk5j,129,143,1,1.0,27,BOS,,IND,W (+10),0,5,0,1,0.0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,0.6,-3,-1
40,40,2019-11-01,Big win last night ! Thank you Boston for the support ! Happy #Halloween2019 everybody 🙌🏼🎃🏀 #BleedGreen https://t.co/aSdgDLyNut,139,156,5,4.0,27,BOS,,NYK,W (+2),1,27,2,3,0.667,0,0,,1,1,1.0,1,7,8,0,0,4,1,3,5,7.1,12,1
41,41,2020-01-26,Proudly presenting the „No-Look-Block“ 😂🦾🔒👀 #Celtics https://t.co/vcTOmO23aw,176,196,45,41.0,27,BOS,@,NOP,L (-15),1,31,7,10,0.7,0,2,0.0,1,3,0.333,2,7,9,1,0,2,1,4,15,13.0,-10,0
42,42,2020-02-09,"The guys over at @RespawnProducts hooked it up with their RSP-900 Gaming Recliner, this is the comfiest thing I’ve ever sat in, check them out! 💯🎮 https://t.co/Qq552gcJXu",181,203,52,46.0,27,BOS,@,OKC,W (+1),1,30,5,11,0.455,1,4,0.25,2,4,0.5,5,6,11,5,0,0,0,4,13,13.7,3,0
43,43,2020-03-06,Back on track 🦾 #Celtics https://t.co/mif19iwU0W,191,213,62,56.0,27,BOS,,UTA,L (-5),1,27,5,7,0.714,0,0,,2,3,0.667,3,6,9,3,1,1,0,3,12,15.2,19,0
44,44,2020-08-02,✊🏾✊🏿✊🏼 #Together #Celtics #BubbleTheis https://t.co/FBTjcMIMCd,195,217,66,60.0,28,BOS,,POR,W (+4),1,28,4,4,1.0,0,0,,1,1,1.0,0,2,2,3,1,1,1,5,9,9.2,-10,0
45,45,2021-01-17,🙌🏼 #BleedGreen https://t.co/TEb6ci8haA,229,251,12,12.0,28,BOS,,NYK,L (-30),0,20,3,4,0.75,1,2,0.5,0,0,,1,6,7,1,0,0,2,3,7,5.4,-7,0
46,46,2021-02-11,2KTheis 👾🏀 #NBA2K21 #2KRatings #Ad https://t.co/14tZEZz6I8,241,263,24,24.0,28,BOS,,TOR,W (+14),1,27,4,7,0.571,0,2,0.0,0,2,0.0,2,3,5,3,2,4,1,4,8,10.5,28,0
47,47,2021-04-21,Yesterday night was special ! Great seeing everybody and thanks Boston for all the love 🙏🏼 https://t.co/seXisb6lv4,272,298,59,55.0,29,CHI,@,CLE,L (-16),1,20,3,6,0.5,1,3,0.333,0,0,,2,2,4,1,0,0,1,2,7,4.9,-18,1
