,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-04-09,I forgot how good it felt out here in Florida.  It's so hott here but the weather is beautiful.,3,4,5,4.0,28,NYK,@,ORL,L (-15),1,33,3,7,0.429,0,0,,2,4,0.5,3,9,12,1,0,2,1,5,8,7.4,-9,-1
1,1,2010-04-09,Tough loss last night.  Indiana been playing real good lately.,3,4,5,4.0,28,NYK,@,ORL,L (-15),1,33,3,7,0.429,0,0,,2,4,0.5,3,9,12,1,0,2,1,5,8,7.4,-9,1
2,2,2010-04-14,The Knicks have some amazing fans.  They were loud and supportive these last few home games like we were going to the playoffs.  LOVE IT.,6,7,8,7.0,28,NYK,@,TOR,L (-18),1,40,4,10,0.4,0,0,,3,4,0.75,4,3,7,1,1,0,1,3,11,8.4,-10,1
3,3,2010-04-14,Hope everyone has a blessed great day.  Bout to get ready to head to Toronto.  Hope it's not too cool up there.,6,7,8,7.0,28,NYK,@,TOR,L (-18),1,40,4,10,0.4,0,0,,3,4,0.75,4,3,7,1,1,0,1,3,11,8.4,-10,1
4,4,2010-04-14,One more game left.  Great to finish the last home game in the Garden with a win.  Good job fellas.,6,7,8,7.0,28,NYK,@,TOR,L (-18),1,40,4,10,0.4,0,0,,3,4,0.75,4,3,7,1,1,0,1,3,11,8.4,-10,1
5,5,2010-11-17,Just touched down in Miami.  Miss this good weather.  Bout to get some grub then relax.,7,8,1,1.0,29,PHO,@,MIA,L (-27),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-2,1
6,6,2010-11-17,Let's go Tigers.  Continental got direct TV so I'm able to watch the game.  Hope I can get to the hotel in time to finish the 2nd half.,7,8,1,1.0,29,PHO,@,MIA,L (-27),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-2,0
7,7,2010-11-17,Doing physicals since 730 am.  Gone get it out the way.  The bed at the hotel is still calling me though.  Oh well.,7,8,1,1.0,29,PHO,@,MIA,L (-27),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-2,0
8,8,2010-11-17,Thanks tweeps for the prayers and support.  Faith and prayers go a long way.,7,8,1,1.0,29,PHO,@,MIA,L (-27),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-2,1
9,9,2010-11-18,Morning tweeps.  Great breakfast at the hotel and they had grits.   First time I've had grits anywhere in Miami.,8,9,2,2.0,29,PHO,@,ORL,L (-16),0,16,0,1,0.0,0,0,,2,4,0.5,1,0,1,2,0,1,0,3,2,2.1,12,1
10,10,2010-11-26,I want to wish everyone in Twitter world a blessed and Happy Thanksgiving.  Eat enough for both of us.  :),9,13,6,3.0,29,PHO,,LAC,W (+8),0,7,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-7,1
11,11,2010-12-02,San Francisco what's happening?   Gonna relax then find a nice spot to eat.  Should be plenty to choose from near the hotel.,11,15,8,5.0,29,PHO,@,GSW,W (+6),1,25,1,4,0.25,0,0,,0,0,,0,4,4,0,0,0,3,2,2,-3.0,10,1
12,12,2010-12-02,"Rise N Grind Tweeps.  Hump Day.  Thankful, Grateful, and Blessed.  Hope everyone has a great one.  Holla Back.",11,15,8,5.0,29,PHO,@,GSW,W (+6),1,25,1,4,0.25,0,0,,0,0,,0,4,4,0,0,0,3,2,2,-3.0,10,0
13,13,2010-12-07,Another great win.  We are on a roll.  Nothing beats a win.  No matter how you get it.  A win is a win.,14,18,11,8.0,29,PHO,@,POR,L (-7),1,32,1,3,0.333,0,0,,5,6,0.833,0,4,4,0,0,1,3,6,7,1.4,-1,1
14,14,2010-12-07,I got pretty much every side they had and a large roasted turkey.  I'm greedy I can't lie.,14,18,11,8.0,29,PHO,@,POR,L (-7),1,32,1,3,0.333,0,0,,5,6,0.833,0,4,4,0,0,1,3,6,7,1.4,-1,1
15,15,2010-12-07,I was starving after the game driving trying to find sumn to eat.  Guess what I ran up on.  Boston Market.  I almost wrecked,14,18,11,8.0,29,PHO,@,POR,L (-7),1,32,1,3,0.333,0,0,,5,6,0.833,0,4,4,0,0,1,3,6,7,1.4,-1,-1
