,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2011-03-23,getting reday for my practice!,45,69,70,46.0,21,WAS,@,LAC,L (-8),0,8,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,1,5,2,-0.6,-15,0
1,1,2011-03-23,let's get this win against portland today!!!!,45,69,70,46.0,21,WAS,@,LAC,L (-8),0,8,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,1,5,2,-0.6,-15,1
2,2,2011-03-25,about to go to the subway with my homie @Trevor_Booker,46,70,71,47.0,21,WAS,@,DEN,L (-20),0,9,2,3,0.667,0,0,,0,0,,2,1,3,0,0,0,1,1,4,3.0,-9,0
3,3,2011-04-05,sunny day in washington !!!!!!!!!:):),52,76,77,53.0,21,WAS,,DET,W (+2),0,8,1,1,1.0,0,0,,0,0,,0,4,4,0,0,0,3,1,2,-0.5,-10,0
4,4,2011-04-06,let's get one more win today against piston!!,53,77,78,54.0,21,WAS,@,IND,L (-24),0,18,2,6,0.333,0,0,,0,0,,4,1,5,1,1,0,1,3,4,3.2,-4,1
5,5,2011-04-06,http://www.cholet-basket.com/news/actualites/nouvelles-kevin-seraphin-n3849.htm sisi,53,77,78,54.0,21,WAS,@,IND,L (-24),0,18,2,6,0.333,0,0,,0,0,,4,1,5,1,1,0,1,3,4,3.2,-4,0
6,6,2012-01-04,Facebook?,62,87,6,5.0,22,WAS,@,ORL,L (-18),0,17,0,2,0.0,0,0,,3,4,0.75,1,3,4,0,0,1,1,3,3,1.3,-1,0
7,7,2012-01-06,Practice time,63,88,7,6.0,22,WAS,,NYK,L (-3),0,10,0,2,0.0,0,0,,0,0,,2,0,2,0,0,2,2,3,0,-1.8,0,0
8,8,2012-01-28,J'ai mis en ligne une vidéo @YouTube http://t.co/5F1jOuJ kevin seraphin working out,71,101,20,14.0,22,WAS,@,CHA,W (+3),0,9,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,-7,-1
9,9,2012-01-28,nn c pas moi c un pote original lv  (@YouTube http://t.co/5F1jOuJ),71,101,20,14.0,22,WAS,@,CHA,W (+3),0,9,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,-7,0
10,10,2012-01-28,kevin seraphin working out: http://t.co/QmIvjKU via @youtube,71,101,20,14.0,22,WAS,@,CHA,W (+3),0,9,1,1,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,2,2.6,-7,0
11,11,2012-02-04,J'ai mis en ligne une vidéo @YouTube http://t.co/8BUJ063 enflure show le second best of,75,105,24,18.0,22,WAS,,LAC,L (-26),0,25,3,8,0.375,0,0,,2,4,0.5,5,3,8,0,2,0,1,2,8,7.4,-11,-1
12,12,2012-02-04,game time,75,105,24,18.0,22,WAS,,LAC,L (-26),0,25,3,8,0.375,0,0,,2,4,0.5,5,3,8,0,2,0,1,2,8,7.4,-11,0
13,13,2012-02-06,"On n'est pas condamne à l'échec, voilà l'chant des combattants",76,106,25,19.0,22,WAS,,TOR,W (+3),0,24,0,1,0.0,0,0,,0,2,0.0,1,7,8,1,0,0,1,5,0,-1.0,7,0
14,14,2012-02-15,whats up @SEEMON34,80,111,30,23.0,22,WAS,@,LAC,L (-18),0,9,2,3,0.667,0,0,,0,0,,1,4,5,0,0,0,1,4,4,2.0,-9,0
15,15,2012-02-17,"mdr
 (@YouTube http://t.co/xAuxkQt9)",81,112,31,24.0,22,WAS,@,UTA,L (-14),0,19,2,6,0.333,0,0,,2,2,1.0,1,2,3,0,0,2,1,3,6,3.1,12,0
16,16,2012-02-17,J'ai aimé une vidéo @YouTube http://t.co/xAuxkQt9 Enflure,81,112,31,24.0,22,WAS,@,UTA,L (-14),0,19,2,6,0.333,0,0,,2,2,1.0,1,2,3,0,0,2,1,3,6,3.1,12,0
17,17,2012-02-22,who is watching dexter and one piece ?,83,114,33,26.0,22,WAS,,SAC,L (-8),0,23,3,3,1.0,0,0,,0,2,0.0,2,4,6,0,0,1,0,3,6,6.4,5,0
18,18,2012-02-22,finally in dc after this long road trip,83,114,33,26.0,22,WAS,,SAC,L (-8),0,23,3,3,1.0,0,0,,0,2,0.0,2,4,6,0,0,1,0,3,6,6.4,5,0
19,19,2012-02-29,happy new year from the enflure http://t.co/qVrF3cDk,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,1
20,20,2012-02-29,enflure show (les bruit ages)2012 http://t.co/6joIlTlF,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
21,21,2012-02-29,Time to be focus,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
22,22,2012-02-29,enflure show (last video before the new year ) http://t.co/n9ZTeWqg,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
23,23,2012-02-29,enflure show (best of 11-12) http://t.co/c6le7lor,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
24,24,2012-02-29,enflure show (episode 2 des dread locks) http://t.co/iNNXBJxw,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
25,25,2012-02-29,les enflures(dread locks ou pas?) http://t.co/hm24FD32,85,116,35,28.0,22,WAS,,ORL,L (-7),1,16,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,1,4,2.9,-5,0
