,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2015-01-03,"Hayirli kandiller, Allah dualarinizi kabul etsin insallah... Dualarinizda bizleri de unutmayin... http://t.co/fsVR5E7Zyi",5,8,9,6.0,23,PHI,@,LAC,L (-36),0,12,1,3,0.333,0,0,,1,2,0.5,4,3,7,0,0,0,1,1,3,3.2,-15,1
1,1,2015-01-05,". @BarbarosTapan abimle dun mactan sonra guzel bi roportaj yaptik,{ http://t.co/hmGgQi2WGU }  bu link uzerinden izleyebilirsiniz...",6,9,10,7.0,23,PHI,,CLE,W (+3),0,19,0,0,,0,0,,0,0,,2,8,10,1,0,1,0,3,0,4.0,9,0
2,2,2015-01-17,"Ayrica bu guzel yemekte, Ahmet Guvener Ve oglu Cem abim, Bulent Bayraktar, Cezmi Turhan ve Hande… http://t.co/0TmSR7Nu4y",13,16,17,14.0,23,PHI,@,DET,L (-18),0,12,1,2,0.5,0,0,,0,0,,1,4,5,1,1,0,0,2,2,3.8,1,0
3,3,2015-01-17,Dun aksam Fatih Terim hocayla birlikte keyifli bi aksam yemegi gecirdik... :) http://t.co/urgXapjJfJ,13,16,17,14.0,23,PHI,@,DET,L (-18),0,12,1,2,0.5,0,0,,0,0,,1,4,5,1,1,0,0,2,2,3.8,1,0
4,4,2015-01-19,"Ne cabuk da geciyor zaman. Gecen sene bu tarihte ""iki cihanda da evet"" demisti guzel karim. Allah iki… http://t.co/Y4zhWpYRS3",14,17,18,15.0,23,PHI,@,WAS,L (-35),0,19,1,1,1.0,0,0,,0,0,,2,2,4,0,1,0,0,2,2,3.9,-31,0
5,5,2015-01-19,"14 pts, 22 ast, 11 reb! Congrats and respect my brother Carlos Arroyo! #mvp #allstargame #turkey",14,17,18,15.0,23,PHI,@,WAS,L (-35),0,19,1,1,1.0,0,0,,0,0,,2,2,4,0,1,0,0,2,2,3.9,-31,1
6,6,2015-03-20,Dun aksam macimiza gelip beni ziyaret eden  guzel ulkemin insanlarina destekleri icin cok tesekkur ederim... http://t.co/1orxoo9v6P,28,45,46,29.0,23,PHI,,NYK,W (+16),0,16,2,3,0.667,0,0,,0,0,,2,7,9,0,0,0,1,3,4,4.0,9,0
7,7,2015-03-20,"At last night's game, I deeply appreciated the love and support shown by the beautiful people of Turkey who live in Philadelphia.",28,45,46,29.0,23,PHI,,NYK,W (+16),0,16,2,3,0.667,0,0,,0,0,,2,7,9,0,0,0,1,3,4,4.0,9,1
8,8,2015-03-25,Eurocup'ta adini yari finale tasiyan Banvit basketbol takimina tebrikler.Darisi ulkemizi temsil eden diger takimlarimizin basina insallah...,31,48,49,32.0,23,PHI,@,DEN,W (+14),0,14,2,4,0.5,0,0,,0,0,,4,2,6,1,2,0,0,3,4,6.9,-10,0
9,9,2015-03-29,Biz ucaktayken 1-0 olmus guzel olmus :),33,50,51,34.0,23,PHI,@,CLE,L (-1),1,27,5,6,0.833,0,1,0.0,1,2,0.5,7,3,10,0,1,0,0,2,11,14.4,5,1
10,10,2015-03-29,I wish succes to Turkey's national soccer team in the Netherlands match...,33,50,51,34.0,23,PHI,@,CLE,L (-1),1,27,5,6,0.833,0,1,0.0,1,2,0.5,7,3,10,0,1,0,0,2,11,14.4,5,1
11,11,2015-03-29,Milli futbol takimimiza Hollanda macinda basarilar dilerim. Hayirlisiyla guzel bi galibiyet bizim olur insallah...,33,50,51,34.0,23,PHI,@,CLE,L (-1),1,27,5,6,0.833,0,1,0.0,1,2,0.5,7,3,10,0,1,0,0,2,11,14.4,5,0
12,12,2015-03-30,"Destekleriniz ve tebrik mesajalariniz icin cok tesekkur ederim. Allah daha iyilerini nasip eder insallah, dualari eksik etmeyin...",34,51,52,35.0,23,PHI,,LAL,L (-2),1,20,3,4,0.75,0,0,,2,4,0.5,1,4,5,1,0,0,1,6,8,4.8,-4,0
13,13,2015-04-01,"Savci Selim Kiraz'a Allah'tan rahmet,ailesi ve sevenlerine sabir ve bassagligi diliyorum.Allah sehitlik mertebesini nasip eder insAllah...",35,52,53,36.0,23,PHI,@,WAS,L (-13),1,17,2,3,0.667,0,0,,0,0,,0,3,3,1,0,0,0,4,4,2.7,-9,0
